query_id,dataset,category,reranker,candidate_count,relevant_count,mrr_at_5,ndcg_at_5,precision_at_1,precision_at_3,precision_at_5,coverage_ratio,refusal_accuracy,latency_ms,top_chunk_id,top_title,status,error,fallback_count
stage29_wiki_rcc_dam,stage29_new_corpus_queries,wikipedia,none,25,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.014,26471,Uses in Infrastructure - American Cement Association,completed,,0
stage29_wiki_rcc_dam,stage29_new_corpus_queries,wikipedia,deterministic,25,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.402,21816,Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete,completed,,0
stage29_wiki_rcc_dam,stage29_new_corpus_queries,wikipedia,glm-reranker,25,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,526.363,26471,Uses in Infrastructure - American Cement Association,completed,,0
stage29_wiki_rcc_dam,stage29_new_corpus_queries,wikipedia,remote-bge-lora,25,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,324.497,26471,Uses in Infrastructure - American Cement Association,completed,,0
stage29_wiki_arch_dam,stage29_new_corpus_queries,wikipedia,none,25,1,0.333333,0.5,0.0,1.0,1.0,0.5,0.0,0.011,42413,坝体施工控制,completed,,0
stage29_wiki_arch_dam,stage29_new_corpus_queries,wikipedia,deterministic,25,1,1.0,1.0,1.0,1.0,1.0,0.5,0.0,3.136,19794,拱坝的分类,completed,,0
stage29_wiki_arch_dam,stage29_new_corpus_queries,wikipedia,glm-reranker,25,1,1.0,1.0,1.0,1.0,1.0,0.5,0.0,602.925,19794,拱坝的分类,completed,,0
stage29_wiki_arch_dam,stage29_new_corpus_queries,wikipedia,remote-bge-lora,25,1,1.0,1.0,1.0,1.0,1.0,0.5,0.0,287.336,19794,拱坝的分类,completed,,0
stage29_wiki_hydraulic_engineering,stage29_new_corpus_queries,wikipedia,none,25,2,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.011,19802,基本原理,completed,,0
stage29_wiki_hydraulic_engineering,stage29_new_corpus_queries,wikipedia,deterministic,25,2,1.0,0.613147,1.0,1.0,1.0,0.8,0.0,2.771,19802,基本原理,completed,,0
stage29_wiki_hydraulic_engineering,stage29_new_corpus_queries,wikipedia,glm-reranker,25,2,1.0,1.0,1.0,1.0,1.0,0.8,0.0,471.748,19802,基本原理,completed,,0
stage29_wiki_hydraulic_engineering,stage29_new_corpus_queries,wikipedia,remote-bge-lora,25,2,1.0,1.0,1.0,1.0,1.0,0.8,0.0,261.034,19802,基本原理,completed,,0
stage29_wiki_concrete_cover,stage29_new_corpus_queries,wikipedia,none,25,2,0.5,0.386853,0.0,1.0,1.0,0.75,0.0,0.011,58881,Bestuzheva 等 - 2018 - Stone-concrete - material for rockfill dam face zone,completed,,0
stage29_wiki_concrete_cover,stage29_new_corpus_queries,wikipedia,deterministic,25,2,1.0,1.0,1.0,1.0,1.0,0.75,0.0,1.569,27199,Purpose of provision of concrete cover,completed,,0
stage29_wiki_concrete_cover,stage29_new_corpus_queries,wikipedia,glm-reranker,25,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2193.007,27199,Purpose of provision of concrete cover,completed,,0
stage29_wiki_concrete_cover,stage29_new_corpus_queries,wikipedia,remote-bge-lora,25,2,1.0,1.0,1.0,1.0,1.0,0.75,0.0,264.273,27199,Purpose of provision of concrete cover,completed,,0
stage29_wiki_dam_applications,stage29_new_corpus_queries,wikipedia,none,25,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.01,9858,The Research and Application of Dam Construction Technology of Rock-Filled Concrete,completed,,0
stage29_wiki_dam_applications,stage29_new_corpus_queries,wikipedia,deterministic,25,1,0.5,0.63093,0.0,1.0,1.0,0.75,0.0,1.498,26663,Introduction,completed,,0
stage29_wiki_dam_applications,stage29_new_corpus_queries,wikipedia,glm-reranker,25,1,0.25,0.430677,0.0,0.0,1.0,0.75,0.0,466.621,21953,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,completed,,0
stage29_wiki_dam_applications,stage29_new_corpus_queries,wikipedia,remote-bge-lora,25,1,1.0,1.0,1.0,1.0,1.0,0.75,0.0,262.872,27137,Dam applications,completed,,0
stage29_standard_eap,stage29_new_corpus_queries,standard,none,25,4,0.5,0.60962,0.0,1.0,1.0,1.0,0.0,0.016,58481,FEMA Dam Incident Planning Guide,completed,,0
stage29_standard_eap,stage29_new_corpus_queries,standard,deterministic,25,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.717,27722,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,completed,,0
stage29_standard_eap,stage29_new_corpus_queries,standard,glm-reranker,25,4,0.5,0.76064,0.0,1.0,1.0,1.0,0.0,423.649,58481,FEMA Dam Incident Planning Guide,completed,,0
stage29_standard_eap,stage29_new_corpus_queries,standard,remote-bge-lora,25,4,1.0,0.982892,1.0,1.0,1.0,1.0,0.0,267.451,27722,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,completed,,0
stage29_standard_earthquake,stage29_new_corpus_queries,standard,none,25,10,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.012,20123,FEMA P-64 Emergency Action Planning for Dams,completed,,0
stage29_standard_earthquake,stage29_new_corpus_queries,standard,deterministic,25,10,1.0,1.0,1.0,1.0,1.0,0.75,0.0,2.593,27722,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,completed,,0
stage29_standard_earthquake,stage29_new_corpus_queries,standard,glm-reranker,25,10,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1433.135,20123,FEMA P-64 Emergency Action Planning for Dams,completed,,0
stage29_standard_earthquake,stage29_new_corpus_queries,standard,remote-bge-lora,25,10,1.0,1.0,1.0,1.0,1.0,0.5,0.0,271.388,28088,FEMA Dam Safety Inundation Mapping and Flood Risks,completed,,0
