document_id,document_title,status,old_type_b_chunks,deleted_chunks,deleted_embeddings,rendered_images,error
1064,FEMA Dam Incident Planning Guide,fixed,0,0,0,17,
1086,基于GA-SVM的混凝土施工期温度快速预测,fixed,10,10,10,37,
1089,基于内聚力模型的堆石混凝土层间界面剪切力学性能研究,fixed,1,1,1,112,
1093,基于生命周期的混凝土大坝碳排放评价方法研究,fixed,3,3,3,37,
1094,基于细观与宏观尺度的堆石混凝土重力坝地震动力响应研究,fixed,2,2,2,68,
1117,堆石混凝土施工管理中视觉信息的处理方法及应用研究,fixed,20,20,20,50,
1126,堆石混凝土高拱坝的应力应变三维有限元分析,fixed,8,8,8,84,
1133,定向爆破沥青混凝土斜墙堆石坝静动力响应分析,fixed,3,3,3,83,
1134,宾汉姆流体的LBM-DEM方法及自密实混凝土复杂流动研究,fixed,7,7,7,102,
1136,打鼓台水库堆石混凝土筑坝技术研究,fixed,60,60,60,171,
1138,早龄期堆石混凝土骨胶界面剪切强度发展规律及机理研究,fixed,1,1,1,130,
1140,某实际工程堆石混凝土的力学性能及抗渗研究,fixed,3,3,3,96,
1142,柔性网对堆石混凝土坝面层一体化浇筑的影响研究,fixed,1,1,1,86,
1168,自密实混凝土填充性能及堆石混凝土界面微观特性研究,fixed,1,1,1,85,
1244,基于堆石混凝土技术的斜坡式围堰结构设计优化,fixed,2,2,2,4,
1317,堆石混凝土拱坝施工期温度监测与分析,fixed,1,1,1,8,
1344,关键词:堆石混凝土,fixed,0,0,0,5,
1354,关键词:堆石混凝土,fixed,2,2,2,17,
145,基于扩展Lagrange乘子的Clough接触面模型及应用,fixed,4,4,4,7,
146,基于扩展有限元法的大坝面板脱空三维模拟分析,fixed,3,3,3,16,
147,堆石体流变对混凝土面板坝应力变形特性的影响,fixed,4,4,4,7,
150,堆石混凝土的应用现状与发展趋势,fixed,3,3,3,8,
1554,自密实堆石混凝土施工技术在中小型水库中的应用——以纳夜水库为例,fixed,3,3,3,3,
1577,高海拔高寒地区堆石混凝土坝温度应力仿真分析与温度监测,fixed,1,1,1,10,
166,超高面板堆石坝混凝土面板应力状态影响因素分析,fixed,11,11,11,4,
172,一类改进的堆石混凝土细观力学模型构建方法,fixed,1,1,1,18,
290,堆石混凝土施工层面结合质量影响因素的试验研究 (1),fixed,1,1,1,16,
291,堆石混凝土施工层面结合质量影响因素的试验研究,fixed,1,1,1,16,
318,堆石混凝土的应用现状与发展趋势,fixed,3,3,3,8,
366,智能化赋能堆石混凝土坝施工建设：CIM4R,fixed,0,0,0,18,
395,考虑分层填充的非均质堆石混凝土温度研究 (1),fixed,1,1,1,9,
396,考虑分层填充的非均质堆石混凝土温度研究,fixed,1,1,1,9,
416,自密实堆石混凝土梁的正截面受力性能,fixed,1,1,1,4,
435,基于随机骨料投放的堆石混凝土断裂性能研究,fixed,8,8,8,89,
437,堆石混凝土中自密实混凝土充填性能的离散元模拟研究,fixed,3,3,3,94,
443,堆石混凝土大坝施工缝层间强度研究,fixed,10,10,10,89,
448,堆石混凝土强度性能及冻融耐久性的研究,fixed,6,6,6,182,
458,堆石混凝土立方体抗压性能尺寸效应研究,fixed,2,2,2,107,
