"case_id","category","turns_json","current_question","prior_source_count","prior_answer_summary","expected_intent","expected_prior_decision","expected_planner_action","expected_long_term_enabled","expected_citation_from_prior_allowed","expected_guardrail","baseline_failure_mode","tags","notes"
"p52_real_followup_001","followup","[""User: Explain filling capacity in rock-filled concrete."",""Assistant: Filling capacity depends on SCC flowability, aggregate voids, and construction quality.""]","Please expand the previous answer.","4","Filling capacity in rock-filled concrete depends on SCC flowability, aggregate void filling, and construction quality control.","expand_followup","use_prior","answer_from_prior_evidence","false","false","memory_summary_not_citation_source","legacy_ok_control","followup;prior_reuse","Same-topic expansion should reuse prior retrieved evidence."
"p52_real_followup_002","followup","[""User: 堆石混凝土的填充密实性受哪些因素影响？"",""Assistant: 主要与自密实混凝土流动性、堆石级配和浇筑质量有关。""]","请详细展开上面的回答。","4","堆石混凝土填充密实性受自密实混凝土流动性、堆石级配、孔隙填充和施工质量控制影响。","expand_followup","use_prior","answer_from_prior_evidence","false","false","memory_summary_not_citation_source","legacy_ok_control","followup;zh","中文同主题展开应复用 prior evidence。"
"p52_real_followup_003","followup","[""User: What is the role of aggregate grading in RFC?"",""Assistant: Aggregate grading changes void ratio and affects whether SCC can fill the rock skeleton.""]","Continue with more details.","3","Aggregate grading affects void ratio, rock skeleton connectivity, and SCC filling behavior in rock-filled concrete.","expand_followup","use_prior","answer_from_prior_evidence","false","false","memory_summary_not_citation_source","legacy_ok_control","followup;aggregate","Short continuation should use prior evidence."
"p52_real_followup_004","followup","[""User: 说明堆石混凝土施工质量控制。"",""Assistant: 质量控制包括堆石清洁、分层投放、SCC 浇筑、振捣限制和检测。""]","继续补充。","5","堆石混凝土施工质量控制包括堆石清洁、分层投放、自密实混凝土浇筑、过程检测和缺陷控制。","expand_followup","use_prior","answer_from_prior_evidence","false","false","memory_summary_not_citation_source","legacy_ok_control","followup;construction","中文短追问需要识别为展开。"
"p52_real_followup_005","followup","[""User: How does hydration heat affect RFC dams?"",""Assistant: Hydration heat creates temperature gradients and cracking risk, so thermal control is needed.""]","Elaborate on that.","4","Hydration heat in rock-filled concrete dams causes temperature gradients, thermal stress, and cracking risk; cooling and placement control reduce risk.","expand_followup","use_prior","answer_from_prior_evidence","false","false","memory_summary_not_citation_source","legacy_ok_control","followup;thermal","English elaboration should reuse same-topic prior."
"p52_real_followup_006","followup","[""User: 抗渗性能和孔隙率有什么关系？"",""Assistant: 孔隙率越高，渗流通道越容易形成，抗渗性能通常下降。""]","再展开一点。","3","抗渗性能与孔隙率、连通孔隙、浆体密实度和界面质量有关。","expand_followup","use_prior","answer_from_prior_evidence","false","false","memory_summary_not_citation_source","legacy_ok_control","followup;durability","Same answer expansion."
"p52_real_followup_007","followup","[""User: What is self-compacting concrete doing in RFC?"",""Assistant: SCC flows into rock voids and binds the rock skeleton without strong vibration.""]","Give a more detailed answer.","4","Self-compacting concrete fills voids in the rock skeleton, bonds aggregates, and improves construction efficiency when flowability is sufficient.","expand_followup","use_prior","answer_from_prior_evidence","false","false","memory_summary_not_citation_source","legacy_ok_control","followup;scc","Detailed answer request should use prior."
"p52_real_followup_008","followup","[""User: 请解释堆石混凝土坝温控。"",""Assistant: 温控关注水化热、浇筑温度、冷却管和温度梯度。""]","把这一点讲细一些。","4","堆石混凝土坝温控涉及水化热、入仓温度、冷却管、温度梯度和开裂风险。","expand_followup","use_prior","answer_from_prior_evidence","false","false","memory_summary_not_citation_source","legacy_ok_control","followup;temperature","Chinese detailed follow-up."
"p52_real_followup_009","followup","[""User: Describe interface transition zones in RFC."",""Assistant: The interface transition zone affects bonding between SCC paste and rock aggregate.""]","Expand this explanation.","3","Interface transition zones influence bonding, microcracking, permeability, and mechanical behavior between SCC paste and rock aggregate.","expand_followup","use_prior","answer_from_prior_evidence","false","false","memory_summary_not_citation_source","legacy_ok_control","followup;itz","Same-topic expansion."
"p52_real_followup_010","followup","[""User: 堆石混凝土弹性模量受什么影响？"",""Assistant: 受堆石骨架、自密实混凝土强度、界面和孔隙率影响。""]","请继续详细说明。","4","堆石混凝土弹性模量受堆石骨架、自密实混凝土强度、界面过渡区、孔隙率和级配影响。","expand_followup","use_prior","answer_from_prior_evidence","false","false","memory_summary_not_citation_source","legacy_ok_control","followup;mechanics","Prior evidence enough for answer."
