run_at,query_id,category,judge_provider,judge_model,execute_requested,status,faithfulness,answer_coverage,citation_support,refusal_correctness,conciseness,safety_leak_check,risk_level,short_reason,next_action,error
2026-06-14T11:04:26.349682+00:00,stage29_wiki_rcc_dam,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,0.100,0.250,0.000,1.000,0.900,1.000,medium,Answer hallucinates RCC definition and unsupported claims; sources lack placement details.,"Revise answer to only state what sources support, or retrieve more specific sources on RCC placement.",
2026-06-14T11:04:26.349682+00:00,stage29_wiki_arch_dam,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,1.000,1.000,1.000,1.000,0.000,medium,"Answer accurately extracts key points from the provided source, supported by evidence, and adds no unsafe or irrelevant content.",complete,
2026-06-14T11:04:26.349682+00:00,stage29_wiki_hydraulic_engineering,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,0.000,0.000,0.000,1.000,1.000,medium,Refused though query relevant; no coverage or citation support.,Improve retrieval to find relevant sources.,
2026-06-14T11:04:26.349682+00:00,stage29_wiki_concrete_cover,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,0.900,0.800,0.700,1.000,0.900,0.000,medium,"Answer is mostly faithful but lacks explicit mention of fire protection from sources. Coverage is good but missing some expected points. Citations partially support claims, but source 4 is key and low-scoring.",refine,
2026-06-14T11:04:26.349682+00:00,stage29_wiki_dam_applications,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,0.900,1.000,0.800,1.000,1.000,1.000,low,"Answer accurately addresses development and resemblance, though source snippet is truncated; citations likely support claims.",approve,
2026-06-14T11:04:26.349682+00:00,stage29_standard_eap,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,0.800,0.800,0.400,1.000,0.900,1.000,medium,"Faithful to inferred meaning but provided snippet limited; missing 'develop' in answer coverage; citation only from heading, details unsupported.",none,
2026-06-14T11:04:26.349682+00:00,stage29_standard_earthquake,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,0.600,0.700,0.400,1.000,1.000,0.000,low,"Answer claims FEMA P-65 does not prescribe specific technical requirements, which is poorly supported by citations. Partially covers expected points.",revise,
2026-06-14T11:04:26.349682+00:00,stage29_standard_living_with_dams,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,0.750,0.750,1.000,1.000,0.000,medium,Faithful and concise answer. Covered regulation and ownership points well but missed expected details about maintenance and upgrades.,enhance,
2026-06-14T11:04:26.349682+00:00,stage29_standard_pocket_guide,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,0.000,0.000,1.000,1.000,0.000,medium,"Answer honestly states insufficient evidence. Provided source only lists other resources, no guide purpose. Good refusal handling when info missing.",approve,
2026-06-14T11:04:26.349682+00:00,stage29_standard_inundation_mapping,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,0.700,0.750,0.500,1.000,1.000,0.000,medium,Faithfulness moderate because source 2 doesn't support the details; coverage missing emergency planning; citation support weak for source 2.,none,
