query_id,question,category,expected_has_image,returned_image_count,relevant_image_count,top1_relevant,suppressed,expected_path_hit,top1_caption_match,topk_caption_match,top1_doc_match,wrong_generic_curve,top_score,top_caption,top_page_number,top_document_title,top_source_image_path,top_image_url,captions_present,page_numbers_present,error
edge_cross_page_001,请找出水库枢纽平面布置相关的堆石混凝土工程图,must_have_image,True,4,3,True,False,False,False,False,False,False,0.704765,Figure 5. (a) A contour Map of the Gongming No. 4 dam; (b) a longitudinal axis proﬁle map between P1 and P2; (c) a transect map at 235 m.,8,Li 等 - 2019 - Earth and Rock-Filled Dam Monitoring by High-Resolution X-Band Interferometry Gongming Dam Case Stu,data/images/1183/page8_img1.png,/assets/images/1183/page8_img1.png,2,4,
edge_cross_page_002,请返回新龙堡水库建坝河段示意图,must_have_image,True,4,4,True,False,False,False,False,False,False,0.62384,图1 上下坝址俯视图,2,大坝枢纽由堆石混凝土重力坝,data/images/1360/page2_img1.png,/assets/images/1360/page2_img1.png,4,4,
edge_cross_page_003,请找坝址选择示意图而不是普通地形照片,must_have_image,True,4,3,True,False,False,False,False,False,False,0.647842,图1 上下坝址俯视图,2,大坝枢纽由堆石混凝土重力坝,data/images/1360/page2_img1.png,/assets/images/1360/page2_img1.png,3,4,
edge_cross_page_004,请返回水下自密实堆石混凝土浇筑流程图,must_have_image,True,4,4,True,False,False,False,False,False,False,0.798957,,2,堆石混凝土的工程应用,data/images/317/page2_img2.png,/assets/images/317/page2_img2.png,2,4,
edge_cross_page_005,请找单轴压缩试验设备的图片,must_have_image,True,4,3,True,False,True,True,True,True,False,0.649316,图1 单轴压缩试验图,2,关键词 : 堆石混凝土坝,data/images/1471/page2_img1.png,/assets/images/1471/page2_img1.png,2,4,
edge_table_chart_001,请找不同HPMC掺量下拌合物状态的图,must_have_image,True,3,3,True,False,False,False,False,True,False,0.672714,,6,自密实堆石混凝土的施工性和硬化后性能,data/images/1383/page6_img2.png,/assets/images/1383/page6_img2.png,2,3,
edge_table_chart_002,请返回水泥流失量影响因素的曲线图,must_have_image,True,4,0,False,False,False,False,False,False,True,0.574539,图４ 施工期温度监测数据变化曲线,4,堆石混凝土拱坝施工期温度监测与分析,data/images/1317/page4_img8.png,/assets/images/1317/page4_img8.png,2,4,
edge_table_chart_003,请找坍落扩展度影响因素图,must_have_image,True,4,2,True,False,False,False,False,False,False,0.605341,,2,水库堆石坝高强自密实混凝土施工控制要点,data/images/1389/page2_img1.png,/assets/images/1389/page2_img1.png,2,4,
edge_table_chart_004,请返回T500扩展时间折线图,must_have_image,True,2,1,True,False,True,True,True,True,False,0.576964,图 5 不同因素对混凝土拌合物T500扩展时间的影响,5,自密实堆石混凝土的施工性和硬化后性能,data/images/1383/page5_img1.png,/assets/images/1383/page5_img1.png,1,2,
edge_table_chart_005,请找材料试验结果附近的胶结人工砂石图,must_have_image,True,4,0,False,False,False,False,False,False,False,0.655889,,64,堆石混凝土抗拉性能及劈裂抗拉破坏机理,data/images/451/page64_img3.png,/assets/images/451/page64_img3.png,0,4,
edge_multi_compete_001,请在同一页多张图中找Qf和Qs通量统计图,must_have_image,True,4,2,True,False,True,True,True,True,False,0.609532,Figure 9. The statistics results of ﬂuxes of ﬂuid Qs and particles Qf when Ar = 8.,10,Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete,data/images/12/page10_img1.png,/assets/images/12/page10_img1.png,4,4,
edge_multi_compete_002,请在同页图中找passing factor PF with different Gn,must_have_image,True,2,2,True,False,True,True,True,True,False,0.727512,Figure 10. The passing factor PF with diﬀerent Gn (φs = 0.46).,10,Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete,data/images/12/page10_img2.png,/assets/images/12/page10_img2.png,2,2,
edge_multi_compete_003,请找Ar横轴的透过系数曲线而不是Qf通量图,must_have_image,True,4,4,True,False,False,False,False,False,False,0.673819,图5.13 0.25 sφ = 时分项通过系数结果,109,宾汉姆流体的LBM-DEM方法及自密实混凝土复杂流动研究,data/images/1134/page109_render1.png,/assets/images/1134/page109_render1.png,4,4,
edge_multi_compete_004,请找不同φs条件下PF曲线图,must_have_image,True,4,4,True,False,False,False,False,False,False,0.623596,图5.10 Gn=67 时不同 sφ 下的通过系数,107,宾汉姆流体的LBM-DEM方法及自密实混凝土复杂流动研究,data/images/1134/page107_render1.png,/assets/images/1134/page107_render1.png,3,4,
edge_multi_compete_005,请找PF、PFf、PFs三条曲线的图,must_have_image,True,1,1,True,False,False,False,False,True,False,0.729645,"Figure 12. The passing factor PF, PFf, PFs when Gn = 133, φs = 0.35.",11,Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete,data/images/12/page11_img4.png,/assets/images/12/page11_img4.png,1,1,
