query_id,question,category,expected_has_image,returned_image_count,relevant_image_count,top1_relevant,suppressed,expected_path_hit,top1_caption_match,topk_caption_match,top1_doc_match,wrong_generic_curve,top_score,top_caption,top_page_number,top_document_title,top_source_image_path,top_image_url,captions_present,page_numbers_present,error
real_must_001,请召回堆石混凝土应力应变曲线相关图片。,must_have_image,True,4,4,True,False,False,True,True,False,False,1.0,图 4-11 填充未密实缺陷应力应变曲线、剪应力、声发射及模型破裂演化过程,58,基于深度学习方法的堆石混凝土缺陷识别与分析,data/images/431/page58_render1.png,/assets/images/431/page58_render1.png,4,4,
real_must_002,召回和 RFC 强度试验结果有关的图片。,must_have_image,True,4,4,True,False,False,True,True,False,False,1.0,图7 抗压强度－劈裂抗拉拟合曲线,5,堆石混凝土施工工艺,data/images/1506/page5_img3.png,/assets/images/1506/page5_img3.png,4,4,
real_must_003,有没有 RFC 温度变化或绝热温升曲线图？,must_have_image,True,4,4,True,False,False,True,True,True,False,1.0,图8 不同初始浇筑温度绝热温升速率τ/θ( τ),5,堆石混凝土绝热温升曲线特征及速率模型,data/images/330/page5_img2.png,/assets/images/330/page5_img2.png,4,4,
real_must_004,召回和粉煤灰 RFC 试验曲线相关的图片。,must_have_image,True,4,4,True,False,False,True,True,True,False,1.0,图3-10 绝热温升速率与时间/温升曲线关系图（粉煤灰掺量80%）,42,粉煤灰掺量对堆石混凝土绝热温升值影响的试验研究及拱坝温度过程分析,data/images/1155/page42_img1.png,/assets/images/1155/page42_img1.png,4,4,
real_must_005,请召回堆石混凝土微观结构或界面过渡区图片。,must_have_image,True,4,4,True,False,False,True,True,True,False,1.0,图4.19 界面过渡区图像处理时采用的带状分割法,108,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page108_render1.png,/assets/images/1168/page108_render1.png,3,4,
real_must_006,召回 RFC 试件破坏结果图。,must_have_image,True,4,2,True,False,False,True,True,True,False,1.0,图5 模型破坏后裂纹的分布情况（ inter  = 10 MPa） Fig. 5 Post-failure crack distributions of the numerical specimens（ inter  = 10 MPa）,4,堆石混凝土抗压强度影响因素细观分析,data/images/287/page4_img8.png,/assets/images/287/page4_img8.png,4,4,
real_must_007,请召回堆石混凝土施工或浇筑流程图片。,must_have_image,True,4,4,True,False,False,True,True,False,False,1.0,图1.3 堆石混凝土分层浇筑施工现场,10,堆石混凝土层间界面剪切力学性能研究,data/images/446/page10_img2.png,/assets/images/446/page10_img2.png,3,4,
real_must_008,找出展示堆石粒径分布或填充效果的图。,must_have_image,True,4,3,True,False,False,False,False,False,False,0.783644,图4.8 不同堆石粒径对RFC 裂纹发展的影响,64,堆石混凝土抗拉性能及劈裂抗拉破坏机理,data/images/451/page64_img8.png,/assets/images/451/page64_img8.png,4,4,
real_must_009,请召回堆石混凝土试验装置或加载设备图片。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图2.9 SCC 抗剪强度试验装置和监测设备,31,堆石混凝土层间抗剪性能及其破坏机理研究,data/images/445/page31_img1.png,/assets/images/445/page31_img1.png,4,4,
real_must_010,请召回堆石混凝土应力应变曲线相关图片。,must_have_image,True,4,4,True,False,False,True,True,False,False,1.0,图 4-11 填充未密实缺陷应力应变曲线、剪应力、声发射及模型破裂演化过程,58,基于深度学习方法的堆石混凝土缺陷识别与分析,data/images/431/page58_render1.png,/assets/images/431/page58_render1.png,4,4,
real_must_011,请找出堆石混凝土抗压强度或强度发展曲线图。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图2 不同应变率下堆石混凝土的抗压强度与围压的关系 Fig. 2 Relationships between compressive strength and confining pressure of RFC at different strain rates,6,中低应变率下堆石混凝土动强度试验研究,data/images/177/page6_img4.png,/assets/images/177/page6_img4.png,4,4,
real_must_012,有没有 RFC 温度变化或绝热温升曲线图？,must_have_image,True,4,4,True,False,False,True,True,True,False,1.0,图8 不同初始浇筑温度绝热温升速率τ/θ( τ),5,堆石混凝土绝热温升曲线特征及速率模型,data/images/330/page5_img2.png,/assets/images/330/page5_img2.png,4,4,
real_must_013,请找出粉煤灰掺量影响堆石混凝土性能的图。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图3-9 绝热温升与绝热温升速率曲线（粉煤灰掺量80%）,41,粉煤灰掺量对堆石混凝土绝热温升值影响的试验研究及拱坝温度过程分析,data/images/1155/page41_img1.png,/assets/images/1155/page41_img1.png,4,4,
real_must_014,找出展示 RFC 界面区或 SEM 形貌的图。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图4.18 BSE 模式下获取的界面过渡区图像,107,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page107_render1.png,/assets/images/1168/page107_render1.png,2,4,
real_must_015,请找出堆石混凝土破坏形态或裂缝分布图片。,must_have_image,True,4,3,True,False,False,True,True,False,False,0.799767,图3.13 RFC 室内试验与数值模拟破坏形态对比,48,堆石混凝土抗拉性能及劈裂抗拉破坏机理,data/images/451/page48_img3.png,/assets/images/451/page48_img3.png,2,4,
real_must_016,找出展示 RFC 现场施工过程的图。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图3 浇筑施工现场情况,3,堆石混凝土砌体施工质量控制研究及实践,data/images/319/page3_img1.png,/assets/images/319/page3_img1.png,2,4,
real_must_017,请召回骨料级配、孔隙或填充性相关图片。,must_have_image,True,4,4,True,False,False,False,False,False,False,0.760975,,7,"摘 要:自密实混凝土能否密实填充堆石孔隙不仅决定了堆石混凝土的强度,而且直接影响工程的质量和安全",data/images/1453/page7_img1.png,/assets/images/1453/page7_img1.png,0,4,
real_must_018,找出 RFC 试件和试验设备相关照片。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图2.11 RFC 抗剪强度试验装置和监测设备,33,堆石混凝土层间抗剪性能及其破坏机理研究,data/images/445/page33_img1.png,/assets/images/445/page33_img1.png,3,4,
real_must_019,请召回堆石混凝土应力应变曲线相关图片。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图 4-11 填充未密实缺陷应力应变曲线、剪应力、声发射及模型破裂演化过程,58,基于深度学习方法的堆石混凝土缺陷识别与分析,data/images/431/page58_render1.png,/assets/images/431/page58_render1.png,4,4,
real_must_020,召回和 RFC 强度试验结果有关的图片。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图7 抗压强度－劈裂抗拉拟合曲线,5,堆石混凝土施工工艺,data/images/1506/page5_img3.png,/assets/images/1506/page5_img3.png,4,4,
real_must_021,有没有 RFC 温度变化或绝热温升曲线图？,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图8 不同初始浇筑温度绝热温升速率τ/θ( τ),5,堆石混凝土绝热温升曲线特征及速率模型,data/images/330/page5_img2.png,/assets/images/330/page5_img2.png,4,4,
real_must_022,召回和粉煤灰 RFC 试验曲线相关的图片。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图3-10 绝热温升速率与时间/温升曲线关系图（粉煤灰掺量80%）,42,粉煤灰掺量对堆石混凝土绝热温升值影响的试验研究及拱坝温度过程分析,data/images/1155/page42_img1.png,/assets/images/1155/page42_img1.png,4,4,
real_must_023,请召回堆石混凝土微观结构或界面过渡区图片。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图4.19 界面过渡区图像处理时采用的带状分割法,108,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page108_render1.png,/assets/images/1168/page108_render1.png,3,4,
real_must_024,召回 RFC 试件破坏结果图。,must_have_image,True,4,2,True,False,True,True,True,True,False,1.0,图5 模型破坏后裂纹的分布情况（ inter  = 10 MPa） Fig. 5 Post-failure crack distributions of the numerical specimens（ inter  = 10 MPa）,4,堆石混凝土抗压强度影响因素细观分析,data/images/287/page4_img8.png,/assets/images/287/page4_img8.png,4,4,
real_must_025,请召回堆石混凝土施工或浇筑流程图片。,must_have_image,True,4,4,True,False,True,True,True,True,False,1.0,图1.3 堆石混凝土分层浇筑施工现场,10,堆石混凝土层间界面剪切力学性能研究,data/images/446/page10_img2.png,/assets/images/446/page10_img2.png,3,4,
real_helpful_001,解释堆石混凝土应力应变关系时，哪张图最能帮助说明？,image_helpful,True,4,4,True,False,False,True,True,False,False,1.0,图3-4 标准试件L-150-52 应力应变曲线图及破坏结果图,41,基于贵州地区的堆石混凝土尺寸效应及标准值研究,data/images/433/page41_img5.png,/assets/images/433/page41_img5.png,1,4,
real_helpful_002,回答强度变化趋势时请参考相关图表。,image_helpful,True,4,4,True,False,False,True,True,False,False,1.0,图 3-5 抗压强度尺寸效应拟合曲线,28,堆石混凝土抗压强度的尺寸效应研究,data/images/450/page28_img1.png,/assets/images/450/page28_img1.png,4,4,
real_helpful_003,解释水化热对堆石混凝土温升的影响时，请参考图表。,image_helpful,True,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_helpful_004,回答粉煤灰掺量变化趋势时请优先参考图表。,image_helpful,True,4,4,True,False,False,True,True,False,False,1.0,图2.1 水泥、粉煤灰粒径分布图,26,堆石混凝土立方体抗压性能尺寸效应研究,data/images/458/page26_img1.png,/assets/images/458/page26_img1.png,3,4,
real_helpful_005,解释堆石与自密实混凝土界面特征时，哪些显微图有帮助？,image_helpful,True,4,4,True,False,False,True,True,False,False,1.0,图4.19 界面过渡区图像处理时采用的带状分割法,108,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page108_img1.png,/assets/images/1168/page108_img1.png,2,4,
real_helpful_006,解释试件破坏形态时请参考图片证据。,image_helpful,True,4,4,True,False,False,True,True,False,False,1.0,图4.3 Ⅱ类界面裂缝破坏形态,52,堆石混凝土坝一体化界面粘结性能及其劈裂抗拉破坏机理研究,data/images/1098/page52_img5.png,/assets/images/1098/page52_img5.png,4,4,
real_helpful_007,说明 RFC 施工流程时，哪些现场图或流程图有帮助？,image_helpful,True,2,2,True,False,False,True,True,True,False,0.946936,图2 新型模板施工流程（一） Figure 2 Construction process of new formwork（No.1）,2,"堆石混凝土 ( Rock-filled Concrete, RFC)",data/images/1193/page2_img5.png,/assets/images/1193/page2_img5.png,2,2,
real_helpful_008,说明级配对 RFC 性能影响时请参考相关图。,image_helpful,True,3,2,True,False,False,False,False,False,False,0.679238,,91,堆石混凝土填充性能及界面破坏特性研究,data/images/442/page91_img3.png,/assets/images/442/page91_img3.png,2,3,
real_helpful_009,说明 RFC 试验方法时，哪些装置图有帮助？,image_helpful,True,4,4,True,False,True,True,True,True,False,1.0,图 2-5 加载设备RMT-301 型岩石与混凝土力学试验系统,23,堆石混凝土缺陷对尺寸效应的影响研究,data/images/464/page23_img1.png,/assets/images/464/page23_img1.png,3,4,
real_helpful_010,比较不同模型的应力应变响应时，请优先参考相关图。,image_helpful,True,4,4,True,False,True,True,True,True,False,1.0,图 4-15 孔隙缺陷应力应变曲线、剪应力、声发射及模型破裂演化过程,64,基于深度学习方法的堆石混凝土缺陷识别与分析,data/images/431/page64_render1.png,/assets/images/431/page64_render1.png,4,4,
