query_id,question,category,expected_has_image,expected_image_keywords,expected_caption_keywords,expected_doc_keywords,expected_source_image_path,expected_page_number,notes
real_must_001,请召回堆石混凝土应力应变曲线相关图片。,must_have_image,true,应力应变,应力应变,单轴受压状态下堆石混凝土的破坏形态和力学性能分析,data/images/187/page5_img1.png,5,real_db_chunk=50055; doc=187; topic=stress_strain
real_must_002,召回和 RFC 强度试验结果有关的图片。,must_have_image,true,抗压|强度|compressive strength,抗压|强度|compressive strength,中低应变率下堆石混凝土动强度试验研究 ,data/images/176/page6_img4.png,6,real_db_chunk=34544; doc=176; topic=strength
real_must_003,有没有 RFC 温度变化或绝热温升曲线图？,must_have_image,true,绝热温升|温升|温度,绝热温升|温升|温度,堆石混凝土绝热温升曲线特征及速率模型,data/images/330/page4_img1.png,4,real_db_chunk=36185; doc=330; topic=thermal
real_must_004,召回和粉煤灰 RFC 试验曲线相关的图片。,must_have_image,true,粉煤灰,粉煤灰,粉煤灰掺量对堆石混凝土绝热温升值影响的试验研究及,data/images/1155/page40_img1.png,40,real_db_chunk=46959; doc=1155; topic=fly_ash
real_must_005,请召回堆石混凝土微观结构或界面过渡区图片。,must_have_image,true,微观|界面|过渡区|SEM,界面|过渡区,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page107_img1.png,107,real_db_chunk=51166; doc=1168; topic=microstructure
real_must_006,召回 RFC 试件破坏结果图。,must_have_image,true,破坏|crack|failure,破坏|crack|failure,堆石混凝土抗压强度影响因素细观分析,data/images/149/page4_img1.png,4,real_db_chunk=34081; doc=149; topic=failure_crack
real_must_007,请召回堆石混凝土施工或浇筑流程图片。,must_have_image,true,施工|浇筑|仓面|现场,施工|浇筑|仓面|现场,堆石混凝土技术在水库施工中的应用研究,data/images/1297/page2_img1.png,2,real_db_chunk=49316; doc=1297; topic=construction
real_must_008,找出展示堆石粒径分布或填充效果的图。,must_have_image,true,填充|filling,填充|filling,考虑分层填充的非均质堆石混凝土温度研究,data/images/396/page5_render1.png,5,real_db_chunk=52919; doc=396; topic=gradation_void
real_must_009,请召回堆石混凝土试验装置或加载设备图片。,must_have_image,true,试验装置|加载|设备,试验装置|设备,堆石混凝土层间抗剪性能及其破坏机理研究,data/images/445/page31_img1.png,31,real_db_chunk=38207; doc=445; topic=test_setup
real_must_010,请召回堆石混凝土应力应变曲线相关图片。,must_have_image,true,应力应变,应力应变,基于工程试验的堆石混凝土力学性能研究 ,data/images/198/page2_img4.png,2,real_db_chunk=34576; doc=198; topic=stress_strain
real_must_011,请找出堆石混凝土抗压强度或强度发展曲线图。,must_have_image,true,抗压|强度|compressive strength,抗压|强度|compressive strength,中低应变率下堆石混凝土动强度试验研究,data/images/177/page6_img4.png,6,real_db_chunk=34294; doc=177; topic=strength
real_must_012,有没有 RFC 温度变化或绝热温升曲线图？,must_have_image,true,绝热温升|温升|温度,绝热温升|温升|温度,堆石混凝土绝热温升曲线特征及速率模型,data/images/330/page4_img4.png,4,real_db_chunk=36188; doc=330; topic=thermal
real_must_013,请找出粉煤灰掺量影响堆石混凝土性能的图。,must_have_image,true,粉煤灰,粉煤灰,粉煤灰掺量对堆石混凝土绝热温升值影响的试验研究及,data/images/1155/page41_img1.png,41,real_db_chunk=47695; doc=1155; topic=fly_ash
real_must_014,找出展示 RFC 界面区或 SEM 形貌的图。,must_have_image,true,微观|界面|过渡区|SEM,界面|过渡区,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page107_render1.png,107,real_db_chunk=52635; doc=1168; topic=microstructure
real_must_015,请找出堆石混凝土破坏形态或裂缝分布图片。,must_have_image,true,破坏|crack|failure,破坏|crack|failure,堆石混凝土抗压强度影响因素细观分析,data/images/149/page4_img8.png,4,real_db_chunk=34088; doc=149; topic=failure_crack
real_must_016,找出展示 RFC 现场施工过程的图。,must_have_image,true,施工|浇筑|现场,施工|浇筑|现场,堆石混凝土砌体施工质量控制研究及实践,data/images/319/page3_img1.png,3,real_db_chunk=36255; doc=319; topic=construction
real_must_017,请召回骨料级配、孔隙或填充性相关图片。,must_have_image,true,填充|filling,填充|filling,考虑分层填充的非均质堆石混凝土温度研究 ,data/images/395/page5_img1.png,5,real_db_chunk=36609; doc=395; topic=gradation_void
real_must_018,找出 RFC 试件和试验设备相关照片。,must_have_image,true,试验装置|加载|设备,试验装置|设备,堆石混凝土层间抗剪性能及其破坏机理研究,data/images/445/page33_img1.png,33,real_db_chunk=38209; doc=445; topic=test_setup
real_must_019,请召回堆石混凝土应力应变曲线相关图片。,must_have_image,true,应力应变,应力应变,基于深度学习方法的堆石混凝土缺陷识别与分析,data/images/431/page58_render1.png,58,real_db_chunk=52979; doc=431; topic=stress_strain
real_must_020,召回和 RFC 强度试验结果有关的图片。,must_have_image,true,抗压|强度|劈裂,抗压|强度|劈裂,堆石混凝土施工工艺,data/images/1506/page5_img3.png,5,real_db_chunk=49654; doc=1506; topic=strength
real_must_021,有没有 RFC 温度变化或绝热温升曲线图？,must_have_image,true,绝热温升|温升|温度,绝热温升|温升|温度,堆石混凝土绝热温升曲线特征及速率模型,data/images/330/page5_img2.png,5,real_db_chunk=36191; doc=330; topic=thermal
real_must_022,召回和粉煤灰 RFC 试验曲线相关的图片。,must_have_image,true,粉煤灰,粉煤灰,粉煤灰掺量对堆石混凝土绝热温升值影响的试验研究及,data/images/1155/page42_img1.png,42,real_db_chunk=48429; doc=1155; topic=fly_ash
real_must_023,请召回堆石混凝土微观结构或界面过渡区图片。,must_have_image,true,微观|界面|过渡区|SEM,界面|过渡区,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page108_render1.png,108,real_db_chunk=52636; doc=1168; topic=microstructure
real_must_024,召回 RFC 试件破坏结果图。,must_have_image,true,破坏|crack|failure,破坏|crack|failure,堆石混凝土抗压强度影响因素细观分析,data/images/287/page4_img8.png,4,real_db_chunk=35852; doc=287; topic=failure_crack
real_must_025,请召回堆石混凝土施工或浇筑流程图片。,must_have_image,true,施工|浇筑|现场,施工|浇筑|现场,堆石混凝土层间界面剪切力学性能研究,data/images/446/page10_img2.png,10,real_db_chunk=37177; doc=446; topic=construction
real_helpful_001,解释堆石混凝土应力应变关系时，哪张图最能帮助说明？,image_helpful,true,应力应变,应力应变,基于深度学习方法的堆石混凝土缺陷识别与分析,data/images/431/page61_render1.png,61,real_db_chunk=52981; doc=431; topic=stress_strain
real_helpful_002,回答强度变化趋势时请参考相关图表。,image_helpful,true,抗压|强度|劈裂,抗压|强度|劈裂,贵州地区堆石混凝土界面的微观及破坏机理分析,data/images/1172/page42_img4.png,42,real_db_chunk=45452; doc=1172; topic=strength
real_helpful_003,解释水化热对堆石混凝土温升的影响时，请参考图表。,image_helpful,true,绝热温升|温升|温度,绝热温升|温升|温度,堆石混凝土绝热温升试验与温升机制研究,data/images/461/page34_img1.png,34,real_db_chunk=38867; doc=461; topic=thermal
real_helpful_004,回答粉煤灰掺量变化趋势时请优先参考图表。,image_helpful,true,粉煤灰,粉煤灰,粉煤灰掺量对堆石混凝土绝热温升值影响的试验研究及,data/images/1155/page47_img1.png,47,real_db_chunk=49160; doc=1155; topic=fly_ash
real_helpful_005,解释堆石与自密实混凝土界面特征时，哪些显微图有帮助？,image_helpful,true,微观|界面|SEM,微观|界面,贵州地区堆石混凝土界面的微观及破坏机理分析,data/images/1172/page93_img1.png,93,real_db_chunk=46764; doc=1172; topic=microstructure
real_helpful_006,解释试件破坏形态时请参考图片证据。,image_helpful,true,破坏|crack|failure,破坏|crack|failure,堆石混凝土抗压强度影响因素细观分析,data/images/287/page4_img1.png,4,real_db_chunk=50065; doc=287; topic=failure_crack
