query_id,query,baseline_hit,upgraded_hit,source_match,rank_before,rank_after,retrieval_mode,decision,evidence,baseline_top_titles,upgraded_top_titles,matched_channels,provider,model_name,notes
construction_quality,施工质量 堆石混凝土,yes,yes,yes,1,1,bm25_vector_rrf,neutral,channels=bm25+vector; bm25_rank=2; vector_rank=3; rrf_score=0.032002; context_window=1; context_chunk_ids=22,"堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || On-site experiment methods on the compaction detection of rock-filled concrete || Quality Control and Instrumentation || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Pilot Study on Vibrated Rock-filled Concrete",堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 自密实堆石混凝土力学性能的试验研究 || 堆石混凝土绝热温升性能初步研究 || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,bm25+vector,deterministic,hash-token-v1,检查中文施工质量问题能否命中质量控制或密实度检测相关资料
filling_capacity_cn,填充能力 自密实混凝土 堆石体,yes,yes,no,1,1,bm25_vector_rrf,neutral,channels=bm25+vector; bm25_rank=1; vector_rank=2; rrf_score=0.032522; context_window=1; context_chunk_ids=21,"Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || 自密实混凝土充填堆石体试验研究 || Experimental study of Self-Compacting Concrete filled prepacked rock || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam","自密实混凝土充填堆石体试验研究 || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || 自密实堆石混凝土力学性能的试验研究 || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Experimental study of Self-Compacting Concrete filled prepacked rock || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete",bm25+vector,deterministic,hash-token-v1,检查中文填充能力和英文 filling capacity 的同义召回
filling_capacity_en,filling capacity rock-filled concrete,yes,yes,yes,1,1,bm25_vector_rrf,neutral,channels=bm25+vector; bm25_rank=1; vector_rank=5; rrf_score=0.031778; context_window=1; context_chunk_ids=26,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || Experiment on Self-Compacting Concrete Filling Rock-Fill || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || Pilot Study on Vibrated Rock-filled Concrete || 自密实混凝土充填堆石体试验研究,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Experiment on Self-Compacting Concrete Filling Rock-Fill || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || 自密实混凝土充填堆石体试验研究 || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,bm25+vector,deterministic,hash-token-v1,检查英文填充能力主题
thermal_control,水化热 温升 堆石混凝土,yes,yes,yes,1,1,bm25_vector_rrf,neutral,channels=bm25+vector; bm25_rank=2; vector_rank=1; rrf_score=0.032522; context_window=1; context_chunk_ids=24,"堆石混凝土绝热温升性能初步研究 || A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Preliminary study on temperature rise property of thermal insulation of rock-fill concrete || Mesoscopic thermal field reconstruction and parametrical studies of heterogeneous rock-filled concrete at early age || Rock-filled concrete in the mass concrete temperature field analysis || Measurement and Evaluation of the Thermal Expansion Coefficient of Rock-Filled Concrete || Field prototype experiment of rockfill temperature before SCC filling for rock-filled concrete dam","堆石混凝土绝热温升性能初步研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相",bm25+vector,deterministic,hash-token-v1,检查中文温控词能否命中中英文温度场资料
elastic_modulus,弹性模量 rock-filled concrete,yes,yes,yes,1,1,bm25_vector_rrf,neutral,"channels=bm25+vector; bm25_rank=14; vector_rank=7; rrf_score=0.028439; context_window=1; context_chunk_ids=947,948,949","A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || On the elastic modulus of rock-filled concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation",A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 自密实堆石混凝土力学性能的试验研究 || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,bm25+vector,deterministic,hash-token-v1,检查中文弹性模量与英文 elastic modulus 混合查询
seismic_behavior,抗震 seismic behavior rock-filled concrete dam,yes,yes,yes,1,1,bm25_vector_rrf,neutral,"channels=bm25+vector; bm25_rank=5; vector_rank=2; rrf_score=0.031514; context_window=1; context_chunk_ids=960,961",Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,bm25+vector,deterministic,hash-token-v1,检查抗震/地震/seismic 同义词
review_overview,堆石混凝土 综述 next generation,yes,yes,yes,1,1,bm25_vector_rrf,neutral,channels=bm25+vector; bm25_rank=1; vector_rank=2; rrf_score=0.032522; context_window=1; context_chunk_ids=29,"A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Research on Rock-Filled Concrete Dams: a Review || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || State-of-the-Art and Future Prospects || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam",A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || 堆石混凝土绝热温升性能初步研究 || 自密实堆石混凝土力学性能的试验研究 || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams,bm25+vector,deterministic,hash-token-v1,检查综述类资料召回
mesoscopic_modeling,细观 数值 模拟 堆石混凝土,yes,yes,no,2,7,bm25_vector_rrf,neutral,"channels=bm25+vector; bm25_rank=7; vector_rank=29; rrf_score=0.026161; context_window=1; context_chunk_ids=974,975","Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation || Meso-scale simulation and experimental study on self-compacted rock-fill concrete || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Void effect study on the compressive behavior of RFC based on the 3D four-phase mesoscopic finite element model || Shear tests and meso-scale simulation of cold joint structures in rock-filled concrete: Considering the mutual contact effects between component materials",堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土绝热温升性能初步研究 || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 自密实堆石混凝土力学性能的试验研究 || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams,bm25+vector,deterministic,hash-token-v1,检查中文细观/数值/模拟到英文 mesoscopic/simulation 的召回
cold_joint_shear,层间 冷缝 shear rock-filled concrete,yes,yes,no,1,1,bm25_vector_rrf,neutral,channels=bm25+vector; bm25_rank=2; vector_rank=2; rrf_score=0.032258; context_window=1; context_chunk_ids=931,"Experimental studies on shear properties of cold joints of rock-filled concrete || Effect of rock shear keys on the shear performance of cold joints in rock-filled concrete structures: Experimental and numerical investigation || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 自密实堆石混凝土力学性能的试验研究 || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China",Effect of rock shear keys on the shear performance of cold joints in rock-filled concrete structures: Experimental and numerical investigation || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 自密实堆石混凝土力学性能的试验研究 || 大体积堆石（卵石）混凝土内部温度的试验研究 || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete,bm25+vector,deterministic,hash-token-v1,检查冷缝/层间/剪切主题
peridynamics,peridynamics rock-filled concrete,yes,yes,yes,2,2,bm25_vector_rrf,neutral,"channels=bm25+vector; bm25_rank=1; vector_rank=2; rrf_score=0.032522; context_window=1; context_chunk_ids=701,702,703","堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 自密实堆石混凝土力学性能的试验研究 || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams","堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 自密实堆石混凝土力学性能的试验研究 || 大体积堆石（卵石）混凝土内部温度的试验研究 || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || Filling the gaps in large concrete dams || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete",bm25+vector,deterministic,hash-token-v1,检查英文专有方法 Peridynamics
construction_management,CIM4R construction information management,yes,yes,yes,1,2,bm25_vector_rrf,neutral,"channels=bm25+vector; bm25_rank=1; vector_rank=16; rrf_score=0.029551; context_window=1; context_chunk_ids=916,917","Construction information management system for rock-filled concrete dam (CIM4R) || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics","A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Construction information management system for rock-filled concrete dam (CIM4R) || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental Impact of Rock-Filled and Conventional Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Experimental study on new technology of the construction waste concrete recycling",bm25+vector,deterministic,hash-token-v1,检查施工信息管理题录
