variant,run,case_id,category,ok,error_category,http_status,expected_tool,observed_tool_names,expected_graph_requirement,observed_graph_requirement,citation_count,selected_count,live_selected_count,lexical_backend,vector_backend,vector_degraded,streaming_degraded,streamed_token_count,counts_match,conversation_persisted,first_token_ms,elapsed_ms,retrieval_total_latency_ms,glm_rerank_latency_ms,agent_short_loop_enabled,reranking_provider,reranking_model_name,retrieval_candidate_cache_enabled,rerank_order_cache_enabled,tool_result_cache_enabled,semantic_evidence_cache_enabled,snapshot_fingerprint
phase64,1,e2e-text-01,regression_text,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,3,12,12,bm25,pgvector_hnsw,False,False,135,True,True,106714.976,109673.744,28561.252,1167.405,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,e2e-text-01,regression_text,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,5,12,12,bm25,pgvector_hnsw,False,False,278,True,True,48855.222,54800.355,18403.942,5683.87,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,e2e-text-02,ordinary_text,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,,0,0,12,,,False,False,0,False,False,0.0,13825.685,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,e2e-text-02,ordinary_text,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,7,12,12,bm25,pgvector_hnsw,False,False,319,True,True,45044.098,52672.762,3913.714,954.725,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,e2e-rel-01,relationship,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,active,required,4,12,12,bm25,pgvector_hnsw,False,False,513,True,True,28473.116,40470.809,6873.227,2248.034,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,e2e-rel-01,relationship,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,active,required,8,12,12,bm25,pgvector_hnsw,False,False,371,True,True,24649.837,32717.556,6910.562,1741.807,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,e2e-fig-01,figure,True,,200,search_figures,search_figures,disabled,disabled,8,11,11,not_run,pgvector_hnsw,False,False,314,True,True,16658.101,24223.005,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,e2e-fig-01,figure,True,,200,search_figures,search_figures,disabled,disabled,8,11,11,not_run,pgvector_hnsw,False,False,137,True,True,19815.94,22967.497,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,e2e-table-01,table,True,,200,search_tables,search_tables,disabled,disabled,1,12,12,not_run,pgvector_hnsw,False,False,185,True,True,26387.317,30677.274,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,e2e-table-01,table,True,,200,search_tables,search_tables,disabled,disabled,1,12,12,not_run,pgvector_hnsw,False,False,129,True,True,12228.706,14555.418,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,e2e-neg-fig-01,negative_visual,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,5,12,12,bm25,pgvector_hnsw,False,False,183,True,True,31822.978,37961.967,3320.719,841.432,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,e2e-neg-fig-01,negative_visual,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,,0,0,12,,,False,False,0,False,False,0.0,10007.251,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,e2e-neg-table-01,negative_table,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,5,12,12,bm25,pgvector_hnsw,False,False,456,True,True,18198.074,30770.017,3798.169,863.605,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,e2e-neg-table-01,negative_table,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,3,12,12,bm25,pgvector_hnsw,False,False,339,True,True,47887.194,55687.382,4345.368,3816.956,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,e2e-neg-rel-01,negative_relationship,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,1,12,12,bm25,pgvector_hnsw,False,False,29,True,True,23055.255,23869.347,9211.943,932.541,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,e2e-neg-rel-01,negative_relationship,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,,0,0,12,,,False,False,0,False,False,0.0,9889.898,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,e2e-rock-mechanics-01,ordinary_text,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,5,12,12,bm25,pgvector_hnsw,False,False,381,True,True,27261.186,34028.096,2022.205,824.737,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
