query_id,query,passed,keyword_passed,comparison,hit_rank,hit_document_id,hit_title,hit_source_type,metadata_ratio,result_count,best_score,top_scores,top_titles,top_source_types,provider,model_name,notes
construction_quality,施工质量 堆石混凝土,yes,yes,same_pass,1,125,Quality Control and Instrumentation,metadata_record,0.12,8,0.6201,0.6201 || 0.7267 || 0.7504 || 0.7358 || 0.7339 || 0.7132 || 0.7233 || 0.7187,Quality Control and Instrumentation || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,metadata_record || institutional_access_pdf || institutional_access_pdf || institutional_access_pdf || institutional_access_pdf || local_file || institutional_access_pdf || institutional_access_pdf,openai-compatible,jina-embeddings-v3,检查中文施工质量问题能否命中质量控制或密实度检测相关资料
filling_capacity_cn,填充能力 自密实混凝土 堆石体,yes,yes,same_pass,1,7,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,local_file,0.00,8,0.7309,0.7309 || 0.7697 || 0.7793 || 0.7583 || 0.7867 || 0.7911 || 0.7526 || 0.7692,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || 自密实混凝土充填堆石体试验研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,local_file || local_file || institutional_access_pdf || institutional_access_pdf || institutional_access_pdf || institutional_access_pdf || local_file || institutional_access_pdf,openai-compatible,jina-embeddings-v3,检查中文填充能力和英文 filling capacity 的同义召回
filling_capacity_en,filling capacity rock-filled concrete,yes,yes,same_pass,1,7,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,local_file,0.38,8,0.7148,0.7148 || 0.7635 || 0.7036 || 0.7434 || 0.7322 || 0.7149 || 0.7043 || 0.7383,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling capacity analysis of self-compacting concrete in rock-filled concrete based on DEM || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,local_file || open_access_pdf || metadata_record || open_access_pdf || metadata_record || metadata_record || open_access_pdf || open_access_pdf,openai-compatible,jina-embeddings-v3,检查英文填充能力主题
thermal_control,水化热 温升 堆石混凝土,yes,yes,same_pass,1,5,堆石混凝土绝热温升性能初步研究,local_file,0.12,8,0.7512,0.7512 || 0.7177 || 0.7238 || 0.7179 || 0.6882 || 0.6865 || 0.6379 || 0.6859,堆石混凝土绝热温升性能初步研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Field prototype experiment of rockfill temperature before SCC filling for rock-filled concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,local_file || institutional_access_pdf || local_file || institutional_access_pdf || institutional_access_pdf || institutional_access_pdf || metadata_record || institutional_access_pdf,openai-compatible,jina-embeddings-v3,检查中文温控词能否命中中英文温度场资料
elastic_modulus,弹性模量 rock-filled concrete,yes,yes,same_pass,1,16,A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,open_access_pdf,0.12,8,0.7669,0.7669 || 0.7924 || 0.7717 || 0.7536 || 0.7583 || 0.7339 || 0.7429 || 0.7201,A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || On the elastic modulus of rock-filled concrete || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,open_access_pdf || open_access_pdf || metadata_record || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf,openai-compatible,jina-embeddings-v3,检查中文弹性模量与英文 elastic modulus 混合查询
seismic_behavior,抗震 seismic behavior rock-filled concrete dam,yes,yes,same_pass,1,134,Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios,metadata_record,0.38,8,0.7836,0.7836 || 0.7523 || 0.7510 || 0.7770 || 0.7345 || 0.7567 || 0.7355 || 0.7339,Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,metadata_record || metadata_record || metadata_record || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf,openai-compatible,jina-embeddings-v3,检查抗震/地震/seismic 同义词
review_overview,堆石混凝土 综述 next generation,yes,yes,same_pass,1,10,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,local_file,0.25,8,0.8039,0.8039 || 0.6804 || 0.6733 || 0.6104 || 0.6418 || 0.7713 || 0.6501 || 0.6631,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,local_file || metadata_record || open_access_pdf || metadata_record || open_access_pdf || local_file || open_access_pdf || open_access_pdf,openai-compatible,jina-embeddings-v3,检查综述类资料召回
mesoscopic_modeling,细观 数值 模拟 堆石混凝土,yes,yes,same_pass,1,19,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,open_access_pdf,0.00,8,0.6181,0.6181 || 0.7396 || 0.7346 || 0.6529 || 0.6972 || 0.6520 || 0.7273 || 0.6497,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete,open_access_pdf || institutional_access_pdf || local_file || open_access_pdf || open_access_pdf || open_access_pdf || institutional_access_pdf || local_file,openai-compatible,jina-embeddings-v3,检查中文细观/数值/模拟到英文 mesoscopic/simulation 的召回
cold_joint_shear,层间 冷缝 shear rock-filled concrete,yes,yes,same_pass,1,40,Experimental studies on shear properties of cold joints of rock-filled concrete,metadata_record,0.75,8,0.6593,0.6593 || 0.6523 || 0.6837 || 0.6964 || 0.7175 || 0.7325 || 0.6572 || 0.5919,Experimental studies on shear properties of cold joints of rock-filled concrete || Effect of rock shear keys on the shear performance of cold joints in rock-filled concrete structures: Experimental and numerical investigation || Shear tests and meso-scale simulation of cold joint structures in rock-filled concrete: Considering the mutual contact effects between component materials || Experimental study of the influence of rocks on the interlayer shear behavior of rock-filled concrete || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || Study on shear performance between layers of rock-filled concrete based on morphology analysis || Experimental studies on shear properties of cold joints of rock-filled concrete,metadata_record || metadata_record || metadata_record || metadata_record || open_access_pdf || open_access_pdf || metadata_record || metadata_record,openai-compatible,jina-embeddings-v3,检查冷缝/层间/剪切主题
peridynamics,peridynamics rock-filled concrete,yes,yes,same_pass,1,20,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics,open_access_pdf,0.00,8,0.7935,0.7935 || 0.7698 || 0.7682 || 0.7698 || 0.7051 || 0.7302 || 0.6765 || 0.6840,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics,open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf,openai-compatible,jina-embeddings-v3,检查英文专有方法 Peridynamics
construction_management,CIM4R construction information management,yes,yes,same_pass,1,74,Construction information management system for rock-filled concrete dam (CIM4R),metadata_record,0.25,8,0.7076,0.7076 || 0.6856 || 0.6200 || 0.5908 || 0.5576 || 0.5812 || 0.5297 || 0.5306,Construction information management system for rock-filled concrete dam (CIM4R) || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Construction information management system for rock-filled concrete dam (CIM4R) || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,metadata_record || open_access_pdf || metadata_record || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf,openai-compatible,jina-embeddings-v3,检查施工信息管理题录
