query_id,query,passed,hit_rank,hit_document_id,hit_title,hit_source_type,metadata_ratio,result_count,top_titles,top_source_types,notes
construction_quality,施工质量 堆石混凝土,yes,1,77,On-site experiment methods on the compaction detection of rock-filled concrete,metadata_record,0.50,8,"On-site experiment methods on the compaction detection of rock-filled concrete || Quality Control and Instrumentation || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Pilot Study on Vibrated Rock-filled Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Research on Rock-Filled Concrete Dam || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China",metadata_record || metadata_record || metadata_record || metadata_record || institutional_access_pdf || open_access_pdf || open_access_pdf || local_file,检查中文施工质量问题能否命中质量控制或密实度检测相关资料
filling_capacity_cn,填充能力 自密实混凝土 堆石体,yes,1,69,Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete,metadata_record,0.50,8,"Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Experimental study of Self-Compacting Concrete filled prepacked rock || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || 自密实混凝土充填堆石体试验研究 || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling capacity analysis of self-compacting concrete in rock-filled concrete based on DEM || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China",metadata_record || local_file || metadata_record || open_access_pdf || local_file || metadata_record || metadata_record || local_file,检查中文填充能力和英文 filling capacity 的同义召回
filling_capacity_en,filling capacity rock-filled concrete,yes,1,7,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,local_file,0.38,8,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || 自密实混凝土充填堆石体试验研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Filling capacity analysis of self-compacting concrete in rock-filled concrete based on DEM || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,local_file || metadata_record || local_file || local_file || metadata_record || open_access_pdf || metadata_record || institutional_access_pdf,检查英文填充能力主题
thermal_control,水化热 温升 堆石混凝土,yes,1,62,A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete,metadata_record,0.50,8,"A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete || Preliminary study on temperature rise property of thermal insulation of rock-fill concrete || Mesoscopic thermal field reconstruction and parametrical studies of heterogeneous rock-filled concrete at early age || Rock-filled concrete in the mass concrete temperature field analysis || 堆石混凝土绝热温升性能初步研究 || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Research on Rock-Filled Concrete Dam",metadata_record || metadata_record || metadata_record || metadata_record || local_file || open_access_pdf || local_file || open_access_pdf,检查中文温控词能否命中中英文温度场资料
elastic_modulus,弹性模量 rock-filled concrete,yes,1,92,A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,metadata_record,0.50,8,"A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || On the elastic modulus of rock-filled concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation",metadata_record || metadata_record || open_access_pdf || open_access_pdf || local_file || metadata_record || institutional_access_pdf || metadata_record,检查中文弹性模量与英文 elastic modulus 混合查询
seismic_behavior,抗震 seismic behavior rock-filled concrete dam,yes,1,98,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,metadata_record,0.50,8,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams,metadata_record || metadata_record || open_access_pdf || local_file || institutional_access_pdf || metadata_record || metadata_record || local_file,检查抗震/地震/seismic 同义词
review_overview,堆石混凝土 综述 next generation,yes,1,87,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,metadata_record,0.50,8,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Research on Rock-Filled Concrete Dams: a Review || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || State-of-the-Art and Future Prospects || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,metadata_record || open_access_pdf || local_file || metadata_record || metadata_record || metadata_record || open_access_pdf || open_access_pdf,检查综述类资料召回
mesoscopic_modeling,细观 数值 模拟 堆石混凝土,yes,1,34,Meso-scale simulation and experimental study on self-compacted rock-fill concrete,metadata_record,0.50,8,"Meso-scale simulation and experimental study on self-compacted rock-fill concrete || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Void effect study on the compressive behavior of RFC based on the 3D four-phase mesoscopic finite element model || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics",metadata_record || metadata_record || metadata_record || open_access_pdf || metadata_record || open_access_pdf || local_file || open_access_pdf,检查中文细观/数值/模拟到英文 mesoscopic/simulation 的召回
cold_joint_shear,层间 冷缝 shear rock-filled concrete,yes,1,40,Experimental studies on shear properties of cold joints of rock-filled concrete,metadata_record,0.50,8,Experimental studies on shear properties of cold joints of rock-filled concrete || Effect of rock shear keys on the shear performance of cold joints in rock-filled concrete structures: Experimental and numerical investigation || Shear tests and meso-scale simulation of cold joint structures in rock-filled concrete: Considering the mutual contact effects between component materials || Experimental study of the influence of rocks on the interlayer shear behavior of rock-filled concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams || 自密实堆石混凝土力学性能的试验研究,metadata_record || metadata_record || metadata_record || metadata_record || local_file || institutional_access_pdf || local_file || local_file,检查冷缝/层间/剪切主题
peridynamics,peridynamics rock-filled concrete,yes,1,20,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics,open_access_pdf,0.38,8,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || 自密实堆石混凝土力学性能的试验研究,open_access_pdf || local_file || institutional_access_pdf || metadata_record || metadata_record || local_file || metadata_record || local_file,检查英文专有方法 Peridynamics
construction_management,CIM4R construction information management,yes,1,74,Construction information management system for rock-filled concrete dam (CIM4R),metadata_record,0.50,8,"Construction information management system for rock-filled concrete dam (CIM4R) || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Experimental study on new technology of the construction waste concrete recycling || Integrated evaluation of cost, schedule and emission performance on rock-filled concrete dam construction operation using discrete event simulation || The Research and Application of Dam Construction Technology of Rock-Filled Concrete || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Experimental Research on the Properties of Rock-Filled Concrete || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications",metadata_record || open_access_pdf || metadata_record || metadata_record || metadata_record || open_access_pdf || open_access_pdf || open_access_pdf,检查施工信息管理题录
