query_id,query,passed,keyword_passed,vector_passed,comparison,hit_rank,hit_document_id,hit_title,hit_source_type,metadata_ratio,result_count,best_score,top_scores,top_keyword_scores,top_vector_scores,top_titles,top_source_types,provider,model_name,notes
construction_quality,施工质量 堆石混凝土,yes,yes,yes,all_pass,1,21,堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,institutional_access_pdf,0.50,8,0.8314,0.8314 || 0.7794 || 0.7692 || 0.7164 || 0.7000 || 0.6756 || 0.5097 || 0.4539,0.5711 || 0.5387 || 0.4738 || 0.4913 || 1.0000 || 0.9651 || 0.7282 || 0.6484,0.9387 || 0.8410 || 0.9585 || 0.7416 || 0.0000 || 0.0000 || 0.0000 || 0.0000,"堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || On-site experiment methods on the compaction detection of rock-filled concrete || Quality Control and Instrumentation || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Pilot Study on Vibrated Rock-filled Concrete",institutional_access_pdf || local_file || local_file || local_file || metadata_record || metadata_record || metadata_record || metadata_record,deterministic,hash-token-v1,检查中文施工质量问题能否命中质量控制或密实度检测相关资料
filling_capacity_cn,填充能力 自密实混凝土 堆石体,yes,yes,yes,all_pass,1,7,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,local_file,0.25,8,1.1396,1.1396 || 0.9616 || 0.8888 || 0.7134 || 0.7059 || 0.7000 || 0.6721 || 0.6279,0.9927 || 0.7313 || 0.8556 || 0.4205 || 0.3656 || 1.0000 || 0.4205 || 0.4022,0.9826 || 0.9990 || 0.4663 || 0.8969 || 1.0000 || 0.0000 || 0.7591 || 0.6547,"Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || 自密实混凝土充填堆石体试验研究 || Experimental study of Self-Compacting Concrete filled prepacked rock || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam",local_file || local_file || metadata_record || local_file || local_file || metadata_record || local_file || institutional_access_pdf,deterministic,hash-token-v1,检查中文填充能力和英文 filling capacity 的同义召回
filling_capacity_en,filling capacity rock-filled concrete,yes,yes,yes,all_pass,1,7,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,local_file,0.62,8,0.9333,0.9333 || 0.6968 || 0.6658 || 0.6325 || 0.6103 || 0.5240 || 0.5081 || 0.4455,1.0000 || 0.7153 || 0.6322 || 0.4020 || 0.3301 || 0.3964 || 0.3336 || 0.6364,0.2777 || 0.1536 || 0.2440 || 0.6703 || 0.7640 || 0.3218 || 0.4153 || 0.0000,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || Experiment on Self-Compacting Concrete Filling Rock-Fill || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || Pilot Study on Vibrated Rock-filled Concrete || 自密实混凝土充填堆石体试验研究,local_file || metadata_record || local_file || metadata_record || metadata_record || metadata_record || metadata_record || local_file,deterministic,hash-token-v1,检查英文填充能力主题
thermal_control,水化热 温升 堆石混凝土,yes,yes,yes,all_pass,1,5,堆石混凝土绝热温升性能初步研究,local_file,0.75,8,0.7116,0.7116 || 0.7000 || 0.5532 || 0.4410 || 0.3361 || 0.3192 || 0.3170 || 0.3133,0.3737 || 1.0000 || 0.2851 || 0.6300 || 0.4801 || 0.4560 || 0.4528 || 0.4476,1.0000 || 0.0000 || 0.6788 || 0.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000,"堆石混凝土绝热温升性能初步研究 || A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Preliminary study on temperature rise property of thermal insulation of rock-fill concrete || Mesoscopic thermal field reconstruction and parametrical studies of heterogeneous rock-filled concrete at early age || Rock-filled concrete in the mass concrete temperature field analysis || Measurement and Evaluation of the Thermal Expansion Coefficient of Rock-Filled Concrete || Field prototype experiment of rockfill temperature before SCC filling for rock-filled concrete dam",local_file || metadata_record || local_file || metadata_record || metadata_record || metadata_record || metadata_record || metadata_record,deterministic,hash-token-v1,检查中文温控词能否命中中英文温度场资料
elastic_modulus,弹性模量 rock-filled concrete,yes,yes,yes,all_pass,1,91,A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete,metadata_record,0.50,8,0.9497,0.9497 || 0.8504 || 0.7000 || 0.6036 || 0.5294 || 0.4998 || 0.4568 || 0.4405,0.9746 || 0.8771 || 1.0000 || 0.8623 || 0.7564 || 0.7140 || 0.6525 || 0.6292,0.3918 || 0.2880 || 0.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000,"A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || On the elastic modulus of rock-filled concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation",metadata_record || open_access_pdf || metadata_record || open_access_pdf || local_file || metadata_record || institutional_access_pdf || metadata_record,deterministic,hash-token-v1,检查中文弹性模量与英文 elastic modulus 混合查询
seismic_behavior,抗震 seismic behavior rock-filled concrete dam,yes,yes,yes,all_pass,1,98,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,metadata_record,0.50,8,1.0951,1.0951 || 1.0018 || 0.6590 || 0.4138 || 0.3678 || 0.3229 || 0.3185 || 0.3185,1.0000 || 0.9484 || 0.9414 || 0.5911 || 0.5254 || 0.4613 || 0.4550 || 0.4550,0.8169 || 0.6263 || 0.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用,metadata_record || metadata_record || open_access_pdf || local_file || institutional_access_pdf || metadata_record || local_file || metadata_record,deterministic,hash-token-v1,检查抗震/地震/seismic 同义词
review_overview,堆石混凝土 综述 next generation,yes,yes,yes,all_pass,1,10,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,local_file,0.50,8,0.8529,0.8529 || 0.7000 || 0.5558 || 0.5330 || 0.3968 || 0.3199 || 0.3024 || 0.3000,0.6710 || 1.0000 || 0.7940 || 0.2697 || 0.5668 || 0.4569 || 0.4320 || 0.0000,0.7771 || 0.0000 || 0.0000 || 0.6473 || 0.0000 || 0.0000 || 0.0000 || 1.0000,"A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Research on Rock-Filled Concrete Dams: a Review || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || State-of-the-Art and Future Prospects || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam",local_file || metadata_record || open_access_pdf || local_file || metadata_record || metadata_record || metadata_record || institutional_access_pdf,deterministic,hash-token-v1,检查综述类资料召回
mesoscopic_modeling,细观 数值 模拟 堆石混凝土,yes,yes,yes,all_pass,2,34,Meso-scale simulation and experimental study on self-compacted rock-fill concrete,metadata_record,0.75,8,0.8294,0.8294 || 0.7000 || 0.6990 || 0.6532 || 0.6156 || 0.5655 || 0.5243 || 0.5154,0.8135 || 1.0000 || 0.5358 || 0.5245 || 0.8794 || 0.8079 || 0.7489 || 0.7363,0.3666 || 0.0000 || 0.5800 || 0.4535 || 0.0000 || 0.0000 || 0.0000 || 0.0000,"Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation || Meso-scale simulation and experimental study on self-compacted rock-fill concrete || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Void effect study on the compressive behavior of RFC based on the 3D four-phase mesoscopic finite element model || Shear tests and meso-scale simulation of cold joint structures in rock-filled concrete: Considering the mutual contact effects between component materials",metadata_record || metadata_record || local_file || metadata_record || metadata_record || open_access_pdf || metadata_record || metadata_record,deterministic,hash-token-v1,检查中文细观/数值/模拟到英文 mesoscopic/simulation 的召回
cold_joint_shear,层间 冷缝 shear rock-filled concrete,yes,yes,yes,all_pass,1,40,Experimental studies on shear properties of cold joints of rock-filled concrete,metadata_record,0.50,8,0.9763,0.9763 || 0.9227 || 0.6801 || 0.5663 || 0.5593 || 0.5455 || 0.4959 || 0.4733,1.0000 || 0.8596 || 0.3288 || 0.4075 || 0.3516 || 0.3242 || 0.2603 || 0.2580,0.4211 || 0.5698 || 1.0000 || 0.4369 || 0.5441 || 0.5618 || 0.5458 || 0.4758,"Experimental studies on shear properties of cold joints of rock-filled concrete || Effect of rock shear keys on the shear performance of cold joints in rock-filled concrete structures: Experimental and numerical investigation || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 自密实堆石混凝土力学性能的试验研究 || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China",metadata_record || metadata_record || metadata_record || local_file || institutional_access_pdf || metadata_record || local_file || local_file,deterministic,hash-token-v1,检查冷缝/层间/剪切主题
peridynamics,peridynamics rock-filled concrete,yes,yes,yes,all_pass,2,20,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics,open_access_pdf,0.25,8,0.9328,0.9328 || 0.9152 || 0.7757 || 0.7059 || 0.6603 || 0.4744 || 0.4678 || 0.4447,0.8400 || 1.0000 || 0.7247 || 0.5318 || 0.5365 || 0.6776 || 0.6682 || 0.6353,0.6493 || 0.2174 || 0.3948 || 0.6121 || 0.4493 || 0.0000 || 0.0000 || 0.0000,"堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 自密实堆石混凝土力学性能的试验研究 || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams",local_file || open_access_pdf || institutional_access_pdf || local_file || local_file || metadata_record || metadata_record || local_file,deterministic,hash-token-v1,检查英文专有方法 Peridynamics
construction_management,CIM4R construction information management,yes,yes,yes,all_pass,1,74,Construction information management system for rock-filled concrete dam (CIM4R),metadata_record,0.12,8,0.9546,0.9546 || 0.7418 || 0.5045 || 0.4446 || 0.4440 || 0.3000 || 0.2895 || 0.2841,1.0000 || 0.4211 || 0.1105 || 0.0737 || 0.0368 || 0.0000 || 0.0000 || 0.0000,0.3488 || 0.9902 || 0.9238 || 0.8102 || 0.8940 || 1.0000 || 0.9649 || 0.9471,"Construction information management system for rock-filled concrete dam (CIM4R) || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics",metadata_record || open_access_pdf || open_access_pdf || open_access_pdf || local_file || open_access_pdf || institutional_access_pdf || open_access_pdf,deterministic,hash-token-v1,检查施工信息管理题录
