config,query_id,difficulty_type,language_type,expected_refused,hit,rank,refused,refusal_matched,best_score,hit_title,top_titles,notes
keyword,cp_filling_yield_stress,cross_passage,zh,no,yes,1,,,38.5500,Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete. - R Discovery,Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete. - R Discovery || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Study on the Material Mechanical Performance of Large Scale Self-Compacting Rock-Filled Concrete || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,跨段：填充能力受流变参数影响
keyword,cp_lbm_dem_flow,cross_passage,en,no,yes,1,,,83.5000,Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete,"Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Monitoring the flow patterns of high performance self-compacting concrete in the voids of sloped rock-filled concrete structures || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China",跨段：数值模拟流动过程
keyword,cp_specimen_size_strength,cross_passage,en,no,yes,1,,,115.5500,Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete,"Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete || Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete || Experimental Study on Effects of Casting Procedures on Compressive Strength, Water Permeability, and Interfacial Transition Zone Porosity of Rock-Filled Concrete || Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete (RFC) || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties",跨段：尺寸效应与抗压强度
keyword,cp_temperature_construction,cross_passage,en,no,yes,1,,,102.8500,The Influence of Construction Parameters on the Temperature Field of Rock-Filled Concrete,The Influence of Construction Parameters on the Temperature Field of Rock-Filled Concrete || The Influence of Construction Parameters on the Temperature Field of Rock-Filled Concrete || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental Impact of Rock-Filled and Conventional Concrete || Study on the Thermal Variation of Early-Age Rock-Filled Concrete - Part Ii Mesoscopic Thermal Field Reconstruction and Parametrical Studies || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,跨段：施工参数与温控
keyword,cp_itz_uniaxial,cross_passage,en,no,yes,1,,,91.5500,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,"3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete || Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete || Experimental Study on Effects of Casting Procedures on Compressive Strength, Water Permeability, and Interfacial Transition Zone Porosity of Rock-Filled Concrete",跨段：ITZ 与抗压行为
keyword,cp_artificial_rockfill,cross_passage,en,no,yes,1,,,86.8500,Application of Iron Ore Tailings and Phosphogypsum to Create Artificial Rockfills Used in Rock-Filled Concrete,"Application of Iron Ore Tailings and Phosphogypsum to Create Artificial Rockfills Used in Rock-Filled Concrete || Application of Iron Ore Tailings and Phosphogypsum to Create Artificial Rockfills Used in Rock-Filled Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Effect of basalt fiber content on the dynamic tensile properties of rock-filled concrete: Insights from split-hopkinson tensile bar and split-hopkinson pressure bar Brazilian testing || Experimental investigation into mode-I interfacial fracture behavior between rock and self-compacting concrete in rock-filled concrete",跨段：人工堆石材料
keyword,cp_adiabatic_temp,cross_passage,en,no,yes,1,,,65.5250,A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete,A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete || Rock-Filled Concrete with Manufactured Sand || The Influence of Construction Parameters on the Temperature Field of Rock-Filled Concrete || 堆石混凝土水化温升过程及动力学研究 (1) || 堆石混凝土绝热温升试验与温升机制研究,跨段：水化热温升
keyword,cp_seismic_compare,cross_passage,en,no,yes,1,,,74.4750,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental Impact of Rock-Filled and Conventional Concrete || 堆石混凝土在某高坝上的应用研究与抗震分析,跨段：抗震对比
keyword,cf_elastic_vs_compressive,confusable,en,no,yes,3,,,41.9000,A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究 || 一类改进的堆石混凝土细观力学模型构建方法 || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || 堆石混凝土抗拉性能及劈裂抗拉破坏机理 || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,易混淆：弹性模量 vs 抗压强度
keyword,cf_filling_vs_compaction,confusable,en,no,yes,1,,,75.8000,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,"Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete. - R Discovery || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete",易混淆：填充能力 vs 密实度
