chunk_id,document_id,document_title,chunk_type,heading_bucket,score
58734,1875,自密实堆石混凝土堆石率对密实度的影响试验研究,table,Table 1 Classification standard of the defects,143
57887,1355,堆石混凝土与埋石混凝土方案典型对比研究,table,表3	　　C 90 20W4F50 高自密实性能混凝土材料费用 Table 3　Material cost of C 90 20W4F50 high self compacting performance concrete,142
57931,1390,堆石混凝土坝的内部结构 (1),table,部的气孔和裂缝等缺陷大小和数量多少也是影响材料强度的,141
57939,1391,堆石混凝土坝的内部结构,table,部的气孔和裂缝等缺陷大小和数量多少也是影响材料强度的,141
57971,1430,堆石混凝土技术碳减排效益评价,table,表2 高自密实性能混凝土的水泥用量 Table 2 Cement dosage of high self-compacting concrete,141
58032,1485,堆石混凝土长龄期力学性能试验研究 (1),table,表 2 所列 。,141
58034,1485,堆石混凝土长龄期力学性能试验研究 (1),table,表 3 试验关系结果,141
58041,1486,堆石混凝土长龄期力学性能试验研究,table,表 2 所列 。,141
58043,1486,堆石混凝土长龄期力学性能试验研究,table,表 3 试验关系结果,141
58064,1490,复合材料理论预测堆石混凝土弹性模量 (1),table,表 １　１５ 个堆石混凝土的试验结果和计算结果,141
58068,1491,复合材料理论预测堆石混凝土弹性模量,table,表 １　１５ 个堆石混凝土的试验结果和计算结果,141
58082,1505,惰性掺合料在堆石混凝土工程中的应用,table,表 3 混凝土标准抗压强度检测结果,141
58112,1528,浅析钻芯取样方法在堆石混凝土质量检测中的准确性,table,表 5 岩石 dp 模型参数表,141
58120,1539,绿塘水库堆石混凝土大试件力学性能试验研究,table,表 3 岩石 ( 堆石 体 ) 力学 指 标 单 位 : MPa,141
58122,1539,绿塘水库堆石混凝土大试件力学性能试验研究,table,表 6 ＲFC 大 试 件 力学 指 标 单 位 : MPa,141
58165,1576,基于某实际工程的堆石混凝土力学性能的试验研究,table,摘要,141
58183,1576,基于某实际工程的堆石混凝土力学性能的试验研究,table,(2𝑘𝐷𝜂+𝑚) 2 (1−𝑣 2 ) ],141
58206,1576,基于某实际工程的堆石混凝土力学性能的试验研究,table,第三章 堆石混凝土大试件的超声回弹试验,141
58222,1576,基于某实际工程的堆石混凝土力学性能的试验研究,table,堆石混凝土抗压强度的解释程度较高。,141
58224,1576,基于某实际工程的堆石混凝土力学性能的试验研究,table,相关规范进行，立方体抗压强度按下列公式进行计算：,141
58256,1576,基于某实际工程的堆石混凝土力学性能的试验研究,table,5.3 堆石混凝土立方体抗压强度预测,141
58361,1594,堆石混凝土强度性能及冻融耐久性的研究,table,表 3.7 A 工程切割试件立方体抗压强度试验结果 /MPa,141
58371,1594,堆石混凝土强度性能及冻融耐久性的研究,table,表 3.8 B 工程切割试件立方体抗压强度试验结果,141
58373,1594,堆石混凝土强度性能及冻融耐久性的研究,table,Table on page 45,141
58386,1594,堆石混凝土强度性能及冻融耐久性的研究,table,表 3.13 A 工程大试件静力抗压弹性模量试验结果,141
58442,1606,堆石混凝土结构施工冷缝抗剪性能的研究,table,表3.1 标准试块立方体抗压强度表,141
58668,1854,某实际工程堆石混凝土的力学性能及抗渗研究,table,Table on page 93,141
58782,1880,自密实混凝土在新疆地区堆石混凝土中的研究及应用,table,表 3.1 普通硅酸盐水泥物理性能指标,141
58990,2030,"在工程实践中,堆石混凝土依靠自身独特的施工工艺,",table,表 11 混凝土强度适用性评价标准,141
59014,2038,C 15 自密实堆石混凝土作为筑坝材料,table,表 1 原岩碱活性试验结果,141
59043,2073,"并针对性地提出了灌浆施工技术以及堆石混凝土浇筑质量检测技术要求, 以期为其他岩溶地区水库大坝 基 础 防 渗",table,表 1 坝址岩石 ( 体 ) 物理力学参数建议值,141
59090,2143,"绿塘水库大坝为堆石混凝土拱坝,坝体已填筑完成并达",table,指标及试样破坏前后对比,141
59158,2233,堆石混凝土因其温控优势及施工便捷性,table,表 1 坝址区地质物理力学参数值表,141
57856,1338,叶巴滩水电站堆石混凝土二道坝设计应用综述,table,1 筑坝材料方案比选,139
57998,1453,堆石混凝土施工技术的应用,table,3.2.6 连续循环施工浇注实现多层浇注 每层堆石混凝土的浇注高度不宜超过 150cm ， 但是能够连续循环 施工 ， 即在首层堆石混凝土浇注完成后的四个小时内循环堆石入仓浇 注自密实混凝土的过程 ， 在堆石入仓能力和混凝土生产能力有保证的 情况下 ， 一次性混凝土的上升高度可达到 4 — 5m 。 4. 堆石混凝土的,139
58151,1566,高坝堆石混凝土综合性能及适用性研究,table,表 4 堆石混凝土冷缝抗剪断参数,139
58625,1819,堆石混凝土坝渗流的分析及模拟研究,table,表 6.7 坝体层间参数,139
58731,1870,组合式混凝土坝研究与技术创新探讨,table,表 1 组合式混凝土筑坝技术比较分析表,139
58833,1880,自密实混凝土在新疆地区堆石混凝土中的研究及应用,table,Table on page 72,139
59015,2038,C 15 自密实堆石混凝土作为筑坝材料,table,838.0 m,139
59103,2155,"大坝在水库等水利工程中发挥着重要作用,自密实堆石混凝土坝具有施工速度快、施工效果好等诸多优势,但分层浇筑形成",table,施工技术,139
59105,2157,大坝为自密实堆石混凝土重力,table,表2　某项目界面处理步骤,139
59161,2233,堆石混凝土因其温控优势及施工便捷性,table,表 4 河床岸坡 ④ ～ ⑤ 坝段抗滑稳定计算结果,139
59215,2262,但是常态混凝土水化热升温导致坝体混凝土温度凝土筑坝技术为主导,table,表 1 组合式混凝土筑坝技术比较分析表,139
57810,1163,A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete,table,TABLE I. MIX PROPORTION OF CONCRETE (kg/m 3 ),137
57812,1163,A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete,table,TABLE III. MIX PROPORTIONS AND MAIN PARAMETER OF CONCRETE,137
58217,1576,基于某实际工程的堆石混凝土力学性能的试验研究,table,图3-6 对测声速值、回弹值分区占比图,137
58229,1576,基于某实际工程的堆石混凝土力学性能的试验研究,table,贵州大学2021 届硕士研究生学位论文               基于某实际工程的堆石混凝土力学性能的试验研究,137
58234,1576,基于某实际工程的堆石混凝土力学性能的试验研究,table,4.3.1 试验及计算方法,137
58235,1576,基于某实际工程的堆石混凝土力学性能的试验研究,table,𝐸 𝑐 =,137
58007,1468,堆石混凝土筑坝技术在遵义的推广应用,table,表 4 已 建 、 在 建 堆石混凝土坝 主 要 施 工 参 数 统计表 ( 2 ),136
58152,1566,高坝堆石混凝土综合性能及适用性研究,table,表 5 堆石混凝土切块抗渗试验数据,136
57873,1352,堆石混凝土(RFC)在布尔津山口电站围堰方案中的设计与应用,table,表 1 两种方案工程量及投资对比,135
57875,1353,堆石混凝土(RFC)施工工法,table,表 2 主要工种投入,135
57879,1353,堆石混凝土(RFC)施工工法,table,表 4 自密实混凝土各组分称量允许偏差,135
57881,1353,堆石混凝土(RFC)施工工法,table,表 5 堆石混凝土单价,135
57972,1430,堆石混凝土技术碳减排效益评价,table,表1 堆石混凝土预算定额 Table 1 Budget quota of RFC,135
57989,1438,堆石混凝土施工技术与工程应用,table,表 1 堆石混凝土工程应用情况汇总,135
58035,1485,堆石混凝土长龄期力学性能试验研究 (1),table,表 5　RFC 大试件弹性模量值分布,135
58038,1485,堆石混凝土长龄期力学性能试验研究 (1),table,表 7 声波法检测 RFC 试验数值 (2021 年 12 月 ),135
58044,1486,堆石混凝土长龄期力学性能试验研究,table,表 5　RFC 大试件弹性模量值分布,135
