document_id,title,url,domain,source_category,chunk_count,char_count,relevance_score,relevance_bucket,matched_terms,source_id,suggested_decision,suggested_reason,review_decision,review_notes
468,School of Civil Engineering Tsinghua University,https://www.civil.tsinghua.edu.cn/en/,www.civil.tsinghua.edu.cn,高校机构;工程案例,3,1431,1,weak,hydraulic,crawl_70d1a6211e7b,review_candidate,weak domain-term match,,
469,About,https://www.tsinghua.edu.cn/en/Research.htm,www.tsinghua.edu.cn,高校机构;工程案例,2,1236,1,weak,dam,crawl_b9aba1d5ffde,review_candidate,weak domain-term match,,
472,28th Congress,https://www.icold-cigb.org/,www.icold-cigb.org,高校机构,2,874,1,weak,dam,crawl_b937796fd5b8,review_candidate,weak domain-term match,,
473,Home,https://www.ussdams.org/,www.ussdams.org,高校机构,1,390,1,weak,dam,crawl_4cf459bddf6b,review_candidate,weak domain-term match,,
474,Bureau of Reclamation,https://www.usbr.gov/,www.usbr.gov,高校机构,28,20704,1,weak,dam,crawl_a4c73bd78c79,review_candidate,weak domain-term match,,
475,ACI Sustaining Members are dedicated to advancing concrete knowledge and are concrete industry leaders. Learn more.,https://www.concrete.org/,www.concrete.org,高校机构,1,417,1,weak,concrete,crawl_98985fdf734c,review_candidate,weak domain-term match,,
478,ACI CODE-318-19(22): Building Code Requirements for Structural Concrete and Commentary (Reapproved 2022),https://www.concrete.org/store/productdetail.aspx?ItemID=31819,www.concrete.org,行业标准,10,5403,1,weak,concrete,crawl_a69d5ca110cf,review_candidate,weak domain-term match,,
479,ACI SPEC-301-20: Specifications for Concrete Construction,https://www.concrete.org/store/productdetail.aspx?ItemID=30120,www.concrete.org,行业标准,7,4313,1,weak,concrete,crawl_e6ef7ca713a8,review_candidate,weak domain-term match,,
480,ACI PRC-211.1-22: Selecting Proportions for Normal-Density and High Density-Concrete - Guide,https://www.concrete.org/store/productdetail.aspx?ItemID=211122,www.concrete.org,行业标准,4,2714,1,weak,concrete,crawl_498af905ed73,review_candidate,weak domain-term match,,
481,Chinese IAHR-YPN Doctoral Forum,https://www.iahr.org/,www.iahr.org,高校机构,3,1874,1,weak,hydraulic,crawl_589a45a0f58a,review_candidate,weak domain-term match,,
482,American Cement Association,https://www.cement.org/,www.cement.org,高校机构,3,1770,1,weak,concrete,crawl_1309f73de97b,review_candidate,weak domain-term match,,
484,National Dam Safety Program,https://www.fema.gov/emergency-managers/risk-management/dam-safety,www.fema.gov,行业标准,8,5315,1,weak,dam,crawl_83d0d651d9a9,review_candidate,weak domain-term match,,
492,Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/index.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,411,1,weak,hydraulic,crawl_bfbd72428f9b,review_candidate,weak domain-term match,,
493,清华大学水利水电工程系,https://www.civil.tsinghua.edu.cn/he/,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,699,1,weak,水利,crawl_82072e48f56f,review_candidate,weak domain-term match,,
494,General Introduction-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/About/General_Introduction.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,8,5299,2,weak,dam;hydraulic,crawl_2b29a7a5bca0,review_candidate,weak domain-term match,,
495,History-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/About/History.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,7,4920,2,weak,dam;hydraulic,crawl_13cfcd7765e4,review_candidate,weak domain-term match,,
496,Committee-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/About/Committee.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,497,1,weak,hydraulic,crawl_76e9c6a26c43,review_candidate,weak domain-term match,,
497,Overview-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/Education/Overview.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,731,1,weak,hydraulic,crawl_a7f35c2e3f52,review_candidate,weak domain-term match,,
498,Undergraduate-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/Education/Undergraduate.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,9,5448,1,weak,hydraulic,crawl_a5e7803edbf7,review_candidate,weak domain-term match,,
499,清华大学土木水利学院,https://www.civil.tsinghua.edu.cn/,www.civil.tsinghua.edu.cn,高校机构;工程案例,2,1255,1,weak,水利,crawl_552a6c138e54,review_candidate,weak domain-term match,,
470,河海大学-Hohai University,https://www.hhu.edu.cn/,www.hhu.edu.cn,高校机构,2,1140,3,medium,大坝;水利;混凝土,crawl_9f388f141b8f,review_candidate,medium domain-term match,,
525,Types of Cement - American Cement Association,https://www.cement.org/cement-concrete/types-of-cement/,www.cement.org,高校机构,13,8113,3,medium,dam;hydraulic;concrete,crawl_75f9ad0f7582,review_candidate,medium domain-term match,,
526,Uses in Infrastructure - American Cement Association,https://www.cement.org/cement-concrete/applications-of-cement/uses-in-infrastructure/,www.cement.org,高校机构,46,31120,3,medium,dam;hydraulic;concrete,crawl_a0b9b41ca437,review_candidate,medium domain-term match,,
677,Overview-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/Research/Overview.htm,www.civil.tsinghua.edu.cn,,4,2148,3,medium,dam;hydraulic;concrete,,review_candidate,medium domain-term match,,
466,Filling the gaps in large concrete dams,https://www.tsinghua.edu.cn/en/info/1418/10419.htm,www.tsinghua.edu.cn,高校机构,12,7041,10,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;concrete,crawl_a67ca89d8ffb,keep_candidate,strong RFC/concrete term match,,
467,JIN Feng-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/info/1159/1950.htm,www.civil.tsinghua.edu.cn,高校机构,52,36759,14,strong,rock-filled concrete;rockfill concrete;rfc;self-compacting concrete;scc;dam;hydraulic;concrete,crawl_62dba71b9ee7,keep_candidate,strong RFC/concrete term match,,
563,Cheap Mix Design of the Rock-Filled Concrete Materials | Scientific.Net,https://doi.org/10.4028/www.scientific.net/amm.470.802,doi.org,filling_capacity;dam_engineering;????,2,1349,10,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;concrete,openalex_cd9440839782,keep_candidate,strong RFC/concrete term match,,
565,Study on Strength Mechanism of Self-Compacting Rock-Fill Concrete with Big Aggregates | Scientific.Net,https://doi.org/10.4028/www.scientific.net/amr.753-755.558,doi.org,mechanical_properties;????,2,1226,4,strong,rock-fill concrete;concrete,openalex_99fb932846df,keep_candidate,strong RFC/concrete term match,,
566,The Research and Application of Dam Construction Technology of Rock-Filled Concrete | Scientific.Net,https://doi.org/10.4028/www.scientific.net/amm.438-439.1347,doi.org,dam_engineering;????,2,974,6,strong,rock-filled concrete;dam;hydraulic;concrete,openalex_d9d8c6f3c9f3,keep_candidate,strong RFC/concrete term match,,
567,Research on Rock-Filled Concrete Dam - International Journal of Civil Engineering,https://doi.org/10.1007/s40999-018-0313-0,doi.org,dam_engineering;review;construction_quality;????,18,12316,10,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;concrete,openalex_41ca1178b5fe,keep_candidate,strong RFC/concrete term match,,
568,Study on Rock Filled Self Compacting Concrete,https://zenodo.org/record/2416888,zenodo.org,filling_capacity;mechanical_properties;dam_engineering;????,6,4311,13,strong,rock-filled concrete;rock-fill concrete;rfc;self-compacting concrete;scc;dam;concrete,openalex_f71e2ed8a02c,keep_candidate,strong RFC/concrete term match,,
569,Construction,https://doi.org/10.1007/978-981-16-8298-8_7,doi.org,dam_engineering;????,56,37405,13,strong,rock-filled concrete;rockfill concrete;rfc;self-compacting concrete;scc;dam;concrete,crossref_5bc6d13e8917,keep_candidate,strong RFC/concrete term match,,
570,Design of RFC Arch Dam,https://doi.org/10.1007/978-981-16-8298-8_6,doi.org,dam_engineering;????,49,32653,10,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;concrete,crossref_b953ae1332ae,keep_candidate,strong RFC/concrete term match,,
571,Filling Process of HSCC and Compactness of RFC,https://doi.org/10.1007/978-981-16-8298-8_3,doi.org,uncategorized;????,92,61075,9,strong,rock-filled concrete;rfc;self-compacting concrete;scc;concrete,crossref_2749bfed08cc,keep_candidate,strong RFC/concrete term match,,
572,Introduction,https://doi.org/10.1007/978-981-16-8298-8_1,doi.org,dam_engineering;uncategorized;????;encyclopedia,35,23308,11,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;hydraulic;concrete,crossref_0654b779ec97,keep_candidate,strong RFC/concrete term match,,
573,Mechanical and Physical Properties,https://doi.org/10.1007/978-981-16-8298-8_4,doi.org,dam_engineering;uncategorized;????,99,66159,7,strong,rock-filled concrete;rfc;scc;dam;concrete,crossref_71063ef1c0f2,keep_candidate,strong RFC/concrete term match,,
574,Other Rock-Filled Concrete Related Technologies,https://doi.org/10.1007/978-981-16-8298-8_9,doi.org,dam_engineering;????,63,40498,7,strong,rock-filled concrete;rfc;scc;dam;concrete,crossref_c784f21cf303,keep_candidate,strong RFC/concrete term match,,
575,Rock-Filled Concrete Dam,https://doi.org/10.1007/978-981-16-8298-8,doi.org,dam_engineering;????,10,5808,10,strong,rock-filled concrete;rfc;self-compacting concrete;dam;hydraulic;concrete,crossref_f6da820cc735,keep_candidate,strong RFC/concrete term match,,
576,Rock-Filled Concrete with Manufactured Sand,https://doi.org/10.1007/978-981-19-6313-1_7,doi.org,uncategorized;????,112,73537,10,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;concrete,crossref_359511a75fcd,keep_candidate,strong RFC/concrete term match,,
577,State-of-the-Art and Future Prospects,https://doi.org/10.1007/978-981-16-8298-8_10,doi.org,review;????,33,22041,11,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;hydraulic;concrete,crossref_645bdf46b52b,keep_candidate,strong RFC/concrete term match,,
578,The History of Rock-Filled Concrete Dams,https://doi.org/10.1007/978-981-16-8298-8_2,doi.org,dam_engineering;????,56,36465,11,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;hydraulic;concrete,crossref_f3ff2cd849bb,keep_candidate,strong RFC/concrete term match,,
579,Particle Size Distribution of Sandstone Aggregate Influence on Recycled Aggregate Concrete Properties | Scientific.Net,https://doi.org/10.4028/www.scientific.net/amm.584-586.1504,doi.org,filling_capacity;mechanical_properties;numerical_modeling;????,2,1239,4,strong,rock-fill concrete;concrete,openalex_21c90a50f3bb,keep_candidate,strong RFC/concrete term match,,
580,The Comparison of Self-Compacting Rock-Filled Concrete with Large-Size Natural and Recycled Aggregate | Scientific.Net,https://doi.org/10.4028/www.scientific.net/amm.513-517.20,doi.org,uncategorized;????,2,980,4,strong,rock-filled concrete;concrete,openalex_bd1b89d8837a,keep_candidate,strong RFC/concrete term match,,
