url,category,trust_level,notes
https://openalex.org/W2361619819,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2359924054,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2387255985,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2377464461,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2353642955,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2364825947,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2378204619,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2366850826,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2362249076,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://doi.org/10.1201/9781439828410.ch170,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W907397951,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2390353849,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2373849249,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W77762984,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2493035609,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2370612668,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2356476913,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W1544477565,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://doi.org/10.1109/icetce.2011.5774287,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2347215594,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://doi.org/10.4028/www.scientific.net/amr.482-484.1362,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W940914289,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://doi.org/10.4028/www.scientific.net/amm.470.802,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://doi.org/10.1016/j.cemconres.2013.11.010,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2360189484,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://openalex.org/W2377400947,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
https://doi.org/10.1109/wsc.2013.6721678,????,high,generated from data/metadata/rfc_papers_metadata.csv for phase28 batch crawl
