query_id,question,language_type,top_k,retrieval_mode,expected_source_hit,expected_refused,expected_source_title_terms,expected_source_content_terms,expected_answer_points,forbidden_answer_terms,notes
user_cn_colloquial_compactness,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,zh_colloquial,5,hybrid,yes,no,Quality Control|compaction detection|密实度,compactness|compaction|密实度,说明密实度或灌满判断需要质量控制和检测依据,,中文口语问法 覆盖施工质量和密实度检测
user_mixed_itz_strength,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,mixed,5,hybrid,yes,no,ITZ|interfacial transition zone|interface,ITZ|interface|strength,说明 rock/SCC 界面或 ITZ 对强度和破坏的影响,,中英混合术语 覆盖界面过渡区
user_en_freeze_thaw,Are there studies about freeze-thaw resistance of rock-filled concrete?,en,5,hybrid,yes,no,Freeze-thaw|Freeze-thaw Resistence,freeze-thaw|impermeability,说明抗冻或 freeze-thaw 与耐久性相关研究,,英文耐久性问题
user_cn_creep,堆石混凝土长期变形和徐变有什么研究？,zh_colloquial,5,hybrid,yes,no,creep|creep behaviour,creep|徐变,说明长期变形或 creep 行为的研究对象,,中文口语问法 覆盖徐变
user_mixed_cost_emission,RFC dam construction 的成本工期和碳排放怎么评估？,mixed,5,hybrid,yes,no,cost schedule and emission|Life-Cycle Assessment,cost|schedule|emission,说明成本 工期 排放或生命周期评价指标,,中英混合工程管理问题
user_cn_porosity_compression,孔隙率会怎么影响堆石混凝土抗压表现？,zh_colloquial,5,hybrid,yes,no,Void effect|porosity|pores,porosity|void|compressive,说明孔隙率或初始孔洞对抗压行为的影响,,中文口语问法 覆盖孔隙率
user_en_steel_fiber_filling,Does steel fiber reinforced mortar affect filling performance in RFC?,en,5,hybrid,yes,no,Steel Fiber-Reinforced|Filling Performance,steel fiber|filling performance,说明钢纤维或 steel fiber 对填充性能的影响,,英文材料改性问题
user_cn_shear_key,岩石剪力键会影响冷缝剪切性能吗？,engineering_cn,5,hybrid,yes,no,rock shear keys|cold joints|shear performance,rock shear keys|shear,说明岩石剪力键和冷缝剪切性能关系,,工程场景问题 覆盖冷缝剪切
user_en_seismic_ratio,How do rock-fill ratios affect seismic analysis of RFC dams?,en,5,hybrid,yes,no,Seismic analysis|rock-fill ratios,rock-fill ratios|seismic,说明堆石率与抗震或 seismic analysis 的关系,,英文坝体抗震问题
user_unsupported_random,zqxjvblorptasticprotocol,unsupported,5,hybrid,no,yes,,,应拒答且不返回来源,zqxjvblorptasticprotocol,无语料依据的随机协议问题
