query_id,question,category,expected_source_type,expected_refused,provider,model_name,retrieval_mode,top_k,precision_at_1,precision_at_3,precision_at_5,coverage_ratio,covered_points,missing_points,refused,refusal_matched,source_type_distribution,top1_source_type,top1_document_title,top_titles,latency_ms,status,error
stage29_wiki_rcc_dam,What is roller-compacted concrete and how is it placed in dam construction?,wikipedia,wikipedia,false,jina,jina-embeddings-v3,bm25_rrf,5,false,true,true,0.750,roller-compacted concrete;dump trucks or conveyors;vibratory rollers,dry mix,,,open_access_pdf:1;web_page:1;wikipedia:3,open_access_pdf,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibratin || Uses in Infrastructure - American Cement Association || Dam applications || Dam applications || Dam applications,6414.33,completed,
stage29_wiki_arch_dam,拱坝为什么适合建在稳定岩石峡谷中？,wikipedia,wikipedia,false,jina,jina-embeddings-v3,bm25_rrf,5,true,true,true,0.500,拱形结构;两岸基岩,水压传递;节省材料,,,institutional_access_pdf:4;wikipedia:1,wikipedia,拱坝的分类,拱坝的分类 || 堆石混凝土高拱坝设计与施工质量管控关键技术 || 牛洞口水库堆石混凝土双曲拱坝设计与施工特点 || 新疆坝工技术进展 || 堆石混凝土高拱坝设计与施工质量管控关键技术,3615.59,completed,
stage29_wiki_hydraulic_engineering,水利工程主要研究哪些对象和基础原理？,wikipedia,wikipedia,false,jina,jina-embeddings-v3,bm25_rrf,5,true,true,true,0.800,水坝;河道;流体力学;重力,流体流动,,,web_page:3;wikipedia:2,wikipedia,基本原理,基本原理 || 基本原理 || Graduate-Department of Hydraulic Engineering || Graduate-School of Civil Engineering Tsinghua University || Undergraduate-Department of Hydraulic Engineering,3549.42,completed,
stage29_wiki_concrete_cover,What is the purpose of concrete cover for reinforcement bars?,wikipedia,wikipedia,false,jina,jina-embeddings-v3,bm25_rrf,5,true,true,true,0.750,reinforcement bars;corrosion;cover,protection,,,web_page:1;wikipedia:4,wikipedia,Purpose of provision of concrete cover,Purpose of provision of concrete cover || Corrosion of reinforcement bars || Purpose of provision of concrete cover || What is IAHR || Purpose of provision of concrete cover,5174.61,completed,
stage29_wiki_dam_applications,How did RCC dam construction develop and what construction method does it resemble?,wikipedia,wikipedia,false,jina,jina-embeddings-v3,bm25_rrf,5,false,false,true,0.750,dam construction;Alpe Gera Dam;road paving,compaction,,,open_access_pdf:3;web_page:1;wikipedia:1,open_access_pdf,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Co || Uses in Infrastructure - American Cement Association || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibratin || Dam applications || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibratin,6008.90,completed,
stage29_standard_eap,What is the purpose of FEMA emergency action planning guidance for dam owners?,standard,standard_document,false,jina,jina-embeddings-v3,bm25_rrf,5,true,true,true,1.000,Emergency Action Plans;dam owners;emergency management authorities;develop and exercise,,,,standard_document:5,standard_document,FEMA P-64 Emergency Action Planning for Dams,FEMA P-64 Emergency Action Planning for Dams || FEMA P-64 Emergency Action Planning for Dams || FEMA P-64 Emergency Action Planning for Dams || FEMA Dam Incident Planning Guide || FEMA P-64 Emergency Action Planning for Dams,5640.30,completed,
stage29_standard_earthquake,What do FEMA earthquake analysis guidelines say about dam safety practices?,standard,standard_document,false,jina,jina-embeddings-v3,bm25_rrf,5,true,true,true,0.500,earthquake analyses;dam safety,federal agencies;management practices,,,institutional_access_pdf:2;standard_document:3,standard_document,FEMA P-64 Emergency Action Planning for Dams,FEMA P-64 Emergency Action Planning for Dams || FEMA P-65 Earthquake Analyses and Design of Dams || 堆石混凝土在某高坝上的应用研究与抗震分析 || FEMA Dam Safety Inundation Mapping and Flood Risks || “5·12”汶川地震紫坪铺面板堆石坝静动力初步反演研究,5733.85,completed,
stage29_standard_living_with_dams,According to FEMA Living With Dams who regulates or owns most dams in the United States?,standard,standard_document,false,jina,jina-embeddings-v3,bm25_rrf,5,true,true,true,0.750,state dam safety programs;maintenance;upgrades,private ownership,,,standard_document:5,standard_document,FEMA Living with Dams Know Your Risks,FEMA Living with Dams Know Your Risks || FEMA Living with Dams Know Your Risks || FEMA P-64 Emergency Action Planning for Dams || FEMA Living with Dams Know Your Risks || FEMA P-93 Selecting and Accommodating Inflow Design Floods for Dams,5903.60,completed,
stage29_standard_pocket_guide,What is the FEMA Pocket Safety Guide for Dams and Impoundments intended to provide?,standard,standard_document,false,jina,jina-embeddings-v3,bm25_rrf,5,true,true,true,0.750,pocket safety guide;dams and impoundments;guidance,cooperating agencies,,,standard_document:5,standard_document,FEMA Dam Awareness Technical Assistance,FEMA Dam Awareness Technical Assistance || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA P-93 Selecting and Accommodating Inflow Design Floods for Dams || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,6000.12,completed,
stage29_standard_inundation_mapping,What should dam safety inundation mapping help communicate about flood risks?,standard,standard_document,false,jina,jina-embeddings-v3,bm25_rrf,5,true,true,true,0.750,inundation mapping;flood risks;dam safety,emergency planning,,,standard_document:5,standard_document,FEMA Dam Safety Inundation Mapping and Flood Risks,FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Dam Incident Planning Guide,5414.39,completed,
