query_id,question,category,expected_source_type,expected_refused,provider,model_name,top_k,precision_at_1,precision_at_3,precision_at_5,coverage_ratio,covered_points,missing_points,refused,refusal_matched,source_type_distribution,top1_source_type,top1_document_title,top_titles,latency_ms,status,error
stage29_wiki_rcc_dam,What is roller-compacted concrete and how is it placed in dam construction?,wikipedia,wikipedia,false,jina,jina-embeddings-v3,5,false,true,true,0.750,roller-compacted concrete;dump trucks or conveyors;vibratory rollers,dry mix,,,open_access_pdf:1;web_page:3;wikipedia:1,open_access_pdf,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibratin || Dam applications || Uses in Infrastructure - American Cement Association || Introduction || Uses in Infrastructure - American Cement Association,3204.75,completed,
stage29_wiki_arch_dam,拱坝为什么适合建在稳定岩石峡谷中？,wikipedia,wikipedia,false,jina,jina-embeddings-v3,5,true,true,true,0.500,拱形结构;两岸基岩,水压传递;节省材料,,,institutional_access_pdf:4;wikipedia:1,wikipedia,拱坝的分类,拱坝的分类 || 堆石混凝土高拱坝设计与施工质量管控关键技术 || 洒谷水库应用堆石混凝土技术初探 || 堆石混凝土在某高坝上的应用研究与抗震分析 || 堆石混凝土在某高坝上的应用研究与抗震分析,1408.13,completed,
stage29_wiki_hydraulic_engineering,水利工程主要研究哪些对象和基础原理？,wikipedia,wikipedia,false,jina,jina-embeddings-v3,5,true,true,true,0.800,水坝;河道;流体力学;重力,流体流动,,,institutional_access_pdf:1;web_page:2;wikipedia:2,wikipedia,基本原理,基本原理 || 水工结构工程分析计算方法回眸与发展 || 本科生教育-清华大学水利水电工程系 || 基本原理 || 本科生教育-清华大学土木水利学院,1452.01,completed,
stage29_wiki_concrete_cover,What is the purpose of concrete cover for reinforcement bars?,wikipedia,wikipedia,false,jina,jina-embeddings-v3,5,true,true,true,0.750,reinforcement bars;corrosion;cover,protection,,,wikipedia:5,wikipedia,Purpose of provision of concrete cover,Purpose of provision of concrete cover || Purpose of provision of concrete cover || Corrosion of reinforcement bars || Corrosion of reinforcement bars || Purpose of provision of concrete cover,1099.07,completed,
stage29_wiki_dam_applications,How did RCC dam construction develop and what construction method does it resemble?,wikipedia,wikipedia,false,jina,jina-embeddings-v3,5,false,false,false,0.250,dam construction,Alpe Gera Dam;road paving;compaction,,,metadata_record:1;open_access_pdf:1;web_page:3,web_page,Introduction,Introduction || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental  || State-of-the-Art and Future Prospects || Quality Control and Instrumentation,1059.52,completed,
stage29_standard_eap,What is the purpose of FEMA emergency action planning guidance for dam owners?,standard,standard_document,false,jina,jina-embeddings-v3,5,true,true,true,1.000,Emergency Action Plans;dam owners;emergency management authorities;develop and exercise,,,,standard_document:5,standard_document,FEMA P-64 Emergency Action Planning for Dams,FEMA P-64 Emergency Action Planning for Dams || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA P-64 Emergency Action Planning for Dams || FEMA P-64 Emergency Action Planning for Dams,1048.43,completed,
stage29_standard_earthquake,What do FEMA earthquake analysis guidelines say about dam safety practices?,standard,standard_document,false,jina,jina-embeddings-v3,5,true,true,true,0.750,earthquake analyses;dam safety;federal agencies,management practices,,,standard_document:5,standard_document,FEMA P-65 Earthquake Analyses and Design of Dams,FEMA P-65 Earthquake Analyses and Design of Dams || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA P-64 Emergency Action Planning for Dams || FEMA P-65 Earthquake Analyses and Design of Dams || FEMA P-65 Earthquake Analyses and Design of Dams,1166.59,completed,
stage29_standard_living_with_dams,According to FEMA Living With Dams who regulates or owns most dams in the United States?,standard,standard_document,false,jina,jina-embeddings-v3,5,true,true,true,0.750,state dam safety programs;maintenance;upgrades,private ownership,,,standard_document:5,standard_document,FEMA Living with Dams Know Your Risks,FEMA Living with Dams Know Your Risks || FEMA Living with Dams Know Your Risks || FEMA Living with Dams Know Your Risks || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Living with Dams Know Your Risks,1159.92,completed,
stage29_standard_pocket_guide,What is the FEMA Pocket Safety Guide for Dams and Impoundments intended to provide?,standard,standard_document,false,jina,jina-embeddings-v3,5,true,true,true,0.750,pocket safety guide;dams and impoundments;guidance,cooperating agencies,,,standard_document:5,standard_document,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Awareness Technical Assistance || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,2000.07,completed,
stage29_standard_inundation_mapping,What should dam safety inundation mapping help communicate about flood risks?,standard,standard_document,false,jina,jina-embeddings-v3,5,true,true,true,0.750,inundation mapping;flood risks;dam safety,emergency planning,,,standard_document:5,standard_document,FEMA Dam Safety Inundation Mapping and Flood Risks,FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Safety Inundation Mapping and Flood Risks,1032.21,completed,
stage29_web_rfc_advantages,Why does the retained web article describe rock-filled concrete dams as stronger cheaper and more environmentally friendly?,web,web_page,false,jina,jina-embeddings-v3,5,true,true,true,0.250,large dams,local rocks;special concrete;construction breakthroughs,,,web_page:5,web_page,Filling the gaps in large concrete dams,Filling the gaps in large concrete dams || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Co || Filling the gaps in large concrete dams || Introduction || The History of Rock-Filled Concrete Dams,1102.59,completed,
stage29_web_rfc_inventors,Who invented rock-filled concrete according to the retained web corpus and what example dam is mentioned?,web,web_page,false,jina,jina-embeddings-v3,5,false,false,true,0.500,Feng Jin;Tsinghua University,Xuehui An;Baijia RFC arch dam,,,metadata_record:1;web_page:4,web_page,The History of Rock-Filled Concrete Dams,The History of Rock-Filled Concrete Dams || Introduction || The History of Rock-Filled Concrete Dams || Introduction || The History of Rock-Filled Concrete Dams,1070.54,completed,
stage29_web_jin_feng_standards,Which rock-filled concrete standards or bulletins is Jin Feng associated with editing?,web,web_page,false,jina,jina-embeddings-v3,5,false,true,true,0.667,Technical Guidelines for Cemented Material Dam;Design Guidelines for Rock-filled concrete dams,ICOLD bulletin,,,metadata_record:4;web_page:1,metadata_record,Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios,Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || JIN Feng-Department of Hydraulic Engineering || Construction information management system for rock-filled concrete dam (CIM4R) || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibratin || Monitoring the flow patterns of high performance self-compacting concrete in the,1081.42,completed,
stage29_web_aci_318_scope,What topics are covered by ACI 318 structural concrete requirements?,web,web_page,false,jina,jina-embeddings-v3,5,false,true,true,1.000,materials;design;detailing;strength;serviceability;durability,,,,open_access_pdf:1;web_page:4,open_access_pdf,Application of Iron Ore Tailings and Phosphogypsum to Create Artificial Rockfills Used in Rock-Filled Concrete,Application of Iron Ore Tailings and Phosphogypsum to Create Artificial Rockfill || ACI SPEC-301-20: Specifications for Concrete Construction || ACI CODE-318-19(22): Building Code Requirements for Structural Concrete and Comm || ACI CODE-318-19(22): Building Code Requirements for Structural Concrete and Comm || ACI SPEC-301-20: Specifications for Concrete Construction,1306.83,completed,
