case_id,modality,question,image_path
phase66_text_01,text,请说明堆石混凝土 RFC 相比常规混凝土筑坝工法的主要优势。,
phase66_text_02,text,请总结 RFC 施工中自密实混凝土填充堆石空隙时的质量控制点。,
phase66_text_03,text,请根据知识库说明 RFC 温控或绝热温升研究通常关注哪些工程风险。,
phase66_text_04,text,请追踪 GB/T 50080 与混凝土拌合物性能试验之间的关系。,
phase66_text_05,text,请比较 GB/T 50080 与 GB/T 50081 在混凝土性能试验对象上的区别。,
phase66_text_06,text,请说明骨料或堆石材料性质如何影响 RFC 力学性能。,
phase66_text_07,text,请检索包含 cement silica fume water aggregate 的 concrete mix proportion 表格并概括用途。,
phase66_text_08,text,请从资料表格中列出堆石混凝土配合比参数。,
phase66_text_09,text,请说明表格检索证据和普通文本证据在回答配合比问题时的区别。,
phase66_text_10,text,请展示堆石混凝土破坏形态的图片作为证据。,
phase66_text_11,text,请检索与大坝裂缝或混凝土缺陷图示相关的图片证据。,
phase66_text_12,text,请说明图像证据在 RFC 质量审查中的适用边界。,
phase66_text_13,text,彩票号码明天应该买什么。,
phase66_text_14,text,请预测某支股票下周涨跌并给出投资建议。,
phase66_text_15,text,帮我写一段和水工混凝土无关的娱乐八卦。,
phase66_text_16,text,请再次说明 RFC 的优势但不要使用图片。,
phase66_text_17,text,不要表格只用文字说明 RFC 施工质量控制要点。,
phase66_text_18,text,请用资料说明堆石混凝土和自密实混凝土之间的关系。,
phase66_text_19,text,请说明 RFC 研究中试件强度测试通常怎样引用标准。,
phase66_text_20,text,请给出堆石混凝土施工过程的主要风险和监测要点。,
phase66_text_21,text,请用一句话总结 RFC 的工程价值并给出引用。,
phase66_text_22,text,请解释为什么 RFC 问答需要可追溯引用。,
phase66_text_23,text,请说明图表证据不足时系统应该如何处理。,
phase66_text_24,text,请说明检索不到可靠证据时是否应该拒答。,
phase66_text_25,text,请概括 RFC 与传统大体积混凝土温控问题的联系。,
phase66_text_26,text,请说明自密实混凝土流动性对 RFC 填充效果的影响。,
phase66_text_27,text,请列出 RFC 质量评价中常见的材料参数。,
phase66_text_28,text,请说明图像描述证据和原始图片证据的区别。,
phase66_text_29,text,请用中文回答 RFC 施工质量控制的三个要点。,
phase66_text_30,text,请用英文简要解释 rock-filled concrete 的 core idea。,
phase66_image_01,image,请描述这张用户上传图片是否与 RFC 或混凝土工程相关。,data/user_uploads/2026-06-20/512f4df6505c435f835a7ddbeee4670a.png
phase66_image_02,image,请结合知识库判断这张图是否能支撑 RFC 施工或质量问题。,data/user_uploads/2026-06-20/c0a8591d94984d9faf2ba35233a7849c.png
phase66_image_03,image,请寻找与这张图相似或相关的资料图片证据。,data/user_uploads/2026-06-20/363216cafd334ea5bc48069ad46c87be.png
phase66_image_04,image,如果这张图无法可靠判断工程相关性请安全拒答。,data/user_uploads/2026-07-08/f0339352cc51403083fa95b9e09e4be8.png
