config_name,query_id,question,passed,returned_answer,expected_refused,refused,refusal_matched,source_count,citations,citations_valid,expected_source_hit,forbidden_terms_absent,configured_retrieval_mode,actual_retrieval_mode,top_k,min_score,rerank_top_n,workflow_steps,workflow_succeeded,model_provider,model_name,answer,top_source_titles,error,notes
default_hybrid,rfc_concept,What is rock-filled concrete?,yes,yes,no,no,yes,4,1,yes,yes,yes,hybrid,hybrid,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: What is rock-filled concrete?,"堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Integrated evaluation of cost, schedule and emission performance on rock-filled concrete dam construction operation using discrete event simulation",,Concept question should return an answer with traceable sources.
keyword_baseline,rfc_concept,What is rock-filled concrete?,yes,yes,no,no,yes,4,1,yes,yes,yes,keyword,keyword,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: What is rock-filled concrete?,"Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Integrated evaluation of cost, schedule and emission performance on rock-filled concrete dam construction operation using discrete event simulation || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Progressive failure mechanism of water glass modified recycled rock-filled concrete based on radon monitoring and resistivity monitoring",,Concept question should return an answer with traceable sources.
vector_only,rfc_concept,What is rock-filled concrete?,yes,yes,no,no,yes,5,1,yes,yes,yes,vector,vector,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: What is rock-filled concrete?,堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Experimental Research on the Properties of Rock-Filled Concrete || Experimental Research on the Properties of Rock-Filled Concrete,,Concept question should return an answer with traceable sources.
default_hybrid,construction_quality,How is construction quality controlled in rock-filled concrete?,yes,yes,no,no,yes,4,1,yes,yes,yes,hybrid,hybrid,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: How is construction quality controlled in rock-filled concrete?,"Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Integrated evaluation of cost, schedule and emission performance on rock-filled concrete dam construction operation using discrete event simulation || Heterogeneous temperature characteristics considering rainfall effect during construction of an integrally-poured rock-filled concrete arch dam",,Construction and quality-control question.
keyword_baseline,construction_quality,How is construction quality controlled in rock-filled concrete?,yes,yes,no,no,yes,4,1,yes,yes,yes,keyword,keyword,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: How is construction quality controlled in rock-filled concrete?,"Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Integrated evaluation of cost, schedule and emission performance on rock-filled concrete dam construction operation using discrete event simulation || Heterogeneous temperature characteristics considering rainfall effect during construction of an integrally-poured rock-filled concrete arch dam || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China",,Construction and quality-control question.
vector_only,construction_quality,How is construction quality controlled in rock-filled concrete?,yes,yes,no,no,yes,5,1,yes,yes,yes,vector,vector,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: How is construction quality controlled in rock-filled concrete?,"A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || Experimental Research on the Properties of Rock-Filled Concrete || Experimental Research on the Properties of Rock-Filled Concrete || Integrated evaluation of cost, schedule and emission performance on rock-filled concrete dam construction operation using discrete event simulation || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method",,Construction and quality-control question.
default_hybrid,thermal_control,What does thermal control focus on for rock-filled concrete dams?,yes,yes,no,no,yes,4,1,yes,yes,yes,hybrid,hybrid,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: What does thermal control focus on for rock-filled concrete dams?,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Simulation of thermal stress and control measures for rock-filled concrete dam in high-altitude and cold regions || Construction information management system for rock-filled concrete dam (CIM4R) || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,,Temperature-control question.
keyword_baseline,thermal_control,What does thermal control focus on for rock-filled concrete dams?,yes,yes,no,no,yes,4,1,yes,yes,yes,keyword,keyword,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: What does thermal control focus on for rock-filled concrete dams?,Simulation of thermal stress and control measures for rock-filled concrete dam in high-altitude and cold regions || Construction information management system for rock-filled concrete dam (CIM4R) || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,,Temperature-control question.
vector_only,thermal_control,What does thermal control focus on for rock-filled concrete dams?,yes,yes,no,no,yes,5,1,yes,yes,yes,vector,vector,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: What does thermal control focus on for rock-filled concrete dams?,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Preliminary study on temperature rise property of thermal insulation of rock-fill concrete || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Construction information management system for rock-filled concrete dam (CIM4R),,Temperature-control question.
default_hybrid,filling_capacity,What affects filling capacity in rock-filled concrete?,yes,yes,no,no,yes,5,1,yes,yes,yes,hybrid,hybrid,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: What affects filling capacity in rock-filled concrete?,"Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Filling the gaps in large concrete dams || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation",,Filling and SCC question.
keyword_baseline,filling_capacity,What affects filling capacity in rock-filled concrete?,yes,yes,no,no,yes,4,1,yes,yes,yes,keyword,keyword,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: What affects filling capacity in rock-filled concrete?,"Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation",,Filling and SCC question.
vector_only,filling_capacity,What affects filling capacity in rock-filled concrete?,yes,yes,no,no,yes,5,1,yes,yes,yes,vector,vector,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: What affects filling capacity in rock-filled concrete?,"堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam",,Filling and SCC question.
default_hybrid,engineering_case,Give an engineering application example for rock-filled concrete dams.,yes,yes,no,no,yes,5,1,yes,yes,yes,hybrid,hybrid,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: Give an engineering application example for rock-filled concrete dams.,"A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Test Analysis of the Cleavage and Tensile Performance of the Self-compacting Rock-filled Concrete in Weitan Hydropower Station",,Engineering application question.
keyword_baseline,engineering_case,Give an engineering application example for rock-filled concrete dams.,yes,yes,no,no,yes,4,1,yes,yes,yes,keyword,keyword,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: Give an engineering application example for rock-filled concrete dams.,Test Analysis of the Cleavage and Tensile Performance of the Self-compacting Rock-filled Concrete in Weitan Hydropower Station || Construction information management system for rock-filled concrete dam (CIM4R) || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,,Engineering application question.
vector_only,engineering_case,Give an engineering application example for rock-filled concrete dams.,yes,yes,no,no,yes,5,1,yes,yes,yes,vector,vector,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: Give an engineering application example for rock-filled concrete dams.,"A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete || Integrated evaluation of cost, schedule and emission performance on rock-filled concrete dam construction operation using discrete event simulation || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology",,Engineering application question.
default_hybrid,unsupported,zqxjvblorptasticprotocol,yes,yes,yes,yes,yes,0,,yes,yes,yes,hybrid,hybrid,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,当前资料库中没有找到足够可靠的依据。,,,Synthetic out-of-corpus token should be refused.
keyword_baseline,unsupported,zqxjvblorptasticprotocol,yes,yes,yes,yes,yes,0,,yes,yes,yes,keyword,keyword,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,当前资料库中没有找到足够可靠的依据。,,,Synthetic out-of-corpus token should be refused.
vector_only,unsupported,zqxjvblorptasticprotocol,yes,yes,yes,yes,yes,0,,yes,yes,yes,vector,vector,5,0.0,0,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,当前资料库中没有找到足够可靠的依据。,,,Synthetic out-of-corpus token should be refused.
