language,title,category,status,url,document_id,source_id,content_hash,error
zh,混凝土,百科词条,dry_run,,,,,
zh,混凝土坝,百科词条,dry_run,,,,,
zh,重力坝,百科词条,dry_run,,,,,
zh,拱坝,百科词条,dry_run,,,,,
zh,大坝,百科词条,dry_run,,,,,
zh,水泥,百科词条,dry_run,,,,,
zh,波特兰水泥,百科词条,dry_run,,,,,
zh,骨料,百科词条,dry_run,,,,,
zh,坍落度,百科词条,dry_run,,,,,
zh,抗压强度,百科词条,dry_run,,,,,
zh,水化反应,百科词条,dry_run,,,,,
zh,碾压混凝土,百科词条,dry_run,,,,,
zh,自密实混凝土,百科词条,dry_run,,,,,
zh,大体积混凝土,百科词条,dry_run,,,,,
zh,面板堆石坝,百科词条,dry_run,,,,,
zh,堆石坝,百科词条,dry_run,,,,,
zh,水利工程,百科词条,dry_run,,,,,
zh,粉煤灰,百科词条,dry_run,,,,,
zh,减水剂,百科词条,dry_run,,,,,
en,Concrete,encyclopedia,dry_run,,,,,
en,Concrete dam,encyclopedia,dry_run,,,,,
en,Gravity dam,encyclopedia,dry_run,,,,,
en,Arch dam,encyclopedia,dry_run,,,,,
en,Dam,encyclopedia,dry_run,,,,,
en,Roller-compacted concrete,encyclopedia,dry_run,,,,,
en,Self-consolidating concrete,encyclopedia,dry_run,,,,,
en,Portland cement,encyclopedia,dry_run,,,,,
en,Aggregate (composite),encyclopedia,dry_run,,,,,
en,Construction aggregate,encyclopedia,dry_run,,,,,
en,Concrete slump test,encyclopedia,dry_run,,,,,
en,Compressive strength,encyclopedia,dry_run,,,,,
en,Hydration reaction,encyclopedia,dry_run,,,,,
en,Mass concrete,encyclopedia,dry_run,,,,,
en,Concrete masonry unit,encyclopedia,dry_run,,,,,
en,Concrete degradation,encyclopedia,dry_run,,,,,
en,Concrete cover,encyclopedia,dry_run,,,,,
en,Spillway,encyclopedia,dry_run,,,,,
en,Embankment dam,encyclopedia,dry_run,,,,,
