query_id,category,question,expected_has_table,expected_keywords,expected_values,notes
table_mix_001,mix_ratio,"Find TABLE I mix proportion of concrete with cement, silica fume, water and aggregate.",true,"MIX PROPORTION|Cement|Silica fume|Water|aggregate","500|175|1150","mix proportion table"
table_mix_002,mix_ratio,"Retrieve the SF0 and SF10 concrete mix proportion table.",true,"SF0|SF10|Silica fume|Cement","SF0|SF10|500","silica fume mix"
table_mix_003,mix_ratio,"Search for mix proportions and main parameter of concrete by strength grade and water cement ratio.",true,"MIX PROPORTIONS|Water/Cement Ratio|Strength Grade","Water|Cement|Medium Sand","strength grade mix"
table_mix_004,mix_ratio,"Find the table listing water, cement, medium sand, small stone and middle stone.",true,"Water|Cement|Medium Sand|Small Stone|Middle Stone","Water/Cement Ratio","aggregate mix rows"
table_mix_005,mix_ratio,"Return a table about concrete materials with cement, fine aggregate and coarse aggregate.",true,"Materials|Cement|Fine aggregate|Coarse aggregate","Superplasticizer","material proportions"
table_mix_006,mix_ratio,"Find RFC four-phase model material parameters for rock, SCC, ITZ and ACU.",true,"Rock|SCC|ITZ|ACU","Elastic modulus|Density","four phase parameters"
table_mix_007,mix_ratio,"Search table for aggregate, ITZ, SCC and ACU elastic modulus values.",true,"Elastic modulus|Rock|SCC|ITZ|ACU","48444|23907|9562","mesoscopic model"
table_mix_008,mix_ratio,"Retrieve table about IOT sand or phosphogypsum accumulation states.",true,"IOT sand|phosphogypsum|Accumulation states","ore tailing","materials image table"
table_strength_001,strength_parameter,"Find TABLE II 28-day compressive strength and elastic modulus of concrete.",true,"28-DAY COMPRESSIVE STRENGTH|Elastic Modulus|Axial compressive strength","34.3|33.2|35.8","compressive strength"
table_strength_002,strength_parameter,"Retrieve axial compressive strength values for SF0 group 1 group 2 group 3 average.",true,"Axial compressive strength|SF0|Group 1|Group 2|Avg","33.2|35.8|34.3","SF0 strength values"
table_strength_003,strength_parameter,"Find relationships between compressive strength and confining pressure of RFC at different strain rates.",true,"compressive strength|confining pressure|RFC|strain rates","Fig. 2|Relationships","dynamic strength"
table_strength_004,strength_parameter,"Search for dynamic strength test table with strain rate and confining pressure.",true,"strain rate|confining pressure|dynamic strength|RFC","B(|sigma","dynamic test formula"
table_strength_005,strength_parameter,"Retrieve table of maximum and minimum stresses in face slab and interface.",true,"Maximum and minimum|stresses|face slab|interface","Table 2","CFRD stress table"
table_strength_006,strength_parameter,"Find table for maximum axial stress and slope direction stress of Lianghekou CFRD.",true,"maximum axial stress|Lianghekou|CFRD|MPa","compression|tension","joint stress"
table_strength_007,strength_parameter,"Search for stress state influence table about joint types for Lianghekou CFRD.",true,"joint types|Lianghekou CFRD|stress","MPa","joint types"
table_strength_008,strength_parameter,"Find stress state influence table about joint widths for Lianghekou CFRD.",true,"widths|Lianghekou CFRD|maximum axial stress","MPa","joint widths"
table_strength_009,strength_parameter,"Retrieve ultrasonic velocity table by borehole depth for rock-filled concrete.",true,"Ultrasonic velocity|borehole|Depth","1000|5000","ultrasonic velocity"
table_strength_010,strength_parameter,"Find borehole ultrasonic velocity data table with No.6 borehole and depth.",true,"No.6 borehole|Ultrasonic velocity|Depth","m/s","borehole data"
table_material_001,material_dosage,"Find concrete material table containing silica fume dosage and superplasticizer.",true,"Silica fume|Superplasticizer|Cement|Water","1.5|SF10","admixture dosage"
table_material_002,material_dosage,"Retrieve mix proportion row for silica fume concrete with fine aggregate and coarse aggregate.",true,"Silica fume|Fine aggregate|Coarse aggregate|Materials","SF0","dosage"
table_material_003,material_dosage,"Search for table of water cement ratio and mix proportions in kg per cubic meter.",true,"Water/Cement Ratio|kg/m3|Water|Cement","Strength Grade","kg per cubic meter"
table_material_004,material_dosage,"Find table involving fly ash or supplementary cementitious material in concrete.",true,"Silica fume|Cement|Water|aggregate","SF10","SCM proxy"
table_material_005,material_dosage,"Retrieve table with superplasticizer dosage for concrete mix proportion.",true,"Superplasticizer|MIX PROPORTION|Concrete","1.5","admixture value"
table_material_006,material_dosage,"Find materials table for iron ore tailing sand and phosphogypsum.",true,"iron|ore tailing|phosphogypsum|IOT sand","Accumulation states","IOT material"
table_compare_001,comparison,"Compare SF0, SF10 and other silica fume concrete groups in the mix proportion table.",true,"SF0|SF10|Silica fume|MIX PROPORTION","500|175","group comparison"
table_compare_002,comparison,"Compare group 1 group 2 group 3 and average compressive strength.",true,"Group 1|Group 2|Group 3|Avg|compressive strength","33.2|35.8|34.3","strength comparison"
table_compare_003,comparison,"Find table comparing rock, SCC, ITZ and ACU model parameters.",true,"Rock|SCC|ITZ|ACU|Parameter","Elastic modulus","phase comparison"
table_compare_004,comparison,"Retrieve table comparing different boreholes No.4 No.5 and No.6.",true,"No.4 borehole|No.5 borehole|No.6 borehole","borehole","borehole comparison"
table_compare_005,comparison,"Search table comparing countries distribution for top 100 high dams.",true,"country|dam|top 100|rank","China|United States","dam country comparison"
table_compare_006,comparison,"Find table comparing reservoir capacity top 100 world dams by country.",true,"reservoir|top 100|country|rank","Russia|Canada","reservoir comparison"
table_compare_007,comparison,"Retrieve comparison table of measured deformation and feedback calculation.",true,"measurement|calculation|deformation","cm","deformation comparison"
table_compare_008,comparison,"Find table comparing construction process stages clean formwork SCC producing pouring.",true,"formwork|SCC|pouring|producing","Clean|pouring","construction comparison"
table_engineering_001,engineering_parameter,"Find finite element table for concrete face slab rockfill dam void length depth quantity.",true,"face slab|length|depth|void","m","void simulation"
table_engineering_002,engineering_parameter,"Retrieve table about dam deformation measurement and feedback calculation in centimeters.",true,"deformation|measurement|calculation|cm","Fig. 4","dam deformation"
table_engineering_003,engineering_parameter,"Find engineering design table listing hydropower station CFRD height and completion.",true,"hydropower station|concrete face rockfill dam|design","2002|178","CFRD design"
table_engineering_004,engineering_parameter,"Search table about known parameters, layout solving parameters and numbering parameters.",true,"known parameters|solving parameters|numbering parameters","project|serial","layout parameters"
table_engineering_005,engineering_parameter,"Retrieve table involving dynamic pore water pressure ratio and consolidation stress.",true,"pore water pressure|consolidation stress|dynamic","K","seismic response"
table_engineering_006,engineering_parameter,"Find table about element number and loading steps for concrete face slab dam simulation.",true,"element number|loading|dam axis|face slab","1:1.4","finite element model"
table_engineering_007,engineering_parameter,"Search for Lagrange multiplier Clough contact interface model parameter table.",true,"Clough|contact|interface|parameter","x|y|z","contact model"
table_engineering_008,engineering_parameter,"Find rock-filled concrete construction workflow table with clean formwork and SCC pouring.",true,"Clean formwork|SCC|pouring|rock block","Erect","workflow table"
table_engineering_009,engineering_parameter,"Retrieve table of ultrasonic velocity by depth for borehole evaluation.",true,"Ultrasonic velocity|Depth|borehole","m/s|No.6","engineering NDT"
table_engineering_010,engineering_parameter,"Find table of deformation from measurement and feed-back calculation for high CFRD.",true,"Deformation|measurement|feed-back calculation","cm","feedback deformation"
table_engineering_011,engineering_parameter,"Retrieve table about concrete face slab maximum and minimum stress values.",true,"face slab|interface|Maximum and minimum|stresses","Table 2|stress","face slab stress"
table_mix_009,mix_ratio,"Find table of clean formwork, rock block, special SCC producing and SCC pouring process.",true,"Clean formwork|rock block|SCC|pouring","Erect|producing","RFC construction material workflow"
table_negative_001,negative,"Find a table of medieval poetry rhyme schemes in this concrete knowledge base.",false,"poetry|rhyme|sonnet","Shakespeare","negative unrelated"
table_negative_002,negative,"Retrieve a table of smartphone market share by operating system.",false,"smartphone|iOS|Android","market share","negative unrelated"
table_negative_003,negative,"Search for a table of cat breeds and coat colors.",false,"cat|breed|coat color","Siamese","negative unrelated"
table_negative_004,negative,"Find a table of planetary orbital periods and moon counts.",false,"planet|orbit|moon","Mars","negative unrelated"
table_negative_005,negative,"Retrieve a table of cooking temperatures for cakes and cookies.",false,"cake|cookie|oven","180","negative unrelated"
table_negative_006,negative,"Search a table of jazz albums by release year and saxophone player.",false,"jazz|album|saxophone","release year","negative unrelated"
