title,url,category,status,bytes_downloaded,local_path,document_id,source_id,content_hash,error
USACE EM 1110-2-2000 Standard Practice for Concrete for Civil Works Structures,https://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_1110-2-2000.pdf,concrete_standard,download_failed,0,,,,,HTTP 403: Forbidden
USACE EM 1110-2-2006 Roller-Compacted Concrete,https://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_1110-2-2006.pdf,roller_compacted_concrete,download_failed,0,,,,,HTTP 403: Forbidden
USBR Concrete Manual,https://www.usbr.gov/tsc/techreferences/mands/mands-pdfs/ConcreteManual.pdf,concrete_manual,download_failed,0,,,,,HTTP 404: Not Found
USBR Design of Small Dams,https://www.usbr.gov/tsc/techreferences/mands/mands-pdfs/SmallDams.pdf,dam_design,skipped_too_large,0,,,,,Content-Length 62980603 exceeds 20971520 bytes
FEMA P-64 Emergency Action Planning for Dams,https://www.fema.gov/sites/default/files/2020-08/eap_federal_guidelines_fema_p-64.pdf,dam_safety,duplicate,3528868,data\raw\standards\standard_b36fa8f7c7_FEMA_P-64_Emergency_Action_Planning_for_Dams.pdf,1059,standard_d01156fdb1d7,531b4e91cb56e2aeb6f6dd1ca209bbba03597dcd80eecc431a4da93fb300b0ab,
FEMA P-65 Earthquake Analyses and Design of Dams,https://www.fema.gov/sites/default/files/2020-08/fema_dam-safety_earthquake-analysis_P-65.pdf,dam_safety,duplicate,785471,data\raw\standards\standard_689616abce_FEMA_P-65_Earthquake_Analyses_and_Design_of_Dams.pdf,1060,standard_31bc0c3f797f,f022e5895fbc58b7b01ea24708b5c1e6f6cd2c7c4c10bee25b209fde4d598ca9,
FEMA P-93 Selecting and Accommodating Inflow Design Floods for Dams,https://www.fema.gov/sites/default/files/2020-08/fema_dam-safety_inflow-designs_P-94.pdf,dam_safety,imported,1084046,data\raw\standards\standard_8e1bdd27c8_FEMA_P-93_Selecting_and_Accommodating_Inflow_Design_Floods_for_Dams.pdf,1061,standard_66fc96c605b3,f2cf1d07db4015bccda4d5bf1ef9109178c2f908dbfdfb5c981cd10b18d6b567,
FEMA Living with Dams Know Your Risks,https://www.fema.gov/sites/default/files/2020-08/fema_living-with-dams_p-956.pdf,dam_safety,imported,7516489,data\raw\standards\standard_cf45617b12_FEMA_Living_with_Dams_Know_Your_Risks.pdf,1062,standard_c000122a1f92,56248ea5421557af8acd41ad8149353a53f10f7064a306d7c8b15bbe0b0d48d0,
FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,https://www.fema.gov/sites/default/files/2020-08/fema_911_pocket_safety_guide_dams_impoundments_2016.pdf,dam_safety,imported,9082314,data\raw\standards\standard_91568ba950_FEMA_Dam_Safety_Pocket_Safety_Guide_for_Dams_and_Impoundments.pdf,1063,standard_32f461fa4eb7,0d12688ec97d111ba7db0e8f81b754830ef58f4b25394d50b8ef9e73900cdc88,
FEMA Dam Incident Planning Guide,https://www.fema.gov/sites/default/files/2020-08/dam_incident_planning_guide_2019.pdf,dam_safety,imported,2703175,data\raw\standards\standard_f49ebd598e_FEMA_Dam_Incident_Planning_Guide.pdf,1064,standard_c48ded512fdf,307d3d32f8d0700b7dc73cd873f040ae8e58f84c347a46796737c517dfae7701,
FEMA Dam Awareness Technical Assistance,https://www.fema.gov/sites/default/files/2020-08/ta3-dam_awareness.pdf,dam_safety,imported,685480,data\raw\standards\standard_33bfde3524_FEMA_Dam_Awareness_Technical_Assistance.pdf,1065,standard_a431e0bb92a2,6e8a3e33a5e9d9e80aae2aabf089684b8b08ba76bd98ceaaa5a63f05cf72778b,
FEMA Dam Awareness Fact Sheet,https://www.fema.gov/sites/default/files/2020-08/fact-sheet_dam-awareness.pdf,dam_safety,imported,805458,data\raw\standards\standard_710a684ac5_FEMA_Dam_Awareness_Fact_Sheet.pdf,1066,standard_9c4a84129a1b,d87f358df6dc42404f2f123a053b1a5bb808811dbda6912fef1623dd3dd259bc,
FEMA Dam Safety Inundation Mapping and Flood Risks,https://www.fema.gov/sites/default/files/2020-08/fema_dam-safety_inundation-mapping-flood-risks.pdf,dam_safety,imported,17385508,data\raw\standards\standard_e8d405b8f6_FEMA_Dam_Safety_Inundation_Mapping_and_Flood_Risks.pdf,1067,standard_7e9009452ea0,0d6913f098be09a916e37c9a64f3fcf442aaab28e750de9f962cc4485f5c2f67,
FEMA 148 Glossary of Terms for Dam Safety,https://www.ferc.gov/sites/default/files/2020-04/fema-148.pdf,dam_safety,download_failed,0,,,,,HTTP 403: Forbidden
FEMA P-679 Technical Manual Outlet Works Energy Dissipators,https://damsafety.org/sites/default/files/files/FEMA%20TM%20EnergyDissipators%20P679-2010.pdf,dam_safety,skipped_too_large,0,,,,,Content-Length 23927342 exceeds 20971520 bytes
