query_id,question,category,expected_source_type,provider,model_name,retrieval_mode,top_k,precision_at_1,precision_at_3,precision_at_5,coverage_ratio,covered_points,missing_points,source_type_distribution,top1_source_type,top1_document_title,top_titles,latency_ms,status,error
stage41_cn_rfc_flow_filling,自密实堆石混凝土的复杂流动和填充性能可以参考哪些研究？,new_cn_rfc,institutional_access_pdf,paratera,GLM-Embedding-3,hybrid_rrf_tail,8,true,true,true,1.000,填充性能;自密实;界面微观,,institutional_access_pdf:3;local_file:3;metadata_record:1;web_page:1,institutional_access_pdf,自密实混凝土填充性能及堆石混凝土界面微观特性研究,"自密实混凝土填充性能及堆石混凝土界面微观特性研究 || 堆石混凝土绝热温升试验及数值模拟研究 || Experimental study of filling capacity of self-compacting concrete and its influ || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete. || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process fo || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 基于贵州地区的堆石混凝土尺寸效应及标准值研究",17670.91,completed,
stage41_cn_rfc_mps_dem,基于 MPS-DEM 的堆石混凝土流动填充性能数值模拟关注什么问题？,new_cn_rfc,institutional_access_pdf,paratera,GLM-Embedding-3,hybrid_rrf_tail,8,true,true,true,1.000,数值模拟;流动;填充性能,,institutional_access_pdf:5;local_file:2;metadata_record:1,institutional_access_pdf,基于MPS-DEM的堆石混凝土流动填充性能数值模拟,基于MPS-DEM的堆石混凝土流动填充性能数值模拟 || 堆石混凝土坝建设与技术标准体系发展与展望 (1) || 堆石混凝土坝建设与技术标准体系发展与展望 || Experimental study of filling capacity of self-compacting concrete and its influ || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process fo || 基于MPS-DEM的堆石混凝土流动填充性能数值模拟 || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || 堆石混凝土流动填充与温升过程原型监测,12961.45,completed,
stage41_cn_rfc_porosity_damage,孔隙率和孔径如何影响 rock-filled concrete 的损伤表征？,new_en_rfc,open_access_pdf,paratera,GLM-Embedding-3,hybrid_rrf_tail,8,false,false,true,1.000,porosity;aperture;damage characterization,,institutional_access_pdf:4;metadata_record:2;open_access_pdf:2,institutional_access_pdf,基于介观模型的界面和骨料对堆石混凝土压拉强度敏感性影响研究,基于介观模型的界面和骨料对堆石混凝土压拉强度敏感性影响研究 || 堆石混凝土坝施工期温度场、应力场分析及裂缝控制 || 堆石混凝土缺陷对尺寸效应的影响研究 || 胶结面缺陷对堆石混凝土宏观力学性能影响研究 || Liu 等 - 2024 - Study on the effect of porosity and aperture on the damage charac || Study on the effect of porosity and aperture on the damage characterization of r || Liu 等 - 2024 - Study on the effect of porosity and aperture on the damage charac || Study on the effect of porosity and aperture on the damage characterization of r,11248.68,completed,
stage41_cn_rfc_scc_rock_composite,有哪些 SCC 与 rock composite specimens 损伤表征研究？,new_en_rfc,open_access_pdf,paratera,GLM-Embedding-3,hybrid_rrf_tail,8,false,false,true,1.000,CPU;GPU;damage characterization,,institutional_access_pdf:5;metadata_record:1;open_access_pdf:2,institutional_access_pdf,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究 || 堆石混凝土抗拉性能及劈裂抗拉破坏机理 || 基于正交各向异性本构的堆石混凝土胶结面强度研究 || Wang 等 - 2025 - Research on damage characterization of SCC and rock composite sp || Research on damage characterization of SCC and rock composite specimens based on || 堆石混凝土岩块-SCC交界面Ⅰ型断裂性能研究 || Wang 等 - 2025 - Research on damage characterization of SCC and rock composite sp || 堆石混凝土岩块-SCC交界面Ⅰ型断裂性能研究,9237.91,completed,
stage41_cn_dam_temperature,堆石混凝土坝施工期温度场、应力场和裂缝控制可以参考哪些资料？,new_cn_dam,institutional_access_pdf,paratera,GLM-Embedding-3,hybrid_rrf_tail,8,true,true,true,1.000,温度场;应力场;裂缝控制,,institutional_access_pdf:6;metadata_record:2,institutional_access_pdf,堆石混凝土重力坝监测资料的正反分析和安全评价,"堆石混凝土重力坝监测资料的正反分析和安全评价 || 通仓浇筑堆石混凝土拱坝的温度过程分析 || 考虑分层填充的非均质堆石混凝土温度研究 (1) || 通仓浇筑堆石混凝土拱坝的温度过程分析 || Integrated evaluation of cost, schedule and emission performance on rock-filled  || 堆石混凝土坝渗流的分析及模拟研究 || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental  || 堆石混凝土技术碳减排效益评价",11267.94,completed,
stage41_cn_dam_seepage,堆石混凝土坝渗流分析和模拟有哪些文献？,new_cn_dam,institutional_access_pdf,paratera,GLM-Embedding-3,hybrid_rrf_tail,8,true,true,true,1.000,渗流;分析;模拟,,institutional_access_pdf:6;metadata_record:2,institutional_access_pdf,堆石混凝土坝渗流的分析及模拟研究,堆石混凝土坝渗流的分析及模拟研究 || 某堆石混凝土重力坝的渗流性态分析 || 某堆石混凝土重力坝的渗流性态分析 || 基于随机骨料投放的堆石混凝土力学性能研究 || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into fil || 某堆石混凝土重力坝的渗流性态分析 || A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of  || 某堆石混凝土重力坝的渗流性态分析,10186.46,completed,
stage41_cn_dam_monitoring,堆石混凝土重力坝监测资料正反分析和安全评价可以检索到什么？,new_cn_dam,institutional_access_pdf,paratera,GLM-Embedding-3,hybrid_rrf_tail,8,true,true,true,1.000,监测;安全评价;重力坝,,institutional_access_pdf:6;local_file:1;metadata_record:1,institutional_access_pdf,某水库堆石坝原型观测资料分析与安全评价,某水库堆石坝原型观测资料分析与安全评价 || 堆石混凝土重力坝监测资料的正反分析和安全评价 || 堆石混凝土重力坝监测资料的正反分析和安全评价 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土重力坝监测资料的正反分析和安全评价 || 堆石混凝土坝渗流的分析及模拟研究 || Analyzing the filling performance parameters of self-compacted mortar in rock fi,8773.85,completed,
stage41_cn_quality_control,堆石混凝土坝质量控制与检验应查哪些新增资料？,new_cn_dam,institutional_access_pdf,paratera,GLM-Embedding-3,hybrid_rrf_tail,8,true,true,true,0.667,质量控制;堆石混凝土坝,检验,institutional_access_pdf:6;metadata_record:1;web_page:1,institutional_access_pdf,堆石混凝土技术在余庆县打鼓台水库工程建设的应用,堆石混凝土技术在余庆县打鼓台水库工程建设的应用 || 堆石混凝土坝建设与技术标准体系发展与展望 (1) || 堆石混凝土坝建设与技术标准体系发展与展望 || 浅谈堆石混凝土施工中的质量控制 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Quality Control and Instrumentation || 堆石混凝土(RFC)施工工法 || On-site experiment methods on the compaction detection of rock-filled concrete,10901.07,completed,
stage41_cn_construction_management,堆石混凝土施工管理中视觉信息处理方法有哪些研究？,new_cn_rfc,institutional_access_pdf,paratera,GLM-Embedding-3,hybrid_rrf_tail,8,true,true,true,1.000,施工管理;视觉信息;应用研究,,institutional_access_pdf:7;metadata_record:1,institutional_access_pdf,堆石混凝土施工管理中视觉信息的处理方法及应用研究,堆石混凝土施工管理中视觉信息的处理方法及应用研究 || 堆石混凝土施工管理中视觉信息的处理方法及应用研究 || 堆石混凝土施工管理中视觉信息的处理方法及应用研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土施工管理中视觉信息的处理方法及应用研究 || 智能化赋能堆石混凝土坝施工建设：CIM4R || Analyzing the filling performance parameters of self-compacted mortar in rock fi || 堆石混凝土渐进破坏细观机理研究,12897.28,completed,
stage41_cn_carbon_emission,混凝土大坝生命周期碳排放评价可以检索哪些新增中文资料？,new_cn_dam,institutional_access_pdf,paratera,GLM-Embedding-3,hybrid_rrf_tail,8,true,true,true,1.000,生命周期;碳排放;评价方法,,institutional_access_pdf:7;metadata_record:1,institutional_access_pdf,堆石混凝土技术碳减排效益评价,"堆石混凝土技术碳减排效益评价 || 堆石混凝土技术碳减排效益评价 || 堆石混凝土技术碳减排效益评价 || 堆石混凝土层间界面剪切力学性能研究 || 智能化赋能堆石混凝土坝施工建设：CIM4R || 基于生命周期的混凝土大坝碳排放评价方法研究 || Integrated evaluation of cost, schedule and emission performance on rock-filled  || 堆石混凝土技术碳减排效益评价",9467.87,completed,
