document_id,file_name,title,review_status,review_reasons,metadata_missing,text_chunks,image_description_chunks,spotcheck_focus
1282,堆石混凝土技术——清华大学堆石混凝土专利技术在水利部科技推广中心主办的2008年度国际水利先进技术(产品)推介会上亮相.pdf,堆石混凝土技术——清华大学堆石混凝土专利技术在水利部科技推广中心主办的2008年度国际水利先进技术(产品)推介会上亮相,cloud_candidate,,authors;venue,3,2,title/chunk/citation/image/retrieval manual check
1308,堆石混凝土技术的研究与应用 (1).pdf,ԷྍაႋႨv2016ֻ6і,cloud_candidate,,authors;venue,1,1,title/chunk/citation/image/retrieval manual check
1324,堆石混凝土筑坝技术在赵家坝水库中的应用.pdf,海 河 水 利2025 . No . 11,cloud_candidate,,authors;venue,20,3,title/chunk/citation/image/retrieval manual check
1375,新龙堡水库坝址坝型方案比选及结构计算.pdf,稿日期 ］ 2022-12-28,cloud_candidate,,authors;venue,7,3,title/chunk/citation/image/retrieval manual check
1381,某水库堆石混凝土坝施工缺陷原因分析及处理.pdf,广西水利水电 GUANGXI WATER RESOURCES & HYDROPOWER ENGINEERING 2021 （ 3 ）,cloud_candidate,,authors;venue,9,3,title/chunk/citation/image/retrieval manual check
1383,水下自密实堆石混凝土拌合物性能试验研究.pdf,50 CHINA CONCRETE 2026.03 NO.201,cloud_candidate,,authors;venue,20,10,title/chunk/citation/image/retrieval manual check
1405,混凝土技术在水库建设中的应用.pdf,中国新技术新产品2018 NO.9（ 上）,cloud_candidate,,authors;venue,6,0,title/chunk/citation/image/retrieval manual check
1408,清平水库补水工程堆石混凝土拦河坝施工质量控制.pdf,广西水利水电 GUANGXI WATER RESOURCES & HYDROPOWER ENGINEERING 2014 （3）,cloud_candidate,,authors;venue,10,4,title/chunk/citation/image/retrieval manual check
1418,第三届堆石混凝土技术研讨会即将召开.pdf,水利发展研究 2010·5,cloud_candidate,,authors;venue,3,1,title/chunk/citation/image/retrieval manual check
1420,第三届堆石混凝土技术研讨会在广东中山隆重召开 (1).pdf,水利发展研究 2010·10,cloud_candidate,,authors;venue,3,0,title/chunk/citation/image/retrieval manual check
1424,第四届堆石混凝土技术研讨会在成都召开 (1).pdf,2011.20,cloud_candidate,,authors;venue,2,0,title/chunk/citation/image/retrieval manual check
1435,胶结颗粒料坝——环境友好的新坝型.pdf,Engineering 2 (2016) 490–497,cloud_candidate,,authors;venue,70,18,title/chunk/citation/image/retrieval manual check
1443,自密实堆石混凝土重力坝地基处理的关键技术及实践探讨.pdf,2025.05 |,cloud_candidate,,authors;venue,9,0,title/chunk/citation/image/retrieval manual check
1445,自密实堆石混凝土重力坝施工技术与应用研究.pdf,2023.7,cloud_candidate,,authors;venue,7,0,title/chunk/citation/image/retrieval manual check
1455,自密实混凝土在文登堆石坝的施工应用.pdf,2021. No. 2 四,cloud_candidate,,authors;venue,10,0,title/chunk/citation/image/retrieval manual check
1458,自密实混凝土在黄沙坑水库大坝中的应用.pdf,稿日期:2015 － 06 － 30,cloud_candidate,,authors;venue,10,0,title/chunk/citation/image/retrieval manual check
1471,钢_聚丙烯纤维增强堆石混凝土坝的综合性能.pdf,"2025 , 54 ( 8 )",cloud_candidate,,authors;venue,17,2,title/chunk/citation/image/retrieval manual check
1474,风光水库堆石混凝土重力坝枢纽布置及结构计算.pdf,稿日期: 2019 － 01 － 18,cloud_candidate,,authors;venue,11,2,title/chunk/citation/image/retrieval manual check
1482,高自密实性能混凝土在九九坑水库堆石混凝土工程中的应用.pdf,稿日期:2017 － 01 － 06,cloud_candidate,,authors;venue,10,1,title/chunk/citation/image/retrieval manual check
1483,高自密实混凝土质量控制——以重庆綦江黄沙水库大坝为例.pdf,2022.4,cloud_candidate,,authors;venue,10,1,title/chunk/citation/image/retrieval manual check
1186,2015年度水利先进实用技术重点推广指导目录(九).pdf,ğሰყऊุა,review_required,,authors;venue;year,1,0,title/chunk/citation/image/retrieval manual check
1187,Hardfill坝在浙江省大中型水库建设中的应用前景研究.pdf,Hardfill坝在浙江省大中型水库建设中的应用前景研究,review_required,,authors;venue;year,14,0,title/chunk/citation/image/retrieval manual check
1188,HSCC一体化浇筑的堆石混凝土工法应用.pdf,图 1 高自密实性能混凝土一体化浇筑施工工艺流程图,review_required,,authors;venue;year,7,0,title/chunk/citation/image/retrieval manual check
1189,HSCC堆石坝施工期温度监测研究.pdf,HSCC堆石坝施工期温度监测研究,review_required,,authors;venue;year,9,0,title/chunk/citation/image/retrieval manual check
1190,RFC技术在新疆山口电站围堰施工中的应用实践.pdf,2 0 12,review_required,,authors;venue;year,11,0,title/chunk/citation/image/retrieval manual check
1191,《胶结颗粒料筑坝技术导则》亮点解读与思考.pdf,水利水电技术 第,review_required,,authors;venue;year,13,0,title/chunk/citation/image/retrieval manual check
1192,一种基于缆索的堆石混凝土堆石入仓方式及应用.pdf,CHINA WATER RESOURCES,review_required,,authors;venue;year,9,0,title/chunk/citation/image/retrieval manual check
1193,一种模板外撑施工工艺在堆石混凝土工程中的应用.pdf,水电与抽水蓄能,review_required,,authors;venue;year,13,0,title/chunk/citation/image/retrieval manual check
1194,万家沟水库坝体自身防渗堆石混凝土重力坝渗流监测与分析.pdf,万家沟水库坝体自身防渗堆石混凝土重力坝渗流监测与分析,review_required,,authors;venue;year,21,0,title/chunk/citation/image/retrieval manual check
1195,万家沟水库堆石混凝土重力坝设计.pdf,万家沟水库堆石混凝土重力坝设计,review_required,,authors;venue;year,13,0,title/chunk/citation/image/retrieval manual check
