case_id,category,status,baseline_strategy,graph_strategy,expected_graph_intent,expected_relation_focus,baseline_top_source_id,graph_top_source_id,graph_candidate_chunk_count,graph_expected_win,error
phase53_graph_001,standard_reference_chain,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,standard_defines,,,,true,
phase53_graph_002,standard_reference_chain,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,standard_references,,,,true,
phase53_graph_003,cross_document_material_property,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,material_has_property,,,,true,
phase53_graph_004,cross_document_material_property,dry_run,hybrid_knowledge_search,hybrid_knowledge_search,false,true,,,,false,
phase53_graph_005,parameter_range,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,parameter_range,,,,true,
phase53_graph_006,parameter_range,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,parameter_range,,,,true,
phase53_graph_007,method_applies_to,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,applies_to,,,,true,
phase53_graph_008,method_applies_to,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,applies_to,,,,true,
phase53_graph_009,organization_standard,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,standard_defines,,,,true,
phase53_graph_010,organization_standard,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,standard_references,,,,true,
phase53_graph_011,standard_reference_chain,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,standard_defines,,,,true,
phase53_graph_012,cross_document_material_property,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,material_has_property,,,,true,
phase53_graph_013,parameter_range,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,parameter_range,,,,true,
phase53_graph_014,cross_document_material_property,dry_run,hybrid_knowledge_search,hybrid_knowledge_search,false,true,,,,false,
phase53_graph_015,standard_reference_chain,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,standard_defines,,,,true,
phase53_graph_016,method_applies_to,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,applies_to,,,,true,
phase53_graph_017,parameter_range,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,parameter_range,,,,true,
phase53_graph_018,cross_document_material_property,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,material_has_property,,,,true,
phase53_graph_019,standard_reference_chain,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,standard_references,,,,true,
phase53_graph_020,organization_standard,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,standard_references,,,,true,
phase53_graph_021,ordinary_hybrid_baseline,dry_run,hybrid_knowledge_search,hybrid_knowledge_search,false,material_has_property,,,,false,
phase53_graph_022,ordinary_hybrid_baseline,dry_run,hybrid_knowledge_search,hybrid_knowledge_search,false,material_has_property,,,,false,
phase53_graph_023,ordinary_hybrid_baseline,dry_run,hybrid_knowledge_search,hybrid_knowledge_search,false,material_has_property,,,,false,
phase53_graph_024,ordinary_hybrid_baseline,dry_run,hybrid_knowledge_search,hybrid_knowledge_search,false,material_has_property,,,,false,
phase53_graph_025,ordinary_hybrid_baseline,dry_run,hybrid_knowledge_search,hybrid_knowledge_search,false,material_has_property,,,,false,
phase53_graph_026,graph_negative_offtopic,dry_run,hybrid_knowledge_search,hybrid_knowledge_search,false,none,,,,false,
phase53_graph_027,graph_negative_offtopic,dry_run,hybrid_knowledge_search,hybrid_knowledge_search,false,none,,,,false,
phase53_graph_028,standard_reference_chain,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,standard_references,,,,true,
phase53_graph_029,cross_document_material_property,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,material_has_property,,,,true,
phase53_graph_030,method_applies_to,dry_run,hybrid_knowledge_search,graph_enhanced_search,true,applies_to,,,,true,
