eval_id,category,image_filename,expected_refusal,refused,domain_relevance,description_accuracy,description_hits,text_retrieval_relevance,text_hits,image_to_image_hit,similar_figure_count,related_text_count,refusal_correct,error
user_crack_001,crack,crack_01.jpg,false,false,in_scope,1.0000,裂缝|混凝土,1.0000,裂缝|混凝土,true,5,5,true,
user_crack_002,crack,crack_02.jpg,false,false,in_scope,1.0000,裂缝|表面,1.0000,裂缝|混凝土,true,5,5,true,
user_crack_003,crack,crack_03.jpg,false,false,in_scope,1.0000,裂缝|样本,1.0000,裂缝|混凝土,true,5,5,true,
user_crack_004,crack,crack_04.jpg,false,false,in_scope,1.0000,裂缝|处理,1.0000,裂缝|混凝土,true,5,5,true,
user_crack_005,crack,crack_05.jpg,false,false,in_scope,1.0000,裂缝|混凝土,1.0000,裂缝|混凝土,true,5,5,true,
user_surface_001,aggregate_surface,surface_01.jpg,false,false,in_scope,1.0000,表面,1.0000,混凝土|孔隙,true,5,5,true,
user_surface_002,aggregate_surface,surface_02.jpg,false,false,in_scope,1.0000,混凝土|裂缝,1.0000,混凝土|表面,true,5,5,true,
user_surface_003,aggregate_surface,surface_03.jpg,false,false,in_scope,1.0000,混凝土|图像,1.0000,图像|混凝土|裂缝,true,5,5,true,
user_equipment_001,test_equipment,equipment_01.jpg,false,false,in_scope,1.0000,试验|试件,0.0000,,true,5,5,true,
user_equipment_002,test_equipment,equipment_02.jpg,false,false,in_scope,1.0000,设备|混凝土,1.0000,试验|设备|混凝土,true,5,5,true,
user_equipment_003,test_equipment,equipment_03.jpg,false,false,in_scope,1.0000,试件|抗压,1.0000,破坏|试验,true,5,5,true,
user_site_001,construction_site,site_01.jpg,false,false,in_scope,1.0000,裂缝|识别|混凝土,1.0000,施工|裂缝|混凝土,true,5,5,true,
user_site_002,construction_site,site_02.jpg,false,false,in_scope,1.0000,裂缝|表格,1.0000,裂缝|混凝土,true,5,5,true,
user_site_003,construction_site,site_03.jpg,false,false,in_scope,1.0000,裂缝|混凝土,1.0000,裂缝|concrete|混凝土,true,5,5,true,
user_chart_001,chart,chart_01.jpg,false,false,in_scope,1.0000,表格|裂缝,1.0000,表格,true,5,5,true,
user_chart_002,chart,chart_02.jpg,false,false,in_scope,1.0000,坍落|混凝土|图,1.0000,slump|坍落|concrete|混凝土,false,5,5,true,
user_chart_003,chart,chart_03.jpg,false,false,in_scope,1.0000,试验|试件,1.0000,compressive strength|抗压强度|test|试验|strength|强度,true,5,5,true,
user_negative_001,negative,negative_01.jpg,true,false,in_scope,0.0000,,1.0000,混凝土|裂缝,true,5,5,false,
user_negative_002,negative,negative_02.jpg,true,false,in_scope,0.0000,,1.0000,混凝土|裂缝,true,5,5,false,
user_negative_003,negative,negative_03.jpg,true,true,out_of_scope,1.0000,手机,0.0000,,true,0,0,true,
