query_id,question,edge_category,category,expected_has_image,expected_image_keywords,expected_caption_keywords,expected_doc_keywords,expected_source_image_path,expected_page_number,notes
edge_cross_page_001,请找出水库枢纽平面布置相关的堆石混凝土工程图,cross_page_image,must_have_image,true,坝体|溢洪道|平面布置,水库枢纽平面布置,C 15 自密实堆石混凝土作为筑坝材料,data/images/1324/page2_img1.png,2,real_db_chunk=33651; edge=cross_page_caption_context
edge_cross_page_002,请返回新龙堡水库建坝河段示意图,cross_page_image,must_have_image,true,河段|水库|示意图,建坝河段示意图,新龙堡水库,data/images/1375/page2_img1.png,2,real_db_chunk=33654; edge=cross_page_caption_context
edge_cross_page_003,请找坝址选择示意图而不是普通地形照片,cross_page_image,must_have_image,true,坝址|地形图|等高线,坝址选择示意图,新龙堡水库,data/images/1375/page2_img2.png,2,real_db_chunk=33655; edge=cross_page_caption_context
edge_cross_page_004,请返回水下自密实堆石混凝土浇筑流程图,cross_page_image,must_have_image,true,流程|浇筑|水下,水下自密实堆石混凝土浇筑流程,自密实堆石混凝土的施工性,data/images/1383/page3_img1.png,3,real_db_chunk=33657; edge=cross_page_caption_context
edge_cross_page_005,请找单轴压缩试验设备的图片,cross_page_image,must_have_image,true,压缩试验|试件|压力,单轴压缩试验图,堆石混凝土坝,data/images/1471/page2_img1.png,2,real_db_chunk=33671; edge=cross_page_caption_context
edge_table_chart_001,请找不同HPMC掺量下拌合物状态的图,table_embedded_chart,must_have_image,true,HPMC|拌合物|状态,不同HPMC掺量下混凝土拌合物的状态,自密实堆石混凝土的施工性,data/images/1383/page4_img2.png,4,real_db_chunk=33659; edge=table_or_chart_like_visual
edge_table_chart_002,请返回水泥流失量影响因素的曲线图,table_embedded_chart,must_have_image,true,HPMC|水泥流失量|胶凝材料,不同因素对混凝土拌合物水泥流失量的影响,自密实堆石混凝土的施工性,data/images/1383/page4_img4.png,4,real_db_chunk=33661; edge=table_or_chart_like_visual
edge_table_chart_003,请找坍落扩展度影响因素图,table_embedded_chart,must_have_image,true,坍落扩展度|HPMC|胶粉,不同因素对混凝土拌合物坍落扩展度的影响,自密实堆石混凝土的施工性,data/images/1383/page4_img5.png,4,real_db_chunk=33679; edge=table_or_chart_like_visual
edge_table_chart_004,请返回T500扩展时间折线图,table_embedded_chart,must_have_image,true,T500|扩展时间|HPMC,不同因素对混凝土拌合物T500扩展时间的影响,自密实堆石混凝土的施工性,data/images/1383/page5_img1.png,5,real_db_chunk=33680; edge=table_or_chart_like_visual
edge_table_chart_005,请找材料试验结果附近的胶结人工砂石图,table_embedded_chart,must_have_image,true,CSGR|Enriched|剖面,胶结人工砂石和碾压混凝土的材料试验结果,胶结颗粒料坝,data/images/1435/page13_img1.png,13,real_db_chunk=33696; edge=table_or_chart_like_visual
edge_multi_compete_001,请在同一页多张图中找Qf和Qs通量统计图,multi_image_competition,must_have_image,true,Qf|Qs|fluxes,statistics results of fluxes,Lattice Boltzmann,data/images/12/page10_img1.png,10,real_db_chunk=33715; edge=multiple_images_same_page
edge_multi_compete_002,请在同页图中找passing factor PF with different Gn,multi_image_competition,must_have_image,true,passing factor|PF|Gn,passing factor PF with different Gn,Lattice Boltzmann,data/images/12/page10_img2.png,10,real_db_chunk=33716; edge=multiple_images_same_page
edge_multi_compete_003,请找Ar横轴的透过系数曲线而不是Qf通量图,multi_image_competition,must_have_image,true,Ar|透过系数|Gn,passing factor PF with different Gn,Lattice Boltzmann,data/images/12/page10_img4.png,10,real_db_chunk=33718; edge=multiple_images_same_page
edge_multi_compete_004,请找不同φs条件下PF曲线图,multi_image_competition,must_have_image,true,PF|φs|Ar,passing factor PF with different φs,Lattice Boltzmann,data/images/12/page11_img1.png,11,real_db_chunk=33719; edge=multiple_images_same_page
edge_multi_compete_005,请找PF、PFf、PFs三条曲线的图,multi_image_competition,must_have_image,true,PFf|PFs|Gn,passing factor PF PFf PFs,Lattice Boltzmann,data/images/12/page11_img2.png,11,real_db_chunk=33720; edge=multiple_images_same_page
edge_fuzzy_001,帮我找那个堆石混凝土往石头缝里浇的现场照片,fuzzy_colloquial,must_have_image,true,浇筑|石块|施工现场,堆石混凝土浇筑过程,广西第一个在大坝建设施工中应用堆石混凝土,data/images/1408/page4_img3.png,4,real_db_chunk=33665; edge=fuzzy_colloquial_query
edge_fuzzy_002,我想看堆石入仓那个施工场面,fuzzy_colloquial,must_have_image,true,堆石|入仓|施工,堆石入仓,广西第一个在大坝建设施工中应用堆石混凝土,data/images/1408/page4_img1.png,4,real_db_chunk=33663; edge=fuzzy_colloquial_query
edge_fuzzy_003,找一下混凝土仓面起泡异常的那张图,fuzzy_colloquial,must_have_image,true,异常|泡沫|仓面,混凝土浇筑仓面出现异常,九九坑水库堆石混凝土工程,data/images/1482/page3_img1.png,3,real_db_chunk=33674; edge=fuzzy_colloquial_query
