query_id,query,baseline_hit,upgraded_hit,source_match,rank_before,rank_after,review_decision,retrieval_risk,evidence,acceptance_reason,tuning_suggestion,default_chain_recommendation,notes
construction_quality,施工质量 堆石混凝土,yes,yes,yes,1,1,acceptable,low,"channels=bm25+vector; bm25_rank=2; vector_rank=3; 同一施工质量文献稳定 top-1","升级后命中文献与 baseline 一致且仍居 top-1，质量控制主题召回稳定",none,candidate_ok,"中文施工质量查询；升级无回归无增益"
filling_capacity_cn,填充能力 自密实混凝土 堆石体,yes,yes,no,1,1,acceptable,low,"upgraded top1=自密实混凝土充填堆石体试验研究；baseline top1=英文 filling capacity 文献；二者均为填充能力主题","中文 query 下中文母语填充能力文献上浮，属合理换位，仍 top-1 命中","stage18 用更难评测确认中英文等价文献的优先级是否需要稳定化",candidate_ok,"source_match=no 但为等价主题文献换位，非退化"
filling_capacity_en,filling capacity rock-filled concrete,yes,yes,yes,1,1,acceptable,low,"channels=bm25+vector; bm25_rank=1; vector_rank=5; 英文填充能力主文献稳定 top-1","升级与 baseline 命中同一英文主文献，top-1 稳定",none,candidate_ok,"英文填充能力查询；融合稳定"
thermal_control,水化热 温升 堆石混凝土,yes,yes,yes,1,1,acceptable,low,"channels=bm25+vector; bm25_rank=2; vector_rank=1; 绝热温升文献稳定 top-1","温控主题中英文资料召回稳定，命中文献与 baseline 一致",none,candidate_ok,"中文温控词命中中英文温度场资料"
elastic_modulus,弹性模量 rock-filled concrete,yes,yes,yes,1,1,acceptable,low,"bm25_rank=14; vector_rank=7; RRF 融合后弹性模量综述上浮至 top-1","单通道排名都不靠前，RRF 排名融合反而把正确文献抬到 top-1，体现融合价值",none,candidate_ok,"中英混合查询；融合正向案例"
seismic_behavior,抗震 seismic behavior rock-filled concrete dam,yes,yes,yes,1,1,acceptable,low,"channels=bm25+vector; bm25_rank=5; vector_rank=2; 抗震主文献稳定 top-1","抗震/地震/seismic 同义召回稳定，命中文献与 baseline 一致",none,candidate_ok,"抗震同义词查询"
review_overview,堆石混凝土 综述 next generation,yes,yes,yes,1,1,acceptable,low,"channels=bm25+vector; bm25_rank=1; vector_rank=2; 综述主文献稳定 top-1","综述类查询本身偏好综述文档，命中稳定",none,candidate_ok,"综述类资料召回"
mesoscopic_modeling,细观 数值 模拟 堆石混凝土,yes,yes,no,2,7,needs_tuning,medium,"upgraded hit 文献从 baseline rank2 降到 rank7；vector_rank=29；upgraded 前排被 堆石混凝土及堆石混凝土大坝 等综述类文档占据","虽仍在 top-k 命中，但细观/数值模拟专题文献排序明显退化，属 hit 指标掩盖的软退化","中文多词宽查询下 RRF 易让泛主题综述文档压过专题文档；建议引入 topic-anchor rerank 或对综述类文档降权，并在 stage18 难评测集上验证后再考虑默认接入",keep_default_hybrid,"本样例是阻断默认替换 HybridSearchService 的主要证据"
cold_joint_shear,层间 冷缝 shear rock-filled concrete,yes,yes,no,1,1,acceptable,low,"upgraded top1=Effect of rock shear keys on shear performance of cold joints；baseline top1=Experimental studies on shear properties of cold joints；二者均为冷缝剪切主题","不同但等价的冷缝剪切文献换位，仍 top-1 命中","stage18 可确认两篇冷缝文献的优先级是否需固定",candidate_ok,"source_match=no 但为等价主题换位"
peridynamics,peridynamics rock-filled concrete,yes,yes,yes,2,2,acceptable,low,"channels=bm25+vector; bm25_rank=1; vector_rank=2; Peridynamics 专有方法文献稳定 top-2","英文专有方法查询命中稳定，与 baseline 同名次",none,candidate_ok,"英文专有方法 Peridynamics"
construction_management,CIM4R construction information management,yes,yes,yes,1,2,acceptable,low,"CIM4R 题录从 baseline rank1 轻微降到 rank2；被 next-generation 综述文档插入前排","同一文献仍 top-2，排序仅轻微变化，可接受","与 mesoscopic 类似的综述上浮倾向，stage18 一并观察是否需要专题文档加权",candidate_ok,"轻微排序变化，非退化"
compactness_detection,密实度 检测 堆石混凝土,yes,yes,no,1,1,acceptable,low,"upgraded top1=堆（卵）石混凝土密实度检测方法的研究(中文)；baseline top1=On-site experiment methods on the compaction detection(英文)","中文 query 下中文密实度检测方法文献上浮，更贴查询语言，仍 top-1","stage18 评估中文 query 是否应稳定偏好中文母语文献",candidate_ok,"source_match=no 但中文文献换位更贴题"
dam_type_design,堆石混凝土 大坝 坝型,yes,yes,yes,1,1,acceptable,low,"channels=bm25+vector; bm25_rank=2; vector_rank=4; 坝型设计文献稳定 top-1","坝型与设计章节召回稳定，命中文献与 baseline 一致",none,candidate_ok,"坝型设计查询"
recycled_aggregate,recycled aggregate self-compacting rock-filled concrete,yes,yes,no,1,1,acceptable,low,"upgraded top1=The Comparison of SCRFC with Large-Size Natural and Recycled Aggregate；baseline top1=The Experimental Study of Influence of Recycled Aggregates；二者均为再生骨料 SCRFC 主题","不同但等价的再生骨料文献换位，仍 top-1 命中","stage18 可确认再生骨料系列文献排序是否需固定",candidate_ok,"source_match=no 但为等价主题换位"
quality_control_en,quality control instrumentation RFC dam,yes,yes,yes,1,1,acceptable,low,"channels=bm25+vector; bm25_rank=1; vector_rank=1; 质量控制文献双通道均 top-1","双通道一致命中同一文献，融合后稳定 top-1",none,candidate_ok,"英文质量控制查询；强一致案例"
