config,query_id,difficulty_type,language_type,expected_refused,hit,rank,refused,refusal_matched,best_score,hit_title,top_titles,notes
keyword,cp_filling_yield_stress,cross_passage,zh,no,yes,1,,,35.9500,Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete,Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Experimental study of Self-Compacting Concrete filled prepacked rock || Behavior of Self-compacting Rock-fill Concrete Beam under Normal Section Stressing,跨段：填充能力受流变参数影响
keyword,cp_lbm_dem_flow,cross_passage,en,no,yes,1,,,80.2500,Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete,"Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China",跨段：数值模拟流动过程
keyword,cp_specimen_size_strength,cross_passage,en,no,yes,1,,,115.5500,Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete,"Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete || Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete || Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete (RFC) || Experimental Study on Effects of Casting Procedures on Compressive Strength, Water Permeability, and Interfacial Transition Zone Porosity of Rock-Filled Concrete || Effect of basalt fiber content on the dynamic tensile properties of rock-filled concrete: Insights from split-hopkinson tensile bar and split-hopkinson pressure bar Brazilian testing",跨段：尺寸效应与抗压强度
keyword,cp_temperature_construction,cross_passage,en,no,yes,1,,,97.7000,The Influence of Construction Parameters on the Temperature Field of Rock-Filled Concrete,The Influence of Construction Parameters on the Temperature Field of Rock-Filled Concrete || The Influence of Construction Parameters on the Temperature Field of Rock-Filled Concrete || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental Impact of Rock-Filled and Conventional Concrete || Study on the Thermal Variation of Early-Age Rock-Filled Concrete - Part Ii Mesoscopic Thermal Field Reconstruction and Parametrical Studies || The Research and Application of Dam Construction Technology of Rock-Filled Concrete,跨段：施工参数与温控
keyword,cp_itz_uniaxial,cross_passage,en,no,yes,1,,,79.6000,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete || Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete || Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete (RFC),跨段：ITZ 与抗压行为
keyword,cp_artificial_rockfill,cross_passage,en,no,yes,1,,,78.3500,Application of Iron Ore Tailings and Phosphogypsum to Create Artificial Rockfills Used in Rock-Filled Concrete,"Application of Iron Ore Tailings and Phosphogypsum to Create Artificial Rockfills Used in Rock-Filled Concrete || Application of Iron Ore Tailings and Phosphogypsum to Create Artificial Rockfills Used in Rock-Filled Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Effect of basalt fiber content on the dynamic tensile properties of rock-filled concrete: Insights from split-hopkinson tensile bar and split-hopkinson pressure bar Brazilian testing || Experimental investigation into mode-I interfacial fracture behavior between rock and self-compacting concrete in rock-filled concrete",跨段：人工堆石材料
keyword,cp_adiabatic_temp,cross_passage,en,no,yes,1,,,65.5250,A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete,A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete || The Influence of Construction Parameters on the Temperature Field of Rock-Filled Concrete || The Influence of Construction Parameters on the Temperature Field of Rock-Filled Concrete || 堆石混凝土绝热温升性能初步研究 || Preliminary study on temperature rise property of thermal insulation of rock-fill concrete,跨段：水化热温升
keyword,cp_seismic_compare,cross_passage,en,no,yes,1,,,74.4750,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental Impact of Rock-Filled and Conventional Concrete || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,跨段：抗震对比
keyword,cf_elastic_vs_compressive,confusable,en,no,yes,1,,,33.6000,A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios,易混淆：弹性模量 vs 抗压强度
keyword,cf_filling_vs_compaction,confusable,en,no,yes,1,,,75.8000,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,"Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China",易混淆：填充能力 vs 密实度
keyword,cf_vibrated_vs_scc,confusable,en,no,yes,1,,,28.4500,Pilot Study on Vibrated Rock-filled Concrete,Pilot Study on Vibrated Rock-filled Concrete || Pilot Study on Vibrated Rock-filled Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || A Pilot Study on Integrated Properties of Rock-Filled Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,易混淆：振捣 vs 自密实
keyword,cf_peridynamics_vs_lbm,confusable,en,no,yes,1,,,40.8500,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental Impact of Rock-Filled and Conventional Concrete || Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete (RFC) || Measurement and Evaluation of the Thermal Expansion Coefficient of Rock-Filled Concrete || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,易混淆：peridynamics vs LBM-DEM
keyword,cf_mesoscale_modulus,confusable,en,no,yes,1,,,80.2000,A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,"A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || Investigation of the splitting tensile behavior of rock-filled concrete based on mesoscopic modeling: Considering the effects of rock strength, bearing strip width, and rockfill ratio || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Effect of basalt fiber content on the dynamic tensile properties of rock-filled concrete: Insights from split-hopkinson tensile bar and split-hopkinson pressure bar Brazilian testing",易混淆：mesoscale 弹模 vs 3D 细观抗压
keyword,cf_rfc_review_overview,confusable,en,no,yes,1,,,70.7250,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || The Research and Application of Dam Construction Technology of Rock-Filled Concrete || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental Impact of Rock-Filled and Conventional Concrete || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,易混淆：综述 vs 单篇实验
