run_at,query_id,category,judge_provider,judge_model,execute_requested,status,faithfulness,answer_coverage,citation_support,refusal_correctness,conciseness,safety_leak_check,risk_level,short_reason,next_action,error
2026-06-14T09:58:06.837141+00:00,stage29_wiki_rcc_dam,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,0.200,0.000,0.000,1.000,0.900,1.000,medium,"Answer claims information not found, but then adds unsupported claims about RCC properties not in sources.",flag,
2026-06-14T09:58:06.837141+00:00,stage29_wiki_arch_dam,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,1.000,1.000,1.000,1.000,1.000,medium,"Answer accurately reflects source evidence, covers all expected points, is properly cited, not refused, concise, and no safety leaks.",STOP,
2026-06-14T09:58:06.837141+00:00,stage29_wiki_hydraulic_engineering,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,0.000,0.000,0.000,1.000,1.000,0.000,medium,Model correctly refused due to missing evidence and off-topic retrieval; no citations or coverage possible.,pass,
2026-06-14T09:58:06.837141+00:00,stage29_wiki_concrete_cover,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,0.000,1.000,0.200,1.000,1.000,1.000,medium,Answer hallucinates a direct quote not present in the cited source. Key claims about purpose are unsupported by provided snippets.,reject,
2026-06-14T09:58:06.837141+00:00,stage29_wiki_dam_applications,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,0.900,1.000,1.000,1.000,1.000,low,"Answer is faithful, covers key points with minor omission of explicit compaction, well-cited.",none,
2026-06-14T09:58:06.837141+00:00,stage29_standard_eap,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,0.200,0.700,1.000,0.900,1.000,medium,"The answer accurately notes that the context lacks an explicit purpose statement, but fails to infer the purpose from the document title and exercises, resulting in low answer coverage.",retrieve_more_context,
2026-06-14T09:58:06.837141+00:00,stage29_standard_earthquake,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,1.000,1.000,1.000,1.000,1.000,medium,"Answer accurately summarizes guidelines, covers all expected points, well-cited, not refused, concise, no safety issues.",none,
2026-06-14T09:58:06.837141+00:00,stage29_standard_living_with_dams,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,0.600,0.800,1.000,1.000,1.000,medium,Answer covers ownership and regulation accurately but omits expected points on maintenance/upgrades and has a citation mismatch (source 3 for regulation). Otherwise faithful and safe.,none,
2026-06-14T09:58:06.837141+00:00,stage29_standard_pocket_guide,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,0.000,0.000,0.000,1.000,1.000,medium,"The answer refused to provide information, which is incorrect because the question expected an answer. No expected answer points were covered, and the refusal is unsupported by citations.",retry,
2026-06-14T09:58:06.837141+00:00,stage29_standard_inundation_mapping,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,0.500,0.750,0.500,1.000,0.900,1.000,medium,"The answer covers main points but the claim about 3D visualization is not supported by the cited source snippet, and emergency planning point is missing.",verify_citations_and_add_missing_point,
