run_at,query_id,judge_provider,judge_model,manual_run,execute_requested,faithfulness_score,answer_relevancy_score,groundedness_score,judge_reason,error_summary
2026-06-13T04:57:43.072725+00:00,stage29_wiki_rcc_dam,deepseek,deepseek-chat,true,true,0.700,0.600,0.500,"The retrieved evidence covers key aspects like roller-compacted concrete and placement methods (dump trucks, vibratory rollers) but misses the 'dry mix' characteristic. The top source is an open-access PDF about rock-filled concrete, not a Wikipedia article on RCC, reducing relevancy. Groundedness is moderate as some points are supported but the source mismatch and missing point lower confidence.",
2026-06-13T04:57:43.072725+00:00,stage29_wiki_arch_dam,deepseek,deepseek-chat,true,true,0.500,0.800,0.500,"Faithfulness: Only 2 of 4 key points are covered (拱形结构, 两岸基岩), missing 水压传递 and 节省材料. Answer relevancy: The question asks why arch dams are suitable for stable rock canyons; the covered points partially address this (arch structure and abutment rock), but missing points are also relevant. Groundedness: The top1 source is Wikipedia, matching expected type, but the document title '拱坝的分类' may not directly answer the 'why' question; precision at 5 is true, but coverage ratio is only 0.5.",
2026-06-13T04:57:43.072725+00:00,stage29_wiki_hydraulic_engineering,deepseek,deepseek-chat,true,true,0.800,0.900,0.800,"The top1 source type matches expected (wikipedia), and precision@5 is true. The covered points (水坝, 河道, 流体力学, 重力) are relevant to hydraulic engineering, but missing '流体流动' indicates a minor gap. Rule-based coverage ratio is 0.8, but not treated as semantic faithfulness. Overall, the evidence is mostly faithful and relevant, with slight incompleteness.",
2026-06-13T04:57:43.072725+00:00,stage29_wiki_concrete_cover,deepseek,deepseek-chat,true,true,0.800,1.000,0.750,"The retrieved evidence covers key points like reinforcement bars, corrosion, and cover, but misses 'protection' which is a core purpose. The source type matches expected (wikipedia), and precision at 5 is true. Faithfulness is high but not perfect due to missing point; relevancy is perfect as the evidence directly addresses the question; groundedness is moderate as coverage ratio is 0.75.",
2026-06-13T04:57:43.072725+00:00,stage29_wiki_dam_applications,deepseek,deepseek-chat,true,true,0.000,0.000,0.000,"The retrieved evidence is from a web page titled 'Introduction' rather than the expected Wikipedia source. The query asks about RCC dam construction development and its resemblance to a construction method, but the covered points only include 'dam construction', missing key details like 'Alpe Gera Dam', 'road paving', and 'compaction'. The rule-based coverage ratio is low (0.250), and precision at 5 is false, indicating poor retrieval quality. The evidence does not support answering the quest...",
2026-06-13T04:57:43.072725+00:00,stage29_standard_eap,deepseek,deepseek-chat,true,true,1.000,1.000,1.000,"The retrieved evidence is from the correct source type and document title, with perfect precision and coverage. All expected points are covered, no missing points, and the rule-based coverage ratio is 1.0, indicating strong alignment with the query.",
2026-06-13T04:57:43.072725+00:00,stage29_standard_earthquake,deepseek,deepseek-chat,true,true,0.800,1.000,0.750,"The top1 source type matches expected (standard_document), and the top titles are relevant to the query about FEMA earthquake analysis guidelines for dam safety. The covered points include key aspects like earthquake analyses and dam safety, but missing 'management practices' slightly reduces faithfulness. Precision at 5 is true, indicating good retrieval. Groundedness is high as the evidence directly supports the query topic.",
2026-06-13T04:57:43.072725+00:00,stage29_standard_living_with_dams,deepseek,deepseek-chat,true,true,0.670,1.000,0.670,"The retrieved evidence covers state dam safety programs, maintenance, and upgrades, but misses the key point of private ownership, which is central to the question. The answer is relevant to the query, but the evidence is not fully faithful or grounded because it omits the critical fact that most dams are privately owned.",
2026-06-13T04:57:43.072725+00:00,stage29_standard_pocket_guide,deepseek,deepseek-chat,true,true,0.900,1.000,0.900,"The retrieved evidence is highly relevant and faithful to the query. The top1 source type matches the expected type, and the document title directly corresponds to the query. The covered points include key aspects like 'pocket safety guide', 'dams and impoundments', and 'guidance', which align with the question. The missing point 'cooperating agencies' is a minor detail not central to the main intent. The rule_based_coverage_ratio is high (0.75), but semantic faithfulness is strong. Scores re...",
2026-06-13T04:57:43.072725+00:00,stage29_standard_inundation_mapping,deepseek,deepseek-chat,true,true,0.800,1.000,0.750,"The retrieved evidence covers key points like inundation mapping, flood risks, and dam safety, but misses 'emergency planning'. The rule-based coverage ratio is 0.75, indicating partial coverage. Faithfulness is high as the evidence aligns with the question, but missing a point reduces it slightly. Answer relevancy is perfect because the top source type matches expected and precision at 5 is true. Groundedness reflects the coverage ratio.",
