run_at,query_id,category,judge_provider,judge_model,execute_requested,status,faithfulness,answer_coverage,citation_support,refusal_correctness,conciseness,safety_leak_check,risk_level,short_reason,next_action,error
2026-06-14T10:41:21.757866+00:00,stage29_wiki_rcc_dam,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,0.000,1.000,1.000,0.900,1.000,medium,"Faithful negative claim, no expected points covered, citations support absence, not a refusal, fairly concise, no safety issues.","Enhance knowledge base with RCC definition and dam placement methods, or retrieve more relevant sources.",
2026-06-14T10:41:21.757866+00:00,stage29_wiki_arch_dam,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,1.000,1.000,1.000,0.900,1.000,medium,"Answer is accurate, covers all points, well cited, concise, and safe.",none,
2026-06-14T10:41:21.757866+00:00,stage29_wiki_hydraulic_engineering,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,0.000,1.000,0.000,1.000,1.000,medium,"Answer refused due to no sources, faithful to empty context but incorrect refusal.",retry_with_better_retrieval,
2026-06-14T10:41:21.757866+00:00,stage29_wiki_concrete_cover,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,0.800,1.000,1.000,1.000,1.000,1.000,medium,"Answer covers all required points but some claims about fire and barrier are not fully supported by the provided snippets, slightly reducing faithfulness.",accept,
2026-06-14T10:41:21.757866+00:00,stage29_wiki_dam_applications,wikipedia,openai-compatible,DeepSeek-V4-Pro,true,completed,0.950,0.800,0.900,1.000,0.850,0.000,medium,"Answer is faithful to source, covers most expected points, and correctly not refused. Minor coverage gap on further evolution.",none,
2026-06-14T10:41:21.757866+00:00,stage29_standard_eap,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,0.900,0.950,0.800,1.000,0.900,0.000,medium,"Answer covers expected points, mostly faithful to sources, but one citation may not perfectly align with source evidence.",done,
2026-06-14T10:41:21.757866+00:00,stage29_standard_earthquake,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,0.900,0.800,0.850,1.000,0.900,0.000,medium,"Answer covers key points from FEMA P-65, cites sources, and does not refuse.",none,
2026-06-14T10:41:21.757866+00:00,stage29_standard_living_with_dams,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,0.900,0.500,0.700,1.000,1.000,0.000,low,"The answer correctly identifies state regulation and private ownership but misses maintenance/upgrades. The federal regulation percentage citation is not directly supported by the snippet provided. Otherwise, concise and faithful.",none,
2026-06-14T10:41:21.757866+00:00,stage29_standard_pocket_guide,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,1.000,0.000,1.000,0.000,1.000,1.000,low,"The answer faithfully reflects the lack of context but refuses to answer despite expected_refused being false, resulting in zero coverage.",re-prompt,
2026-06-14T10:41:21.757866+00:00,stage29_standard_inundation_mapping,standard,openai-compatible,DeepSeek-V4-Pro,true,completed,0.400,0.750,0.500,1.000,0.800,1.000,medium,Unsupported claim about flood depth/2D maps in source S2 reduces faithfulness and citation support; misses explicit mention of 'emergency planning'.,review,
