document_id,title,url,domain,source_category,chunk_count,char_count,relevance_score,relevance_bucket,matched_terms,source_id,suggested_decision,suggested_reason,review_decision,review_notes
466,Filling the gaps in large concrete dams,https://www.tsinghua.edu.cn/en/info/1418/10419.htm,www.tsinghua.edu.cn,高校机构,12,7041,10,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;concrete,crawl_a67ca89d8ffb,keep_candidate,strong RFC/concrete term match,,
467,JIN Feng-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/info/1159/1950.htm,www.civil.tsinghua.edu.cn,高校机构,52,36759,14,strong,rock-filled concrete;rockfill concrete;rfc;self-compacting concrete;scc;dam;hydraulic;concrete,crawl_62dba71b9ee7,keep_candidate,strong RFC/concrete term match,,
563,Cheap Mix Design of the Rock-Filled Concrete Materials | Scientific.Net,https://doi.org/10.4028/www.scientific.net/amm.470.802,doi.org,filling_capacity;dam_engineering;????,2,1349,10,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;concrete,openalex_cd9440839782,keep_candidate,strong RFC/concrete term match,,
565,Study on Strength Mechanism of Self-Compacting Rock-Fill Concrete with Big Aggregates | Scientific.Net,https://doi.org/10.4028/www.scientific.net/amr.753-755.558,doi.org,mechanical_properties;????,2,1226,4,strong,rock-fill concrete;concrete,openalex_99fb932846df,keep_candidate,strong RFC/concrete term match,,
566,The Research and Application of Dam Construction Technology of Rock-Filled Concrete | Scientific.Net,https://doi.org/10.4028/www.scientific.net/amm.438-439.1347,doi.org,dam_engineering;????,2,974,6,strong,rock-filled concrete;dam;hydraulic;concrete,openalex_d9d8c6f3c9f3,keep_candidate,strong RFC/concrete term match,,
567,Research on Rock-Filled Concrete Dam - International Journal of Civil Engineering,https://doi.org/10.1007/s40999-018-0313-0,doi.org,dam_engineering;review;construction_quality;????,18,12316,10,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;concrete,openalex_41ca1178b5fe,keep_candidate,strong RFC/concrete term match,,
568,Study on Rock Filled Self Compacting Concrete,https://zenodo.org/record/2416888,zenodo.org,filling_capacity;mechanical_properties;dam_engineering;????,6,4311,13,strong,rock-filled concrete;rock-fill concrete;rfc;self-compacting concrete;scc;dam;concrete,openalex_f71e2ed8a02c,keep_candidate,strong RFC/concrete term match,,
569,Construction,https://doi.org/10.1007/978-981-16-8298-8_7,doi.org,dam_engineering;????,56,37405,13,strong,rock-filled concrete;rockfill concrete;rfc;self-compacting concrete;scc;dam;concrete,crossref_5bc6d13e8917,keep_candidate,strong RFC/concrete term match,,
570,Design of RFC Arch Dam,https://doi.org/10.1007/978-981-16-8298-8_6,doi.org,dam_engineering;????,49,32653,10,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;concrete,crossref_b953ae1332ae,keep_candidate,strong RFC/concrete term match,,
571,Filling Process of HSCC and Compactness of RFC,https://doi.org/10.1007/978-981-16-8298-8_3,doi.org,uncategorized;????,92,61075,9,strong,rock-filled concrete;rfc;self-compacting concrete;scc;concrete,crossref_2749bfed08cc,keep_candidate,strong RFC/concrete term match,,
572,Introduction,https://doi.org/10.1007/978-981-16-8298-8_1,doi.org,dam_engineering;uncategorized;????;encyclopedia,35,23308,11,strong,rock-filled concrete;rfc;self-compacting concrete;scc;dam;hydraulic;concrete,crossref_0654b779ec97,keep_candidate,strong RFC/concrete term match,,
573,Mechanical and Physical Properties,https://doi.org/10.1007/978-981-16-8298-8_4,doi.org,dam_engineering;uncategorized;????,99,66159,7,strong,rock-filled concrete;rfc;scc;dam;concrete,crossref_71063ef1c0f2,keep_candidate,strong RFC/concrete term match,,
574,Other Rock-Filled Concrete Related Technologies,https://doi.org/10.1007/978-981-16-8298-8_9,doi.org,dam_engineering;????,63,40498,7,strong,rock-filled concrete;rfc;scc;dam;concrete,crossref_c784f21cf303,keep_candidate,strong RFC/concrete term match,,
575,Rock-Filled Concrete Dam,https://doi.org/10.1007/978-981-16-8298-8,doi.org,dam_engineering;????,10,5808,10,strong,rock-filled concrete;rfc;self-compacting concrete;dam;hydraulic;concrete,crossref_f6da820cc735,keep_candidate,strong RFC/concrete term match,,
