review_id,query_id,config_name,question,expected_answer_points,answer,evidence_titles,evidence_source_ids,faithfulness,answer_coverage,citation_quality,risk_level,review_method,decompose_applied,provenance_summary,skipped_reason,recommendation,notes
stage14_det_001,user_cn_colloquial_compactness,default_hybrid,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,说明密实度或灌满判断需要质量控制和检测依据,Deterministic answer based on source [1]: 现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || On-site experiment methods on the compaction detection of rock-filled concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 自密实混凝土充填堆石体试验研究,1,pass,review,pass,medium,deterministic_rule_review,yes,"sub_queries=rock-filled concrete filling performance || rock-filled concrete compactness compaction detection ; deduplicated_count=15 ; provenance_present=yes ; rerank_explanations=sub_queries=1; topic_terms=rock-filled concrete,filling,堆石混凝土,填充能力,填充; both_match=True; source_type=local_file; raw_score=0.9432; final_score=1.5825 || sub_queries=1; topic_terms=rock-filled concrete,rfc,compactness,compaction,compaction de",,使用真实模型回答或人工摘要复核 Answer Coverage、Faithfulness 和 Citation Quality。,中文口语问法 覆盖施工质量和密实度检测
stage14_det_002,user_mixed_itz_strength,default_hybrid,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,说明 rock/SCC 界面或 ITZ 对强度和破坏的影响,Deterministic answer based on source [1]: RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,"Experimental Study on Effects of Casting Procedures on Compressive Strength, Water Permeability, and Interfacial Transition Zone Porosity of Rock-Filled Concrete || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete (RFC) || Experimental study of the interfacial transition zone (ITZ) of model rock-filled concrete (RFC)",1,pass,review,pass,medium,deterministic_rule_review,no,"sub_queries=RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？ ; deduplicated_count=5 ; provenance_present=yes ; rerank_explanations=sub_queries=1; topic_terms=rfc,itz,strength,compressive,interfacial,interfacial transition zone; both_match=True; source_type=metadata_record; raw_score=1.0685; final_score=1.5200 || sub_queries=1; topic_terms=rfc,scc,itz,strength,compressi",,使用真实模型回答或人工摘要复核 Answer Coverage、Faithfulness 和 Citation Quality。,中英混合术语 覆盖界面过渡区
stage14_det_003,user_en_freeze_thaw,default_hybrid,Are there studies about freeze-thaw resistance of rock-filled concrete?,说明抗冻或 freeze-thaw 与耐久性相关研究,Deterministic answer based on source [1]: Are there studies about freeze-thaw resistance of rock-filled concrete?,The Experimental Study of Influence of Recycled Aggregates on Mechanical Property of Self-compacting Rock-filled Concrete || Experimental studies on shear properties of cold joints of rock-filled concrete || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Experimental Research on Freeze-thaw Resistence Property and Impermeability for Rock-filled Concrete,1,pass,review,pass,medium,deterministic_rule_review,no,"sub_queries=Are there studies about freeze-thaw resistance of rock-filled concrete? ; deduplicated_count=5 ; provenance_present=yes ; rerank_explanations=sub_queries=1; topic_terms=are,of,rfc; both_match=True; source_type=metadata_record; raw_score=0.8656; final_score=1.3360 || sub_queries=1; topic_terms=are,of; both_match=True; source_type=metadata_record; raw_score=0.9248; final_score=1.32",,使用真实模型回答或人工摘要复核 Answer Coverage、Faithfulness 和 Citation Quality。,英文耐久性问题
stage14_det_004,user_cn_creep,default_hybrid,堆石混凝土长期变形和徐变有什么研究？,说明长期变形或 creep 行为的研究对象,Deterministic answer based on source [1]: 堆石混凝土长期变形和徐变有什么研究？,Experimental study on the creep behaviour of rock-filled concrete and self-compacting concrete || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Pilot Study on Vibrated Rock-filled Concrete || 堆石混凝土绝热温升性能初步研究,1,pass,review,pass,medium,deterministic_rule_review,no,"sub_queries=堆石混凝土长期变形和徐变有什么研究？ ; deduplicated_count=5 ; provenance_present=yes ; rerank_explanations=sub_queries=1; topic_terms=rock-filled concrete,creep,creep behaviour; both_match=True; source_type=metadata_record; raw_score=0.9603; final_score=1.5200 || sub_queries=1; topic_terms=rock-filled concrete,rock-fill concrete,creep,creep beha",,使用真实模型回答或人工摘要复核 Answer Coverage、Faithfulness 和 Citation Quality。,中文口语问法 覆盖徐变
stage14_det_005,user_mixed_cost_emission,default_hybrid,RFC dam construction 的成本工期和碳排放怎么评估？,说明成本 工期 排放或生命周期评价指标,Deterministic answer based on source [1]: RFC dam construction 的成本工期和碳排放怎么评估？,"Integrated evaluation of cost, schedule and emission performance on rock-filled concrete dam construction operation using discrete event simulation || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental Impact of Rock-Filled and Conventional Concrete || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method",1,pass,review,pass,medium,deterministic_rule_review,yes,"sub_queries=RFC dam construction cost evaluation || RFC dam construction schedule evaluation || RFC dam construction emission life-cycle assessment ; deduplicated_count=25 ; provenance_present=yes ; rerank_explanations=sub_queries=3; topic_terms=rfc,construction,emission,cost,schedule,evaluation; both_match=True; source_type=metadata_record; raw_score=0.9853; final_score=1.6200 || sub_queries=2; topic_terms=rfc,construction,emission; both_match=True; sour",,使用真实模型回答或人工摘要复核 Answer Coverage、Faithfulness 和 Citation Quality。,中英混合工程管理问题
stage14_det_006,user_cn_porosity_compression,default_hybrid,孔隙率会怎么影响堆石混凝土抗压表现？,说明孔隙率或初始孔洞对抗压行为的影响,Deterministic answer based on source [1]: 孔隙率会怎么影响堆石混凝土抗压表现？,"Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Experimental Study on Effects of Casting Procedures on Compressive Strength, Water Permeability, and Interfacial Transition Zone Porosity of Rock-Filled Concrete",1,pass,review,pass,medium,deterministic_rule_review,yes,"sub_queries=rock-filled concrete porosity void defects || rock-filled concrete compressive behavior strength ; deduplicated_count=15 ; provenance_present=yes ; rerank_explanations=sub_queries=1; topic_terms=rock-filled concrete,porosity,堆石混凝土,孔隙率,孔隙; both_match=True; source_type=local_file; raw_score=1.0457; final_score=1.6200 || sub_queries=1; topic_terms=rock-filled concrete,rfc,strength,compressive,compressive str",,使用真实模型回答或人工摘要复核 Answer Coverage、Faithfulness 和 Citation Quality。,中文口语问法 覆盖孔隙率
stage14_det_007,user_en_steel_fiber_filling,default_hybrid,Does steel fiber reinforced mortar affect filling performance in RFC?,说明钢纤维或 steel fiber 对填充性能的影响,Deterministic answer based on source [1]: Does steel fiber reinforced mortar affect filling performance in RFC?,Evaluating the Filling Performance of Steel Fiber-Reinforced Self-Compacted Mortar into Rock-Filled Concrete || Effect of basalt fiber content on the dynamic tensile properties of rock-filled concrete: Insights from split-hopkinson tensile bar and split-hopkinson pressure bar Brazilian testing || Analyzing the filling performance parameters of self-compacted mortar in rock filled concrete || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,1,pass,review,pass,medium,deterministic_rule_review,no,"sub_queries=Does steel fiber reinforced mortar affect filling performance in RFC? ; deduplicated_count=5 ; provenance_present=yes ; rerank_explanations=sub_queries=1; topic_terms=steel,fiber,reinforced,mortar,filling,performance,in; both_match=True; source_type=metadata_record; raw_score=1.0777; final_score=1.5200 || sub_queries=1; topic_terms=fiber,reinforced,performance,in; both_match=Tr",,使用真实模型回答或人工摘要复核 Answer Coverage、Faithfulness 和 Citation Quality。,英文材料改性问题
stage14_det_008,user_cn_shear_key,default_hybrid,岩石剪力键会影响冷缝剪切性能吗？,说明岩石剪力键和冷缝剪切性能关系,Deterministic answer based on source [1]: 岩石剪力键会影响冷缝剪切性能吗？,Effect of rock shear keys on the shear performance of cold joints in rock-filled concrete structures: Experimental and numerical investigation || Experimental studies on shear properties of cold joints of rock-filled concrete || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,1,pass,review,pass,medium,deterministic_rule_review,no,"sub_queries=岩石剪力键会影响冷缝剪切性能吗？ ; deduplicated_count=5 ; provenance_present=yes ; rerank_explanations=sub_queries=1; topic_terms=cold joint,cold joints,shear,rock shear keys,shear keys; both_match=True; source_type=metadata_record; raw_score=0.8896; final_score=1.5200 || sub_queries=1; topic_terms=cold joint,shear; both_match=True; source_t",,使用真实模型回答或人工摘要复核 Answer Coverage、Faithfulness 和 Citation Quality。,工程场景问题 覆盖冷缝剪切
stage14_det_009,user_en_seismic_ratio,default_hybrid,How do rock-fill ratios affect seismic analysis of RFC dams?,说明堆石率与抗震或 seismic analysis 的关系,Deterministic answer based on source [1]: How do rock-fill ratios affect seismic analysis of RFC dams?,Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || The Experimental Study of Influence of Recycled Aggregates on Mechanical Property of Self-compacting Rock-filled Concrete,1,pass,review,pass,medium,deterministic_rule_review,no,"sub_queries=How do rock-fill ratios affect seismic analysis of RFC dams? ; deduplicated_count=5 ; provenance_present=yes ; rerank_explanations=sub_queries=1; topic_terms=how,do,ratios,seismic,analysis,of,rfc; both_match=True; source_type=metadata_record; raw_score=1.0847; final_score=1.5200 || sub_queries=1; topic_terms=ratios,analysis,of,rfc; both_match=True; source_type=metadata",,使用真实模型回答或人工摘要复核 Answer Coverage、Faithfulness 和 Citation Quality。,英文坝体抗震问题
stage14_det_010,user_unsupported_random,default_hybrid,zqxjvblorptasticprotocol,应拒答且不返回来源,当前资料库中没有找到足够可靠的依据。,,,pass,pass,pass,low,deterministic_rule_review,no,sub_queries=zqxjvblorptasticprotocol ; deduplicated_count=5 ; provenance_present=yes ; rerank_explanations=sub_queries=1; topic_terms=none; both_match=False; source_type=metadata_record; raw_score=0.3000; final_score=1.0200 || sub_queries=1; topic_terms=none; both_match=False; source_type=metadata_record; raw_score=0.2750; final_score=0.9368 || ,,保留为拒答回归样例。,无语料依据的随机协议问题
