config,query_id,query,difficulty_type,expected_source_type,expected_refused,hit,rank_before,rank_after,deep_fulltext_in_top8,metadata_in_top8,deep_fulltext_top1,metadata_top1,source_match,refusal_matched,refused,top_source_types,top_source_titles,decision,next_action,error
hybrid_baseline,cn_hq_filling_capacity_factors,影响堆石混凝土填充能力的关键因素有哪些？,cross_passage,any,false,true,1,1,1,7,false,true,true,,,local_file;metadata_record;open_access_pdf;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,Experimental study of filling capacity of self-compacting co | Filling Capacity Evaluation of Self-Compacting Concrete in R | Filling Capacity Evaluation of Self-Compacting Concrete in R | Experimental study of filling capacity of self-compacting co | Filling capacity analysis of self-compacting concrete in roc | Evaluating the Filling Performance of Steel Fiber-Reinforced | Seismic analysis of rock-filled concrete (RFC) dam with vari | Analyzing the filling performance parameters of self-compact,baseline,保持默认链路；与候选配置对照,
hybrid_fulltext_boost,cn_hq_filling_capacity_factors,影响堆石混凝土填充能力的关键因素有哪些？,cross_passage,any,false,true,1,1,4,4,false,true,true,,,local_file;open_access_pdf;metadata_record;open_access_pdf;open_access_pdf;open_access_pdf;metadata_record;metadata_record,Experimental study of filling capacity of self-compacting co | Filling Capacity Evaluation of Self-Compacting Concrete in R | Filling Capacity Evaluation of Self-Compacting Concrete in R | A Mesoscale Comparative Analysis of the Elastic Modulus in R | Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Experimental study of filling capacity of self-compacting co | Filling capacity analysis of self-compacting concrete in roc,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_metadata_demote,cn_hq_filling_capacity_factors,影响堆石混凝土填充能力的关键因素有哪些？,cross_passage,any,false,true,1,1,4,4,false,true,true,,,local_file;open_access_pdf;metadata_record;open_access_pdf;open_access_pdf;open_access_pdf;metadata_record;metadata_record,Experimental study of filling capacity of self-compacting co | Filling Capacity Evaluation of Self-Compacting Concrete in R | Filling Capacity Evaluation of Self-Compacting Concrete in R | A Mesoscale Comparative Analysis of the Elastic Modulus in R | Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Experimental study of filling capacity of self-compacting co | Filling capacity analysis of self-compacting concrete in roc,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_topic_anchor_strict,cn_hq_filling_capacity_factors,影响堆石混凝土填充能力的关键因素有哪些？,cross_passage,any,false,true,1,1,4,4,false,true,true,,,local_file;open_access_pdf;metadata_record;open_access_pdf;open_access_pdf;open_access_pdf;metadata_record;metadata_record,Experimental study of filling capacity of self-compacting co | Filling Capacity Evaluation of Self-Compacting Concrete in R | Filling Capacity Evaluation of Self-Compacting Concrete in R | A Mesoscale Comparative Analysis of the Elastic Modulus in R | Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Experimental study of filling capacity of self-compacting co | Filling capacity analysis of self-compacting concrete in roc,keep_existing_hybrid,Δp@1=-0.20<0.10,
hybrid_baseline,cn_hq_temperature_control_strategy,堆石混凝土大体积浇筑的温控防裂措施有哪些？,cross_passage,institutional_access_pdf,false,false,0,0,1,7,false,true,false,,,metadata_record;metadata_record;open_access_pdf;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,A Study on Adiabatic Temperature Rise Test and Temperature S | Preliminary study on temperature rise property of thermal in | The Influence of Construction Parameters on the Temperature  | Mesoscopic thermal field reconstruction and parametrical stu | Rock-filled concrete in the mass concrete temperature field  | Measurement and Evaluation of the Thermal Expansion Coeffici | Field prototype experiment of rockfill temperature before SC | The Influence of Construction Parameters on the Temperature ,baseline,保持默认链路；与候选配置对照,
hybrid_fulltext_boost,cn_hq_temperature_control_strategy,堆石混凝土大体积浇筑的温控防裂措施有哪些？,cross_passage,institutional_access_pdf,false,true,0,3,7,1,false,true,false,,,metadata_record;open_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,A Study on Adiabatic Temperature Rise Test and Temperature S | The Influence of Construction Parameters on the Temperature  | 堆石混凝土水化温升过程及动力学研究 (1) | 废弃混凝土用于堆石混凝土技术探讨 | 论堆石混凝土在堤防工程的施工技术 | 堆石混凝土拱坝施工期温度应力研究 | 堆石混凝土热学参数试验及温度应力仿真研究 | 堆石混凝土热学性能试验与温度应力研究,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_metadata_demote,cn_hq_temperature_control_strategy,堆石混凝土大体积浇筑的温控防裂措施有哪些？,cross_passage,institutional_access_pdf,false,true,0,3,7,1,false,true,false,,,metadata_record;open_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,A Study on Adiabatic Temperature Rise Test and Temperature S | The Influence of Construction Parameters on the Temperature  | 堆石混凝土水化温升过程及动力学研究 (1) | 废弃混凝土用于堆石混凝土技术探讨 | 论堆石混凝土在堤防工程的施工技术 | 堆石混凝土拱坝施工期温度应力研究 | 堆石混凝土热学参数试验及温度应力仿真研究 | 堆石混凝土热学性能试验与温度应力研究,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_topic_anchor_strict,cn_hq_temperature_control_strategy,堆石混凝土大体积浇筑的温控防裂措施有哪些？,cross_passage,institutional_access_pdf,false,true,0,3,7,1,false,true,false,,,metadata_record;open_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,A Study on Adiabatic Temperature Rise Test and Temperature S | The Influence of Construction Parameters on the Temperature  | 堆石混凝土水化温升过程及动力学研究 (1) | 废弃混凝土用于堆石混凝土技术探讨 | 论堆石混凝土在堤防工程的施工技术 | 堆石混凝土拱坝施工期温度应力研究 | 堆石混凝土热学参数试验及温度应力仿真研究 | 堆石混凝土热学性能试验与温度应力研究,keep_existing_hybrid,Δp@1=-0.20<0.10,
hybrid_baseline,cn_hq_itz_mesoscale,界面过渡区如何影响堆石混凝土的强度和断裂模式？,cross_passage,any,false,true,1,1,2,6,false,true,true,,,metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;open_access_pdf;open_access_pdf;metadata_record,Experimental Study on Effects of Casting Procedures on Compr | Experimental study of the interfacial transition zone (ITZ)  | 3D mesoscopic numerical investigation on the uniaxial compre | Study on the Influence of Specimen Size and Aggregate Size o | Testing the Self-compacting Rock-fill Concrete Strength by t | 3D mesoscopic numerical investigation on the uniaxial compre | Study on the Influence of Specimen Size and Aggregate Size o | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACT,baseline,保持默认链路；与候选配置对照,
hybrid_fulltext_boost,cn_hq_itz_mesoscale,界面过渡区如何影响堆石混凝土的强度和断裂模式？,cross_passage,any,false,true,1,1,7,1,true,false,true,,,open_access_pdf;metadata_record;open_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,3D mesoscopic numerical investigation on the uniaxial compre | Experimental Study on Effects of Casting Procedures on Compr | Study on the Influence of Specimen Size and Aggregate Size o | 堆石混凝土坝的内部结构 (1) | 堆石混凝土坝的内部结构 | 基于随机骨料投放的堆石混凝土断裂性能研究 | 堆石混凝土抗压强度影响因素细观分析 | 堆石混凝土抗压强度影响因素细观分析,keep_existing_hybrid,Δp@1=-0.07<0.10,
