source_id,title,authors,year,venue,category,discovered_via,doi,url,pdf_url,abstract,keywords,language,citation_count,source_type,access_rights,license_or_terms,local_path,status,notes
openalex_93b840d9b752,Behavior of Self-compacting Rock-fill Concrete Beam under Normal Section Stressing,Jianjun Shi,2005,Jorunal of Water Resources and Architectural Engingeering,,OpenAlex,,https://openalex.org/W2361619819,,"In order to study the behavior of the self-compacting rock-fill concrete beam under static load,two tests of the three-dividing point loading are done.The behavior of the self-compacting rock-fill concrete beam under normal section stressing is analyzed in detail.The experiment proves that the integrity of the self-compacting rock-fill concrete beam is well and the assumption of the horizontal section is suit to the study on the self-compacting rock-fill concrete beam.",Beam (structure);Section (typography);Geotechnical engineering;Structural engineering;Point (geometry);Geology;Engineering;Computer science;et al.,en,1,open_access_candidate,closed,,,candidate,query=rock-filled concrete; query=rock filled concrete; query=self-compacting rock-filled concrete
openalex_04f0066b8bcc,Experiment on Self-Compacting Concrete Filling Rock-Fill,Shi Jing-jun,2005,Journal of Central-south Institute of Technology,filling_capacity;mechanical_properties,OpenAlex,,https://openalex.org/W2359924054,,"The self-compacting concrete, as a kind of high-performance concrete, is widely used at home. So if the self compacting concrete is filled with rock-fill, and its characteristic of high performance, no-vibration,self-compacting,etc. are exerted fully, it will receive excellent rock-fill concrete of comprehensive performance, and it is a kind of promissing new-type concrete.The authors study the flowing and filling about the self-compacting concrete which is filled with rock-fill, and show that it is feasible with self-compacting concrete which is filled with rock-fill. The experiment has reached the anticipated result.",Geotechnical engineering; Types of concrete; Materials science; Geology; Composite material; Compressive strength,en,1,open_access_candidate,closed,,,candidate,query=self-compacting rock-filled concrete
openalex_a3d151cf0506,Experimental study of Self-Compacting Concrete filled prepacked rock,AN Xuehui,2005,Concrete,mechanical_properties;numerical_modeling;dam_engineering,OpenAlex,,https://openalex.org/W2387255985,,"In this paper,by using the self-compacting ability of SCC,based on existing construction method of prepacked aggregate concrete,a new construction method of Self-Compacting Concrete filled prepacked rock has been proposed.The prepacked rock body is filled with SCC to form a new type of concrete (RFC,rock filled concrete).An experimental method has been proposed to study the possibility of SCC filled prepacked rock,and to verify the hardening property of RFC.The prepacked rock filling experiment has been carried out,using specially designed low cement dosage SCC.The verification of filling up result and strength testing results demonstrate the practical future of RFC construction method.",Aggregate (composite);Hardening (computing);Cement;Geotechnical engineering;Geology;Materials science;Composite material;Layer (electronics),en,8,open_access_candidate,closed,,,candidate,query=rock-filled concrete; query=rock filled concrete; query=self-compacting rock-filled concrete; query=self-compacting concrete prepacked rock
openalex_0c0b0b985d9c,Study on rock-fill concrete dam,Feng Jin,2005,,mechanical_properties;dam_engineering,OpenAlex,,https://openalex.org/W2377464461,,"A new type of concrete namely rock-fill concrete(RFC) is proposed.The concrete is constructed by pouring the self-compacting concrete into the rock-fill body.Laboratory test results show that by using this technology a dense and high strength concrete structure can be easily constructed.The possible new types of dam based on this technology,namely RFC arch dam/gravity dam,RFC Core Rock-fill dam and RFC Mixing dam,are investigated.",Gravity dam;Arch dam;Geotechnical engineering;Roller-compacted concrete;Geology;Engineering;Arch;Civil engineering;et al.,en,17,open_access_candidate,closed,,,candidate,query=rock-filled concrete; query=rock filled concrete; query=rock-fill concrete dam; query=self-compacting rock-filled concrete
openalex_f5d2faad7931,Testing the Self-compacting Rock-fill Concrete Strength by the Rebound Method,Jianjun Shi; Chuhan Zhang,2006,Nondestructive Testing,filling_capacity;mechanical_properties,OpenAlex,,https://openalex.org/W2353642955,,"The self-compacting rock-fill concrete(RFC) compressive strength can't be tested by the preformed test cubes because the size of the block stone is relatively large.The rebound method is a nondestructive testing method which can test the concrete compressive strength,and it is very convenient and dependable.The rebound method is used to test the compressive strength of two RFC specimens.Experimental results show that,① the homogeneous RFC can be formed by the self-compacting concrete flowing in the prepacked rock about 1.5m distance.② the RFC compressive strength measured by the rebound method is accurate and reliable.③ the cubic compressive strength of the self-compacting concrete can evaluate the 28 days compressive strength of RFC.",Compressive strength;Materials science;Homogeneous;Geotechnical engineering;Composite material;Geology;Mathematics;Combinatorics,en,0,open_access_candidate,closed,,,candidate,query=self-compacting rock-filled concrete; query=self-compacting concrete prepacked rock
openalex_4295af9e31ed,EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACTING ROCK-FILL CONCRETE,Chuhan Zhang,2007,Chinese journal of rock mechanics and engineering,review;filling_capacity;mechanical_properties;numerical_modeling;dam_engineering,OpenAlex,,https://openalex.org/W2364825947,,"Among the innovative techniques for construction of concrete dams,the self-compacting rock-fill concrete(RFC) appears to be a prospect of future development.The self-compacting RFC can be used in the hydraulic engineering such as rock-fill arch dam,cofferdam and port.Based on the laboratory testst,he mechanical properties of RFC are dealt with.At firstt,he self-compacting concrete(SCC) is filled to the rock,and two RFC test blocks(1 500 mm×500 mm×500 mm) are formed;and then the samples are cut from the RFC test blocks directly.The RFC test blocks are divided into 10 groups according to the filling direction of the self-compaction concrete.Every group is cut into three prismatic samples with size of 150 mm×150 mm×450 mm;and the cubic samples(150 mm×150 mm×150 mm) are cut from the prismatic samples.The cubic and prismatic axial compressive strength and the prismatic bending strength of RFC are also obtained from the tests.It is shown that the RFC specimen may have a similar strength with SCC when the pouring and flowing distance is controlled within 1 500 mm;the stress-strain relationship appears to be linear with only a minor amount of plastic strain;and the samples show a splitting fracture behavior.Fracture surfaces demonstrate good cohesion conditions at the concrete-rock interface.",Geotechnical engineering;Materials science;Compaction;Compressive strength;Cohesion (chemistry);Bending;Cofferdam;Composite material;et al.,en,4,open_access_candidate,closed,,,candidate,query=rock-filled concrete; query=rock filled concrete; query=self-compacting rock-filled concrete
openalex_9318b54fdcb1,Experimental research on the tensile performance of the self-compacting rock-filled concrete,Feng Jin,2007,Concrete,review;mechanical_properties;dam_engineering,OpenAlex,,https://openalex.org/W2378204619,,"Among the rock-filled arch bam,cofferdam,port,etc,the self-compacting rock-filled concrete (RFC) appears to be a prospect of future development.Tensile performance affects the quality,fractures and deformation of large dam in the action of the hydraulic pressure over a long period of time in the large dam concrete structure.By means of cutting the samples from the RFC test block directly,this test deals with the splitting tension strength and flexural strength of RFC and builds the relationship between the compressive and tensile strength,and gives out the relevant mathematics expression.This research is provided the reasonable mechanics parameter for engineering project.",Geotechnical engineering;Ultimate tensile strength;Compressive strength;Cofferdam;Tension (geology);Deformation (meteorology);Arch;Flexural strength;et al.,en,4,open_access_candidate,closed,,,candidate,query=rock-filled concrete; query=rock filled concrete; query=self-compacting rock-filled concrete
openalex_5acfed839970,A Pilot Study on Integrated Properties of Rock-Filled Concrete,Feng Jin,2008,Journal of Building Materials,mechanical_properties;dam_engineering,OpenAlex,,https://openalex.org/W2366850826,,"A new type of concrete named RFC(rock-filled concrete),which was based on the technology of SCC(self-compacting concrete),was developed in 2003,and it has already been employed in hydraulic engineering structures in China.A large scale RFC test block(2.0 m×(1.0 m×1.8 m)) with cold and hot joints was designed and constructed in the laboratory in order to study the integrate properties of RFC.Thirty-nine specimens with different sizes were cut from the different parts of the block,and the mechanical properties and durability of RFC were studied based on the experimental tests.The results suggest that: the prismatic axial compressive strength of RFC is higher than that of SCC used in RFC construction;the cold and hot joints are planes of weakness in the RFC block; and the permeation resistance index of RFC is high enough to satisfy the dam concrete in hydraulic engineering.",Materials science;Durability;Compressive strength;Block (permutation group theory);Geotechnical engineering;Composite material;Structural engineering;Engineering;et al.,en,13,open_access_candidate,closed,,,candidate,query=rock-filled concrete; query=rock filled concrete; query=self-compacting rock-filled concrete
openalex_c1711c4abc71,Preliminary study on temperature rise property of thermal insulation of rock-fill concrete,Xuehui An,2008,Water Resources and Hydropower Engineering,thermal_control;dam_engineering,OpenAlex,,https://openalex.org/W2362249076,,"The technique of rock-fill concrete for dam construction is a new dam construction technique with advantages of high construction speed,economic construction cost,environment-friendly construction and easy quality control etc.The temperature rise property of thermal insulation of rock-fill concrete is an important index to study the crack resistance property of the rock-fill concrete dam.A method to combine both the physical test on temperature rise property of thermal insulation of self-compacted concrete and the numerical test on temperature rise process of thermal insulation of rock-fill concrete is adopted herein to study the temperature rise property of thermal insulation of rock-fill concrete,for which a simplified calculation method is put forward as well.",Thermal insulation;Thermal;Geotechnical engineering;Property (philosophy);Materials science;Civil engineering;Engineering;Composite material;et al.,en,2,open_access_candidate,closed,,,candidate,query=rock-filled concrete; query=rock filled concrete
openalex_e009ef0607e5,"Rock-fill concrete, a new type of concrete",Fujia Jin; Hu Zhou; Xuexia An; Mengqi Huang,2008,,,OpenAlex,10.1201/9781439828410.ch170,https://doi.org/10.1201/9781439828410.ch170,,,Type (biology);Geotechnical engineering;Geology;Forensic engineering;Engineering;Paleontology,en,4,open_access_candidate,closed,,,candidate,query=rock-filled concrete; query=rock filled concrete
