query_id,question,category,expected_has_image,returned_image_count,relevant_image_count,top1_relevant,suppressed,expected_path_hit,top1_caption_match,topk_caption_match,top1_doc_match,wrong_generic_curve,top_score,top_caption,top_page_number,top_document_title,top_source_image_path,top_image_url,captions_present,page_numbers_present,error
real_must_001,请召回堆石混凝土应力应变曲线相关图片。,must_have_image,True,4,4,True,False,False,True,True,False,False,0.700706,图3-4 标准试件L-150-52 应力应变曲线图及破坏结果图,41,基于贵州地区的堆石混凝土尺寸效应及标准值研究,data/images/433/page41_img5.png,/assets/images/433/page41_img5.png,2,4,
real_must_002,召回和 RFC 强度试验结果有关的图片。,must_have_image,True,4,0,False,False,False,False,False,False,False,0.627975,,3,自密实混凝土,data/images/1522/page3_img1.png,/assets/images/1522/page3_img1.png,0,4,
real_must_003,有没有 RFC 温度变化或绝热温升曲线图？,must_have_image,True,4,4,True,False,False,True,True,True,False,0.668981,图4 不同堆石率的绝热温升速率dθ( τ) /dτ,4,堆石混凝土绝热温升曲线特征及速率模型,data/images/330/page4_img3.png,/assets/images/330/page4_img3.png,4,4,
real_must_004,召回和粉煤灰 RFC 试验曲线相关的图片。,must_have_image,True,4,3,True,False,False,False,True,False,False,0.618414,,5,开展了边长 300mm堆石混凝土和自密实混凝,data/images/1259/page5_img1.png,/assets/images/1259/page5_img1.png,2,4,
real_must_005,请召回堆石混凝土微观结构或界面过渡区图片。,must_have_image,True,4,4,True,False,False,False,False,False,False,0.786449,图5.11 边长600mmRFC 立方体试件相对垫条宽度为0.025 时破坏过程,77,堆石混凝土抗拉性能及劈裂抗拉破坏机理,data/images/451/page77_img2.png,/assets/images/451/page77_img2.png,1,4,
real_must_006,召回 RFC 试件破坏结果图。,must_have_image,True,4,2,True,False,False,False,False,False,False,0.697424,,3,建筑废弃混凝土再生利用新技术的试验研究,data/images/153/page3_img1.png,/assets/images/153/page3_img1.png,1,4,
real_must_007,请召回堆石混凝土施工或浇筑流程图片。,must_have_image,True,4,4,True,False,False,True,True,False,False,0.776982,图2 机制砂自密实堆抛石混凝土现场施工工艺,2,[3] 任仓钰.石门河水库大坝自密实堆石混凝土施工技术研究,data/images/1378/page2_img1.png,/assets/images/1378/page2_img1.png,1,4,
real_must_008,找出展示堆石粒径分布或填充效果的图。,must_have_image,True,4,1,False,False,False,False,False,False,False,0.733805,图4.1 Ⅱ类界面断面破坏形态,51,堆石混凝土坝一体化界面粘结性能及其劈裂抗拉破坏机理研究,data/images/1098/page51_img2.png,/assets/images/1098/page51_img2.png,4,4,
real_must_009,请召回堆石混凝土试验装置或加载设备图片。,must_have_image,True,4,3,True,False,False,False,False,False,False,0.728929,图4-5 试验和数值断裂形态对比,65,堆石混凝土岩块-SCC交界面Ⅰ型断裂性能研究,data/images/447/page65_img2.png,/assets/images/447/page65_img2.png,2,4,
real_must_010,请召回堆石混凝土应力应变曲线相关图片。,must_have_image,True,4,4,True,False,False,True,True,False,False,0.700706,图3-4 标准试件L-150-52 应力应变曲线图及破坏结果图,41,基于贵州地区的堆石混凝土尺寸效应及标准值研究,data/images/433/page41_img5.png,/assets/images/433/page41_img5.png,2,4,
real_must_011,请找出堆石混凝土抗压强度或强度发展曲线图。,must_have_image,True,4,4,True,False,False,False,True,False,False,0.798553,图3-6 三种计算模型拟合曲线图,38,粉煤灰掺量对堆石混凝土绝热温升值影响的试验研究及拱坝温度过程分析,data/images/1155/page38_img1.png,/assets/images/1155/page38_img1.png,2,4,
real_must_012,有没有 RFC 温度变化或绝热温升曲线图？,must_have_image,True,4,4,True,False,False,True,True,True,False,0.668981,图4 不同堆石率的绝热温升速率dθ( τ) /dτ,4,堆石混凝土绝热温升曲线特征及速率模型,data/images/330/page4_img3.png,/assets/images/330/page4_img3.png,4,4,
real_must_013,请找出粉煤灰掺量影响堆石混凝土性能的图。,must_have_image,True,4,4,True,False,False,False,False,False,False,0.730358,图５ 水胶比为０􀆰４３时堆石混凝土与自密实砂浆的抗压强度关系,3,绿色堆石混凝土的力学性能和氯盐侵蚀性能研究,data/images/394/page3_img4.png,/assets/images/394/page3_img4.png,3,4,
real_must_014,找出展示 RFC 界面区或 SEM 形貌的图。,must_have_image,True,2,2,True,False,False,True,True,True,False,0.586626,图4.21 界面过渡区#1 的弹性模量云图与BSE 图像,109,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page109_img1.png,/assets/images/1168/page109_img1.png,1,2,
real_must_015,请找出堆石混凝土破坏形态或裂缝分布图片。,must_have_image,True,4,4,True,False,False,True,True,False,False,0.870695,图3.33 450mm×450mm×900mm试件4 个侧面的破坏形态,57,堆石混凝土强度性能及冻融耐久性的研究,data/images/448/page57_render2.png,/assets/images/448/page57_render2.png,3,4,
real_must_016,找出展示 RFC 现场施工过程的图。,must_have_image,True,4,4,True,False,False,True,True,False,False,0.622724,图 3-3 OA 段RFC 试样施工缝被压实,27,堆石混凝土大坝施工缝层间强度研究,data/images/443/page27_render2.png,/assets/images/443/page27_render2.png,3,4,
real_must_017,请召回骨料级配、孔隙或填充性相关图片。,must_have_image,True,4,4,True,False,False,False,False,False,False,0.718762,图3.15 堆石混凝土内部结构,85,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page85_img1.png,/assets/images/1168/page85_img1.png,4,4,
real_must_018,找出 RFC 试件和试验设备相关照片。,must_have_image,True,4,1,False,False,False,False,False,False,False,0.635898,,3,建筑废弃混凝土再生利用新技术的试验研究,data/images/153/page3_img1.png,/assets/images/153/page3_img1.png,2,4,
real_must_019,请召回堆石混凝土应力应变曲线相关图片。,must_have_image,True,4,4,True,False,False,True,True,False,False,0.700706,图3-4 标准试件L-150-52 应力应变曲线图及破坏结果图,41,基于贵州地区的堆石混凝土尺寸效应及标准值研究,data/images/433/page41_img5.png,/assets/images/433/page41_img5.png,2,4,
real_must_020,召回和 RFC 强度试验结果有关的图片。,must_have_image,True,4,0,False,False,False,False,False,False,False,0.627975,,3,自密实混凝土,data/images/1522/page3_img1.png,/assets/images/1522/page3_img1.png,0,4,
real_must_021,有没有 RFC 温度变化或绝热温升曲线图？,must_have_image,True,4,4,True,False,False,True,True,True,False,0.668981,图4 不同堆石率的绝热温升速率dθ( τ) /dτ,4,堆石混凝土绝热温升曲线特征及速率模型,data/images/330/page4_img3.png,/assets/images/330/page4_img3.png,4,4,
real_must_022,召回和粉煤灰 RFC 试验曲线相关的图片。,must_have_image,True,4,3,True,False,False,False,True,False,False,0.618414,,5,开展了边长 300mm堆石混凝土和自密实混凝,data/images/1259/page5_img1.png,/assets/images/1259/page5_img1.png,2,4,
real_must_023,请召回堆石混凝土微观结构或界面过渡区图片。,must_have_image,True,4,4,True,False,False,False,False,False,False,0.786449,图5.11 边长600mmRFC 立方体试件相对垫条宽度为0.025 时破坏过程,77,堆石混凝土抗拉性能及劈裂抗拉破坏机理,data/images/451/page77_img2.png,/assets/images/451/page77_img2.png,1,4,
real_must_024,召回 RFC 试件破坏结果图。,must_have_image,True,4,2,True,False,False,False,False,False,False,0.697424,,3,建筑废弃混凝土再生利用新技术的试验研究,data/images/153/page3_img1.png,/assets/images/153/page3_img1.png,1,4,
real_must_025,请召回堆石混凝土施工或浇筑流程图片。,must_have_image,True,4,4,True,False,False,True,True,False,False,0.776982,图2 机制砂自密实堆抛石混凝土现场施工工艺,2,[3] 任仓钰.石门河水库大坝自密实堆石混凝土施工技术研究,data/images/1378/page2_img1.png,/assets/images/1378/page2_img1.png,1,4,
real_helpful_001,解释堆石混凝土应力应变关系时，哪张图最能帮助说明？,image_helpful,True,4,4,True,False,False,True,True,False,False,0.733697,图6.3 堆石强度对RFC 应力应变曲线的影响,74,堆石混凝土渐进破坏细观机理研究,data/images/454/page74_img1.png,/assets/images/454/page74_img1.png,3,4,
real_helpful_002,回答强度变化趋势时请参考相关图表。,image_helpful,True,4,1,False,False,False,False,False,False,False,0.624745,,4,堆石混凝土拱坝施工期温度监测与分析,data/images/1317/page4_img14.png,/assets/images/1317/page4_img14.png,1,4,
real_helpful_003,解释水化热对堆石混凝土温升的影响时，请参考图表。,image_helpful,True,4,4,True,False,False,False,True,False,False,0.770742,,64,堆石混凝土劈拉性能尺寸效应研究,data/images/439/page64_img1.png,/assets/images/439/page64_img1.png,2,4,
real_helpful_004,回答粉煤灰掺量变化趋势时请优先参考图表。,image_helpful,True,4,4,True,False,False,True,True,False,False,0.699043,图1.3 粉煤灰掺量和龄期对混凝土热膨胀系数的影响[10],10,堆石混凝土线膨胀系数试验及数值模拟,data/images/459/page10_img1.png,/assets/images/459/page10_img1.png,4,4,
real_helpful_005,解释堆石与自密实混凝土界面特征时，哪些显微图有帮助？,image_helpful,True,4,4,True,False,False,True,True,True,False,0.715797,图6-15 RFC 界面微观破坏到宏观破坏的示意图,94,贵州地区堆石混凝土界面的微观及破坏机理分析,data/images/1172/page94_img1.png,/assets/images/1172/page94_img1.png,3,4,
real_helpful_006,解释试件破坏形态时请参考图片证据。,image_helpful,True,4,4,True,False,False,True,True,False,False,0.838082,图3-9 部分试件的破坏形态,34,某实际工程堆石混凝土的力学性能及抗渗研究,data/images/1140/page34_render2.png,/assets/images/1140/page34_render2.png,2,4,
real_helpful_007,说明 RFC 施工流程时，哪些现场图或流程图有帮助？,image_helpful,True,4,4,True,False,False,True,True,True,False,0.625185,图1.2 RFC 重力坝施工示意图,11,堆石混凝土与胶凝砂砾石复合材料坝研究,data/images/1096/page11_img1.png,/assets/images/1096/page11_img1.png,4,4,
real_helpful_008,说明级配对 RFC 性能影响时请参考相关图。,image_helpful,True,2,0,False,False,False,False,False,False,False,0.568496,图３ 粗集料级配对混凝土力学性能的影响,2,磷渣自密实堆石混凝土施工的混凝土支挡结构,data/images/1416/page2_img3.png,/assets/images/1416/page2_img3.png,2,2,
real_helpful_009,说明 RFC 试验方法时，哪些装置图有帮助？,image_helpful,True,4,1,True,False,False,False,False,False,False,0.549056,Fig. 4. Uniaxial compressive stress loaded specimen with spherical hole defects.,5,Liu 等 - 2024 - Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete,data/images/1184/page5_img1.png,/assets/images/1184/page5_img1.png,1,4,
real_helpful_010,比较不同模型的应力应变响应时，请优先参考相关图。,image_helpful,True,4,4,True,False,False,True,True,False,False,0.735529,图5 堆石混凝土应力应变关系,2,基于工程试验的堆石混凝土力学性能研究,data/images/199/page2_img4.png,/assets/images/199/page2_img4.png,4,4,
real_helpful_011,说明堆石混凝土强度影响因素时，哪类图表最有帮助？,image_helpful,True,4,4,True,False,False,False,True,True,False,0.656126,,96,堆石混凝土质量检测与控制研究,data/images/465/page96_img1.png,/assets/images/465/page96_img1.png,3,4,
real_helpful_012,比较温控方案时哪些图片证据最有帮助？,image_helpful,True,4,4,True,False,False,False,True,False,False,0.547597,图 ４,64,非均质堆石混凝土介观温度仿真研究,data/images/1176/page64_img2.png,/assets/images/1176/page64_img2.png,4,4,
real_helpful_013,讨论粉煤灰对 RFC 工作性或温升影响时，哪些图有帮助？,image_helpful,True,4,3,True,False,False,False,True,False,False,0.580329,图1.4 煤灰对混凝土28d 热膨胀系数的影响[17],11,堆石混凝土线膨胀系数试验及数值模拟,data/images/459/page11_img1.png,/assets/images/459/page11_img1.png,2,4,
real_helpful_014,说明微观结构差异时请参考相关图片。,image_helpful,True,4,4,True,False,False,False,False,False,False,0.776221,,76,堆石混凝土立方体抗压性能尺寸效应研究,data/images/458/page76_render2.png,/assets/images/458/page76_render2.png,3,4,
real_helpful_015,说明裂缝扩展和破坏模式时，哪些图片最有帮助？,image_helpful,True,4,4,True,False,False,True,True,False,False,0.669598,图3-9 部分试件的破坏形态,34,某实际工程堆石混凝土的力学性能及抗渗研究,data/images/1140/page34_render2.png,/assets/images/1140/page34_render2.png,2,4,
real_helpful_016,解释浇筑与填充过程时请参考相关图片。,image_helpful,True,4,1,False,False,False,False,False,False,False,0.777731,,11,基于随机骨料投放的堆石混凝土力学性能研究,data/images/434/page11_img1.png,/assets/images/434/page11_img1.png,1,4,
real_helpful_017,解释大粒径骨料孔隙填充性时，哪些图表有帮助？,image_helpful,True,4,3,True,False,False,False,False,False,False,0.672807,图4.7 界面过渡区中各组分随距离变化图[161],97,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page97_img2.png,/assets/images/1168/page97_img2.png,3,4,
real_helpful_018,解释加载试验过程时请参考装置图片。,image_helpful,True,4,3,True,False,False,False,False,False,False,0.69748,,25,堆石混凝土岩块-SCC交界面Ⅰ型断裂性能研究,data/images/447/page25_img2.png,/assets/images/447/page25_img2.png,0,4,
real_helpful_019,解释堆石混凝土应力应变关系时，哪张图最能帮助说明？,image_helpful,True,4,4,True,False,True,True,True,False,False,0.733697,图6.3 堆石强度对RFC 应力应变曲线的影响,74,堆石混凝土渐进破坏细观机理研究,data/images/454/page74_img1.png,/assets/images/454/page74_img1.png,3,4,
real_helpful_020,回答强度变化趋势时请参考相关图表。,image_helpful,True,4,1,False,False,False,False,False,False,False,0.624745,,4,堆石混凝土拱坝施工期温度监测与分析,data/images/1317/page4_img14.png,/assets/images/1317/page4_img14.png,1,4,
real_helpful_021,解释水化热对堆石混凝土温升的影响时，请参考图表。,image_helpful,True,4,4,True,False,False,False,True,False,False,0.770742,,64,堆石混凝土劈拉性能尺寸效应研究,data/images/439/page64_img1.png,/assets/images/439/page64_img1.png,2,4,
real_helpful_022,回答粉煤灰掺量变化趋势时请优先参考图表。,image_helpful,True,4,4,True,False,False,True,True,False,False,0.699043,图1.3 粉煤灰掺量和龄期对混凝土热膨胀系数的影响[10],10,堆石混凝土线膨胀系数试验及数值模拟,data/images/459/page10_img1.png,/assets/images/459/page10_img1.png,4,4,
real_helpful_023,解释堆石与自密实混凝土界面特征时，哪些显微图有帮助？,image_helpful,True,4,4,True,False,False,True,True,False,False,0.715797,图6-15 RFC 界面微观破坏到宏观破坏的示意图,94,贵州地区堆石混凝土界面的微观及破坏机理分析,data/images/1172/page94_img1.png,/assets/images/1172/page94_img1.png,3,4,
real_helpful_024,解释试件破坏形态时请参考图片证据。,image_helpful,True,4,4,True,False,False,True,True,False,False,0.838082,图3-9 部分试件的破坏形态,34,某实际工程堆石混凝土的力学性能及抗渗研究,data/images/1140/page34_render2.png,/assets/images/1140/page34_render2.png,2,4,
real_helpful_025,说明 RFC 施工流程时，哪些现场图或流程图有帮助？,image_helpful,True,4,4,True,False,False,True,True,False,False,0.625185,图1.2 RFC 重力坝施工示意图,11,堆石混凝土与胶凝砂砾石复合材料坝研究,data/images/1096/page11_img1.png,/assets/images/1096/page11_img1.png,4,4,
real_text_001,什么是堆石混凝土？请只用文字回答。,text_only,False,4,0,False,False,False,False,False,False,False,0.700603,图2.5 不同尺寸石子试件剖面图,41,自密实混凝土填充性能及堆石混凝土界面微观特性研究,data/images/1168/page41_img2.png,/assets/images/1168/page41_img2.png,2,4,
real_text_002,自密实混凝土在 RFC 中起什么作用？不要配图。,text_only,False,4,0,False,False,False,False,False,False,False,0.585889,Figure 1. Composite and construction of rock-filled concrete.,2,A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,data/images/16/page2_render1.png,/assets/images/16/page2_render1.png,3,4,
real_text_003,堆石混凝土和普通混凝土的定义区别是什么？,text_only,False,4,0,False,False,False,False,False,False,False,0.622209,图1 堆石混凝土施工技术示意图,1,堆石混凝土施工技术在新疆铁路及公路挡土墙工程中的应用,data/images/299/page1_img1.png,/assets/images/299/page1_img1.png,4,4,
real_text_004,请概括 RFC 的主要优点，不需要图片。,text_only,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_text_005,堆石混凝土施工通常关注哪些质量控制指标？只要文字。,text_only,False,4,0,False,False,False,False,False,False,False,0.686889,,37,堆石混凝土质量检测与控制研究,data/images/465/page37_img1.png,/assets/images/465/page37_img1.png,0,4,
real_text_006,为什么 RFC 可以降低胶凝材料用量？,text_only,False,4,0,False,False,False,False,False,False,False,0.524495,图4 CC 和ＲFC 弹性性能比较,3,堆石混凝土力学性能研究进展 (1),data/images/212/page3_img3.png,/assets/images/212/page3_img3.png,4,4,
real_text_007,请解释水化热这个概念，不要召回图片。,text_only,False,4,0,False,False,False,False,False,False,True,0.686389,,80,堆石混凝土坝中预制块模板的稳定性研究,data/images/1100/page80_img4.png,/assets/images/1100/page80_img4.png,2,4,
real_text_008,粉煤灰在混凝土中的一般作用是什么？,text_only,False,1,0,False,False,False,False,False,False,False,0.561606,图1.1 堆石混凝土原材料的体积比例,15,堆石混凝土劈拉性能尺寸效应研究,data/images/439/page15_img1.png,/assets/images/439/page15_img1.png,1,1,
real_text_009,界面过渡区是什么意思？用文字解释。,text_only,False,1,0,False,False,False,False,False,False,False,0.604112,图3-24 ITZ 示意图,45,堆石混凝土三维有限元随机仿真模型的研究,data/images/436/page45_img2.png,/assets/images/436/page45_img2.png,1,1,
real_text_010,抗压强度和劈裂抗拉强度的区别是什么？,text_only,False,4,0,False,False,False,False,False,False,False,0.666501,,3,自密实堆石混凝土在围滩水电站的应用及试验研究,data/images/401/page3_img2.png,/assets/images/401/page3_img2.png,3,4,
real_text_011,什么是绝热温升？请不要返回图。,text_only,False,4,0,False,False,False,False,False,False,True,0.627668,图3 堆石混凝土绝热温升速率曲线阶段划分图,3,堆石混凝土水化温升过程及动力学研究 (1),data/images/312/page3_img2.png,/assets/images/312/page3_img2.png,4,4,
real_text_012,堆石混凝土适用于哪些工程场景？,text_only,False,4,0,False,False,False,False,False,False,False,0.668983,图2 新型模板施工流程（二） Figure 2 Construction process of new formwork（No.2）,3,"堆石混凝土 ( Rock-filled Concrete, RFC)",data/images/1193/page3_img7.png,/assets/images/1193/page3_img7.png,3,4,
real_text_013,请说明 RFC 资料库目前的主要来源类型。,text_only,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_text_014,这个系统如何保证回答带引用？,text_only,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_text_015,为什么评测中要区分 precision 和 recall？,text_only,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_text_016,请给出一个不含图片的堆石混凝土研究综述提纲。,text_only,False,4,0,False,False,False,False,False,False,False,0.643052,,13,下坂地土石坝三维静应力与变形计算分析,data/images/1077/page13_img1.png,/assets/images/1077/page13_img1.png,0,4,
real_text_017,不要图片，只解释堆石混凝土的耐久性影响因素。,text_only,False,4,0,False,False,False,False,False,False,False,0.571272,,21,基于深度学习方法的堆石混凝土缺陷识别与分析,data/images/431/page21_render1.png,/assets/images/431/page21_render1.png,2,4,
real_text_018,请用三句话说明 RFC 与 RCC 的区别。,text_only,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_text_019,什么情况下 RAG 应该拒答？,text_only,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_text_020,请解释 caption 字段在图片 chunk 中的作用。,text_only,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_text_021,为什么图片题注不能直接替代视觉描述？,text_only,False,2,0,False,False,False,False,False,False,False,0.521657,,19,基于生命周期的混凝土大坝碳排放评价方法研究,data/images/1093/page19_render1.png,/assets/images/1093/page19_render1.png,0,2,
real_text_022,请说明 FAISS 在本项目中的作用。,text_only,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_text_023,不看图，简述堆石混凝土材料组成。,text_only,False,4,0,False,False,False,False,False,False,False,0.682224,,6,Experimental Research on the Properties of Rock-Filled Concrete,data/images/13/page6_img20.png,/assets/images/13/page6_img20.png,1,4,
real_text_024,请用文字说明施工期温控为什么重要。,text_only,False,4,0,False,False,False,False,False,False,False,0.555686,,75,堆石混凝土重力坝温度应力仿真分析与温控措施研究,data/images/1124/page75_img1.png,/assets/images/1124/page75_img1.png,1,4,
real_text_025,什么是 source_image_path？不要展示图片。,text_only,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_noimg_001,今天北京天气怎么样？,no_image,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_noimg_002,帮我写一首关于咖啡的短诗。,no_image,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_noimg_003,这个项目有没有配置 API key？不要输出任何密钥。,no_image,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_noimg_004,如何重启 Windows 电脑？,no_image,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
real_noimg_005,请解释 Python 的 list comprehension。,no_image,False,0,0,False,True,False,False,False,False,False,0.0,,,,,,0,0,
