run_type,query_id,category,mode,status,refused,refusal_reason_summary,llm_call_count,tool_call_count,iteration_count,time_to_first_token_ms,time_to_final_ms,citation_count,source_count,same_refusal_as_react,same_top_source_as_react,repeated_query_count,near_duplicate_query_count,executed_tool_call_count,skipped_tool_call_count,citation_repair_count,error_summary,decision_candidate
deterministic,stage38_single_hop_filling_capacity,single_hop,react_agent,ok,false,,0,2,2,,186.020,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_single_hop_filling_capacity,single_hop,tool_calling_agent,ok,false,,2,1,2,,1.848,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_single_hop_thermal_control,single_hop,react_agent,ok,false,,0,2,2,,171.343,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_single_hop_thermal_control,single_hop,tool_calling_agent,ok,false,,2,1,2,,1.900,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_comparison_filling_vs_thermal,comparison,react_agent,ok,false,,0,2,2,,218.950,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_comparison_filling_vs_thermal,comparison,tool_calling_agent,ok,false,,2,1,2,,1.618,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_comparison_durability_vs_quality,comparison,react_agent,ok,false,,0,2,2,,217.589,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_comparison_durability_vs_quality,comparison,tool_calling_agent,ok,false,,2,1,2,,1.773,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_multi_dimensional_quality_durability_risk,multi_dimensional,react_agent,ok,false,,0,2,2,,7.048,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_multi_dimensional_quality_durability_risk,multi_dimensional,tool_calling_agent,ok,false,,2,1,2,,1.289,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_multi_hop_thermal_to_durability,multi_hop,react_agent,ok,false,,0,2,2,,192.175,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_multi_hop_thermal_to_durability,multi_hop,tool_calling_agent,ok,false,,3,2,3,,1.381,1,3,true,false,0,0,1,1,0,,review_mismatch
deterministic,stage38_numeric_comparison_temperature_rise,numeric_comparison,react_agent,ok,false,,0,2,2,,167.024,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_numeric_comparison_temperature_rise,numeric_comparison,tool_calling_agent,ok,false,,2,1,2,,1.623,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_numeric_comparison_quality_metrics,numeric_comparison,react_agent,ok,false,,0,2,2,,7.835,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_numeric_comparison_quality_metrics,numeric_comparison,tool_calling_agent,ok,false,,2,1,2,,1.694,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_bilingual_scc,bilingual,react_agent,ok,false,,0,2,2,,416.847,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_bilingual_scc,bilingual,tool_calling_agent,ok,false,,2,1,2,,2.281,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_bilingual_durability,bilingual,react_agent,ok,false,,0,2,2,,110.686,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_bilingual_durability,bilingual,tool_calling_agent,ok,false,,2,1,2,,1.538,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_long_question_quality,long_question,react_agent,ok,false,,0,2,2,,6.178,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_long_question_quality,long_question,tool_calling_agent,ok,false,,2,1,2,,1.635,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_ambiguous_query_flow,ambiguous_query,react_agent,ok,false,,0,2,2,,179.112,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_ambiguous_query_flow,ambiguous_query,tool_calling_agent,ok,false,,2,1,2,,1.430,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_ambiguous_query_control,ambiguous_query,react_agent,ok,false,,0,2,2,,170.612,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_ambiguous_query_control,ambiguous_query,tool_calling_agent,ok,false,,2,1,2,,1.468,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_followup_flowability,followup,react_agent,ok,false,,0,2,2,,154.399,1,2,true,true,0,0,0,0,0,,baseline
deterministic,stage38_followup_flowability,followup,tool_calling_agent,ok,false,,2,1,2,,4.044,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_followup_thermal,followup,react_agent,ok,true,off_topic,0,2,2,,489.367,0,3,true,true,0,0,0,0,0,,baseline
deterministic,stage38_followup_thermal,followup,tool_calling_agent,ok,false,,2,1,2,,1.359,1,3,false,true,0,0,1,0,0,,review_mismatch
deterministic,stage38_evidence_insufficient_quantum,evidence_insufficient,react_agent,ok,false,,0,2,2,,152.067,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_evidence_insufficient_quantum,evidence_insufficient,tool_calling_agent,ok,false,,2,1,2,,1.373,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_evidence_insufficient_space_dam,evidence_insufficient,react_agent,ok,false,,0,2,2,,114.018,1,4,true,true,0,0,0,0,0,,baseline
deterministic,stage38_evidence_insufficient_space_dam,evidence_insufficient,tool_calling_agent,ok,false,,2,1,2,,1.316,1,1,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_off_topic_recipe,off_topic,react_agent,ok,true,off_topic,0,2,2,,167.338,0,3,true,true,0,0,0,0,0,,baseline
deterministic,stage38_off_topic_recipe,off_topic,tool_calling_agent,ok,true,off_topic,0,0,1,,0.025,0,0,true,false,0,0,0,0,0,,parallel_candidate
deterministic,stage38_off_topic_stock,off_topic,react_agent,ok,true,off_topic,0,2,2,,172.035,0,3,true,true,0,0,0,0,0,,baseline
deterministic,stage38_off_topic_stock,off_topic,tool_calling_agent,ok,true,off_topic,0,0,1,,0.025,0,0,true,false,0,0,0,0,0,,parallel_candidate
deterministic,stage38_responsibility_boundary_mix,responsibility_boundary,react_agent,ok,true,responsibility_gate,0,2,2,,174.264,0,3,true,true,0,0,0,0,0,,baseline
deterministic,stage38_responsibility_boundary_mix,responsibility_boundary,tool_calling_agent,ok,true,responsibility_gate,0,0,1,,0.022,0,0,true,false,0,0,0,0,0,,parallel_candidate
deterministic,stage38_citation_repair_missing_marker,citation_repair,react_agent,ok,false,,0,2,2,,140.179,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_citation_repair_missing_marker,citation_repair,tool_calling_agent,ok,false,,2,1,2,,1.470,1,3,true,true,0,0,1,0,0,,parallel_candidate
deterministic,stage38_evidence_convergence_after_skipped_tool,evidence_convergence,react_agent,ok,false,,0,2,2,,5.490,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_evidence_convergence_after_skipped_tool,evidence_convergence,tool_calling_agent,ok,false,,2,2,3,,1.101,1,3,true,true,0,0,1,1,0,,parallel_candidate
deterministic,stage38_skip_tool_budget,skip_tool,react_agent,ok,false,,0,2,2,,187.644,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_skip_tool_budget,skip_tool,tool_calling_agent,ok,false,,2,2,3,,1.864,1,1,true,true,0,0,1,1,0,,parallel_candidate
deterministic,stage38_duplicate_tool_call,duplicate_tool_call,react_agent,ok,false,,0,2,2,,166.204,1,6,true,true,0,0,0,0,0,,baseline
deterministic,stage38_duplicate_tool_call,duplicate_tool_call,tool_calling_agent,ok,false,,3,2,3,,1.374,1,3,true,true,1,1,1,1,0,,parallel_candidate
