document_id,title,url,domain,source_category,chunk_count,char_count,relevance_score,relevance_bucket,matched_terms,source_id,suggested_decision,suggested_reason,review_decision,review_notes
468,School of Civil Engineering Tsinghua University,https://www.civil.tsinghua.edu.cn/en/,www.civil.tsinghua.edu.cn,高校机构;工程案例,3,1431,1,weak,hydraulic,crawl_70d1a6211e7b,review_candidate,weak domain-term match,,
469,About,https://www.tsinghua.edu.cn/en/Research.htm,www.tsinghua.edu.cn,高校机构;工程案例,2,1236,1,weak,dam,crawl_b9aba1d5ffde,review_candidate,weak domain-term match,,
470,河海大学-Hohai University,https://www.hhu.edu.cn/,www.hhu.edu.cn,高校机构,2,1140,3,medium,大坝;水利;混凝土,crawl_9f388f141b8f,review_candidate,medium domain-term match,,
472,28th Congress,https://www.icold-cigb.org/,www.icold-cigb.org,高校机构,2,874,1,weak,dam,crawl_b937796fd5b8,review_candidate,weak domain-term match,,
473,Home,https://www.ussdams.org/,www.ussdams.org,高校机构,1,390,1,weak,dam,crawl_4cf459bddf6b,review_candidate,weak domain-term match,,
474,Bureau of Reclamation,https://www.usbr.gov/,www.usbr.gov,高校机构,28,20704,1,weak,dam,crawl_a4c73bd78c79,review_candidate,weak domain-term match,,
475,ACI Sustaining Members are dedicated to advancing concrete knowledge and are concrete industry leaders. Learn more.,https://www.concrete.org/,www.concrete.org,高校机构,1,417,1,weak,concrete,crawl_98985fdf734c,review_candidate,weak domain-term match,,
478,ACI CODE-318-19(22): Building Code Requirements for Structural Concrete and Commentary (Reapproved 2022),https://www.concrete.org/store/productdetail.aspx?ItemID=31819,www.concrete.org,行业标准,10,5403,1,weak,concrete,crawl_a69d5ca110cf,review_candidate,weak domain-term match,,
479,ACI SPEC-301-20: Specifications for Concrete Construction,https://www.concrete.org/store/productdetail.aspx?ItemID=30120,www.concrete.org,行业标准,7,4313,1,weak,concrete,crawl_e6ef7ca713a8,review_candidate,weak domain-term match,,
480,ACI PRC-211.1-22: Selecting Proportions for Normal-Density and High Density-Concrete - Guide,https://www.concrete.org/store/productdetail.aspx?ItemID=211122,www.concrete.org,行业标准,4,2714,1,weak,concrete,crawl_498af905ed73,review_candidate,weak domain-term match,,
481,Chinese IAHR-YPN Doctoral Forum,https://www.iahr.org/,www.iahr.org,高校机构,3,1874,1,weak,hydraulic,crawl_589a45a0f58a,review_candidate,weak domain-term match,,
482,American Cement Association,https://www.cement.org/,www.cement.org,高校机构,3,1770,1,weak,concrete,crawl_1309f73de97b,review_candidate,weak domain-term match,,
484,National Dam Safety Program,https://www.fema.gov/emergency-managers/risk-management/dam-safety,www.fema.gov,行业标准,8,5315,1,weak,dam,crawl_83d0d651d9a9,review_candidate,weak domain-term match,,
492,Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/index.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,411,1,weak,hydraulic,crawl_bfbd72428f9b,review_candidate,weak domain-term match,,
493,清华大学水利水电工程系,https://www.civil.tsinghua.edu.cn/he/,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,699,1,weak,水利,crawl_82072e48f56f,review_candidate,weak domain-term match,,
494,General Introduction-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/About/General_Introduction.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,8,5299,2,weak,dam;hydraulic,crawl_2b29a7a5bca0,review_candidate,weak domain-term match,,
495,History-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/About/History.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,7,4920,2,weak,dam;hydraulic,crawl_13cfcd7765e4,review_candidate,weak domain-term match,,
496,Committee-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/About/Committee.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,497,1,weak,hydraulic,crawl_76e9c6a26c43,review_candidate,weak domain-term match,,
497,Overview-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/Education/Overview.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,731,1,weak,hydraulic,crawl_a7f35c2e3f52,review_candidate,weak domain-term match,,
498,Undergraduate-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/Education/Undergraduate.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,9,5448,1,weak,hydraulic,crawl_a5e7803edbf7,review_candidate,weak domain-term match,,
499,清华大学土木水利学院,https://www.civil.tsinghua.edu.cn/,www.civil.tsinghua.edu.cn,高校机构;工程案例,2,1255,1,weak,水利,crawl_552a6c138e54,review_candidate,weak domain-term match,,
500,General Information-School of Civil Engineering Tsinghua University,https://www.civil.tsinghua.edu.cn/en/About/General_Information.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,4,2522,2,weak,dam;hydraulic,crawl_514de6bfbd2c,review_candidate,weak domain-term match,,
501,History of SCE-School of Civil Engineering Tsinghua University,https://www.civil.tsinghua.edu.cn/en/About/History_of_SCE.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,3,1616,1,weak,hydraulic,crawl_b1bef1c3b96f,review_candidate,weak domain-term match,,
505,Undergraduate-School of Civil Engineering Tsinghua University,https://www.civil.tsinghua.edu.cn/en/Education/Undergraduate.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,11,6353,2,weak,hydraulic;concrete,crawl_b13ec13e71fc,review_candidate,weak domain-term match,,
506,学校简介,https://www.hhu.edu.cn/xxjj_23318/list.htm,www.hhu.edu.cn,高校机构,4,2753,1,weak,水利,crawl_ec433cefd82d,review_candidate,weak domain-term match,,
507,大学章程,https://www.hhu.edu.cn/dxzc/list.htm,www.hhu.edu.cn,高校机构,20,15011,1,weak,水利,crawl_df556811860b,review_candidate,weak domain-term match,,
508,历史名人,https://www.hhu.edu.cn/23413/list.htm,www.hhu.edu.cn,高校机构,4,2378,2,weak,大坝;水利,crawl_b739e428e063,review_candidate,weak domain-term match,,
509,历任党政负责人,https://www.hhu.edu.cn/23414/list.htm,www.hhu.edu.cn,高校机构,7,5317,1,weak,水利,crawl_d32b44db71bc,review_candidate,weak domain-term match,,
514,NAV,https://en.hhu.edu.cn/343/list.htm,en.hhu.edu.cn,,5,3254,1,weak,hydraulic,,review_candidate,weak domain-term match,,
518,What is IAHR,https://www.iahr.org/index/detail/200,www.iahr.org,高校机构,16,10125,1,weak,hydraulic,crawl_d7f1bacda06e,review_candidate,weak domain-term match,,
521,Council,https://www.iahr.org/index/council,www.iahr.org,高校机构,1,377,1,weak,hydraulic,crawl_6b935d2930d5,review_candidate,weak domain-term match,,
522,IAHR Presidents since 1935,https://www.iahr.org/index/detail/98,www.iahr.org,高校机构,21,14225,2,weak,dam;hydraulic,crawl_2b6ccb027f8e,review_candidate,weak domain-term match,,
523,Build America - American Cement Association,https://www.cement.org/build-america/,www.cement.org,高校机构,9,5635,1,weak,concrete,crawl_3709fdf59581,review_candidate,weak domain-term match,,
524,Cement & Concrete - American Cement Association,https://www.cement.org/cement-concrete/,www.cement.org,高校机构,2,1397,1,weak,concrete,crawl_6e38b38607e0,review_candidate,weak domain-term match,,
525,Types of Cement - American Cement Association,https://www.cement.org/cement-concrete/types-of-cement/,www.cement.org,高校机构,13,8113,3,medium,dam;hydraulic;concrete,crawl_75f9ad0f7582,review_candidate,medium domain-term match,,
526,Uses in Infrastructure - American Cement Association,https://www.cement.org/cement-concrete/applications-of-cement/uses-in-infrastructure/,www.cement.org,高校机构,46,31120,3,medium,dam;hydraulic;concrete,crawl_a0b9b41ca437,review_candidate,medium domain-term match,,
532,Codes and Standards,https://www.asce.org/publications-and-news/codes-and-standards,www.asce.org,高校机构,78,56023,1,weak,concrete,crawl_4807c2238077,review_candidate,weak domain-term match,,
535,Frontiers | History,https://www.frontiersin.org/about/history,www.frontiersin.org,开放论文,21,14062,1,weak,dam,crawl_48dc85431ccb,review_candidate,weak domain-term match,,
545,Announcements,https://www.nature.com/srep/announcements/engineering,www.nature.com,开放论文,15,9909,1,weak,dam,crawl_1db2e8b14b77,review_candidate,weak domain-term match,,
550,清华新闻,https://www.tsinghua.edu.cn/xxgk/xxyg.htm,www.tsinghua.edu.cn,,3,2211,1,weak,水利,,review_candidate,weak domain-term match,,
552,Graduate-School of Civil Engineering Tsinghua University,https://www.civil.tsinghua.edu.cn/en/Education/Graduate.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,4,2248,2,weak,hydraulic;concrete,crawl_7d16474ead24,review_candidate,weak domain-term match,,
553,Graduate-Department of Hydraulic Engineering,https://www.civil.tsinghua.edu.cn/heen/Education/Graduate.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,3,2034,2,weak,hydraulic;concrete,crawl_dfc0928ce218,review_candidate,weak domain-term match,,
554,水利新闻-清华大学水利水电工程系,https://www.civil.tsinghua.edu.cn/he/gysl/slxw.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,684,1,weak,水利,crawl_90c7a79e1438,review_candidate,weak domain-term match,,
555,水利概况-清华大学水利水电工程系,https://www.civil.tsinghua.edu.cn/he/gysl/slgk.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,2,1028,1,weak,水利,crawl_71c5798150e0,review_candidate,weak domain-term match,,
556,历史沿革-清华大学水利水电工程系,https://www.civil.tsinghua.edu.cn/he/gysl/lsyg.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,3,1678,1,weak,水利,crawl_9f4330a067f7,review_candidate,weak domain-term match,,
557,学院新闻-清华大学土木水利学院,https://www.civil.tsinghua.edu.cn/gyxy/xyxw.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,413,1,weak,水利,crawl_2d8483ba449d,review_candidate,weak domain-term match,,
558,学院概况-清华大学土木水利学院,https://www.civil.tsinghua.edu.cn/gyxy/xygk.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,359,1,weak,水利,crawl_f8838395aa8a,review_candidate,weak domain-term match,,
559,院长致辞-清华大学土木水利学院,https://www.civil.tsinghua.edu.cn/gyxy/yzzc.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,542,1,weak,水利,crawl_1f534a8672ae,review_candidate,weak domain-term match,,
560,历史沿革-清华大学土木水利学院,https://www.civil.tsinghua.edu.cn/gyxy/lsyg.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,568,1,weak,水利,crawl_9efa22c308a4,review_candidate,weak domain-term match,,
561,委员会-清华大学土木水利学院,https://www.civil.tsinghua.edu.cn/gyxy/wyh.htm,www.civil.tsinghua.edu.cn,高校机构;工程案例,1,488,1,weak,水利,crawl_66cca66cb2d9,review_candidate,weak domain-term match,,
562,院系设置,https://www.hhu.edu.cn/190/list.htm,www.hhu.edu.cn,高校机构,1,433,1,weak,水利,crawl_a5079028af7e,review_candidate,weak domain-term match,,
