query_id,question,category,expected_source_type,provider,model_name,retrieval_mode,top_k,precision_at_1,precision_at_3,precision_at_5,coverage_ratio,covered_points,missing_points,source_type_distribution,top1_source_type,top1_document_title,top_titles,latency_ms,status,error
stage41_cn_rfc_flow_filling,自密实堆石混凝土的复杂流动和填充性能可以参考哪些研究？,new_cn_rfc,institutional_access_pdf,deterministic,hash-token-v1,hybrid_rrf_tail,8,true,true,true,1.000,填充性能;自密实;界面微观,,institutional_access_pdf:5;local_file:1;metadata_record:1;web_page:1,institutional_access_pdf,自密实混凝土填充性能及堆石混凝土界面微观特性研究,自密实混凝土填充性能及堆石混凝土界面微观特性研究 || 堆石混凝土中自密实混凝土充填性能的离散元模拟研究 || Experimental study of filling capacity of self-compacting concrete and its influ || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete. || 基于介观模型的界面和骨料对堆石混凝土压拉强度敏感性影响研究 || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || 堆石混凝土坝施工期温度场、应力场分析及裂缝控制 || 自密实砂浆充填堆石混凝土试验研究,12476.60,completed,
stage41_cn_rfc_mps_dem,基于 MPS-DEM 的堆石混凝土流动填充性能数值模拟关注什么问题？,new_cn_rfc,institutional_access_pdf,deterministic,hash-token-v1,hybrid_rrf_tail,8,false,false,true,1.000,数值模拟;流动;填充性能,,institutional_access_pdf:4;local_file:2;metadata_record:1;web_page:1,institutional_access_pdf,堆石混凝土流动填充与温升过程原型监测,堆石混凝土流动填充与温升过程原型监测 || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process fo || Experimental study of filling capacity of self-compacting concrete and its influ || 基于MPS-DEM的堆石混凝土流动填充性能数值模拟 || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || 堆石混凝土综合性能的研究现状 || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete. || 堆石混凝土综合性能的研究现状 (1),12581.57,completed,
stage41_cn_rfc_porosity_damage,孔隙率和孔径如何影响 rock-filled concrete 的损伤表征？,new_en_rfc,open_access_pdf,deterministic,hash-token-v1,hybrid_rrf_tail,8,false,false,false,1.000,porosity;aperture;damage characterization,,institutional_access_pdf:6;metadata_record:1;open_access_pdf:1,institutional_access_pdf,堆石混凝土坝施工期温度场、应力场分析及裂缝控制,堆石混凝土坝施工期温度场、应力场分析及裂缝控制 || 堆石混凝土缺陷对尺寸效应的影响研究 || 双膨胀源材料层面堆石混凝土剪切性能及微观结构研究 (1) || 胶结面缺陷对堆石混凝土宏观力学性能影响研究 || 胶结面缺陷对堆石混凝土宏观力学性能影响研究 || Study on the effect of porosity and aperture on the damage characterization of r || 胶结面缺陷对堆石混凝土宏观力学性能影响研究 || Liu 等 - 2024 - Study on the effect of porosity and aperture on the damage charac,10911.92,completed,
stage41_cn_rfc_scc_rock_composite,有哪些 SCC 与 rock composite specimens 损伤表征研究？,new_en_rfc,open_access_pdf,deterministic,hash-token-v1,hybrid_rrf_tail,8,false,false,true,1.000,CPU;GPU;damage characterization,,institutional_access_pdf:6;metadata_record:1;open_access_pdf:1,institutional_access_pdf,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究 || 堆石混凝土抗拉性能及劈裂抗拉破坏机理 || 堆石混凝土抗压强度影响因素细观分析 || Wang 等 - 2025 - Research on damage characterization of SCC and rock composite sp || Research on damage characterization of SCC and rock composite specimens based on || 堆石混凝土岩块-SCC交界面Ⅰ型断裂性能研究 || 堆石混凝土岩块-SCC交界面Ⅰ型断裂性能研究 || 堆石混凝土岩块-SCC交界面Ⅰ型断裂性能研究,8919.85,completed,
stage41_cn_dam_temperature,堆石混凝土坝施工期温度场、应力场和裂缝控制可以参考哪些资料？,new_cn_dam,institutional_access_pdf,deterministic,hash-token-v1,hybrid_rrf_tail,8,true,true,true,0.667,温度场;应力场,裂缝控制,institutional_access_pdf:5;local_file:1;metadata_record:2,institutional_access_pdf,堆石混凝土拱坝施工期温度应力研究,"堆石混凝土拱坝施工期温度应力研究 || 堆石混凝土坝建设与技术标准体系发展与展望 (1) || 堆石混凝土坝建设与技术标准体系发展与展望 || 胶结面缺陷对堆石混凝土宏观力学性能影响研究 || Integrated evaluation of cost, schedule and emission performance on rock-filled  || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Co || Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental  || 堆石混凝土技术碳减排效益评价",10714.92,completed,
stage41_cn_dam_seepage,堆石混凝土坝渗流分析和模拟有哪些文献？,new_cn_dam,institutional_access_pdf,deterministic,hash-token-v1,hybrid_rrf_tail,8,true,true,true,0.667,分析;模拟,渗流,institutional_access_pdf:5;local_file:1;metadata_record:2,institutional_access_pdf,一类改进的堆石混凝土细观力学模型构建方法,一类改进的堆石混凝土细观力学模型构建方法 || 围滩水电站自密实堆石混凝土劈裂抗拉性能试验分析 || 一类改进的堆石混凝土细观力学模型构建方法 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into fil || 堆石混凝土渐进破坏细观机理研究 || A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of  || 基于内聚力模型的堆石混凝土层间界面剪切力学性能研究,9790.79,completed,
stage41_cn_dam_monitoring,堆石混凝土重力坝监测资料正反分析和安全评价可以检索到什么？,new_cn_dam,institutional_access_pdf,deterministic,hash-token-v1,hybrid_rrf_tail,8,true,true,true,1.000,监测;安全评价;重力坝,,institutional_access_pdf:5;local_file:1;metadata_record:2,institutional_access_pdf,堆石混凝土重力坝监测资料的正反分析和安全评价,堆石混凝土重力坝监测资料的正反分析和安全评价 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土施工技术在恒山水库加固中的效益分析 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Analyzing the filling performance parameters of self-compacted mortar in rock fi || 堆石混凝土施工技术在浯溪口大坝工程中的应用研究 || Selection of Rock-fill Concrete Dam Type of Mengman Second Cascade Hydropower St,8313.60,completed,
stage41_cn_quality_control,堆石混凝土坝质量控制与检验应查哪些新增资料？,new_cn_dam,institutional_access_pdf,deterministic,hash-token-v1,hybrid_rrf_tail,8,false,false,true,0.667,质量控制;堆石混凝土坝,检验,institutional_access_pdf:5;local_file:1;metadata_record:1;web_page:1,institutional_access_pdf,堆石混凝土重力坝监测资料的正反分析和安全评价,堆石混凝土重力坝监测资料的正反分析和安全评价 || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Co || 堆石混凝土在罗家店水电站中的应用 || 智能化监控在永丰水库堆石混凝土施工质量控制中的应用 || 堆石混凝土徐变影响因素数值分析 (1) || Quality Control and Instrumentation || 堆石混凝土徐变影响因素数值分析 || On-site experiment methods on the compaction detection of rock-filled concrete,10574.08,completed,
stage41_cn_construction_management,堆石混凝土施工管理中视觉信息处理方法有哪些研究？,new_cn_rfc,institutional_access_pdf,deterministic,hash-token-v1,hybrid_rrf_tail,8,true,true,true,1.000,施工管理;视觉信息;应用研究,,institutional_access_pdf:4;local_file:2;metadata_record:1;open_access_pdf:1,institutional_access_pdf,堆石混凝土施工管理中视觉信息的处理方法及应用研究,"堆石混凝土施工管理中视觉信息的处理方法及应用研究 || 堆石混凝土施工管理中视觉信息的处理方法及应用研究 || 堆石混凝土施工管理中视觉信息的处理方法及应用研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamic || Analyzing the filling performance parameters of self-compacted mortar in rock fi",8589.63,completed,
stage41_cn_carbon_emission,混凝土大坝生命周期碳排放评价可以检索哪些新增中文资料？,new_cn_dam,institutional_access_pdf,deterministic,hash-token-v1,hybrid_rrf_tail,8,true,true,true,1.000,生命周期;碳排放;评价方法,,institutional_access_pdf:7;metadata_record:1,institutional_access_pdf,堆石混凝土技术碳减排效益评价,"堆石混凝土技术碳减排效益评价 || 堆石混凝土技术碳减排效益评价 || 堆石混凝土筑坝技术的环境影响评价 || 堆石混凝土筑坝技术的环境影响评价 || 堆石混凝土筑坝技术的环境影响评价 || 堆石混凝土技术碳减排效益评价 || Integrated evaluation of cost, schedule and emission performance on rock-filled  || 基于生命周期的混凝土大坝碳排放评价方法研究",9249.14,completed,
