eval_id,image_filename,category,question,expected_refusal,expected_description_keywords,expected_text_keywords,expected_similar_figure_topic,notes
user_crack_001,crack_01.jpg,crack,"Please describe the visible concrete crack and retrieve relevant RFC or hydraulic concrete crack evidence.",false,"crack|裂缝|concrete|混凝土","crack|裂缝|concrete|混凝土","crack|裂缝|defect|缺陷","surface crack photo"
user_crack_002,crack_02.jpg,crack,"Analyze this cracked concrete surface and find related knowledge-base evidence.",false,"crack|裂缝|surface|表面","crack|裂缝|concrete|混凝土","crack|裂缝|surface|表面","cracked concrete texture"
user_crack_003,crack_03.jpg,crack,"This looks like a crack-detection sample grid. Summarize what is visible and retrieve related concrete crack material.",false,"crack|裂缝|dataset|样本","crack|裂缝|concrete|混凝土","crack|裂缝|classification|检测","public crack dataset montage"
user_crack_004,crack_04.jpg,crack,"Describe the processed crack image and retrieve evidence about concrete crack recognition.",false,"crack|裂缝|processed|preprocessing|处理","crack|裂缝|concrete|混凝土","crack|裂缝|detection|检测","public preprocessing sample"
user_crack_005,crack_05.jpg,crack,"Explain the concrete crack examples in this figure and return similar corpus figures if available.",false,"crack|裂缝|concrete|混凝土","crack|裂缝|concrete|混凝土","crack|裂缝|segmentation|分割","public dataset figure"
user_surface_001,surface_01.jpg,aggregate_surface,"Analyze the concrete honeycomb or surface void texture and retrieve material-quality context.",false,"honeycomb|void|孔洞|蜂窝|surface|表面","aggregate|骨料|concrete|混凝土|void|孔隙","aggregate|骨料|surface|表面","honeycomb surface"
user_surface_002,surface_02.jpg,aggregate_surface,"Describe whether this concrete surface appears intact or cracked and connect it to concrete surface quality.",false,"surface|表面|concrete|混凝土|crack|裂缝","aggregate|骨料|concrete|混凝土|surface|表面","surface|表面|concrete|混凝土","negative surface sample from crack dataset"
user_surface_003,surface_03.jpg,aggregate_surface,"Summarize the concrete image-processing workflow and retrieve related concrete image evidence.",false,"concrete|混凝土|image|图像|workflow|流程","image|图像|concrete|混凝土|crack|裂缝","image|图像|classification|识别","public objective/workflow figure"
user_equipment_001,equipment_01.jpg,test_equipment,"Describe the concrete compression test equipment and retrieve related strength-test evidence.",false,"compression|抗压|test|试验|cylinder|试件","compressive strength|抗压强度|strength test|强度试验","compression|抗压|test|试验","compression testing photo"
user_equipment_002,equipment_02.jpg,test_equipment,"Identify the civil engineering concrete laboratory equipment and find relevant testing context.",false,"lab|laboratory|实验室|equipment|设备|concrete|混凝土","test|试验|equipment|设备|concrete|混凝土","test|试验|equipment|设备","concrete technology lab"
user_equipment_003,equipment_03.jpg,test_equipment,"Analyze the failed concrete cylinder and retrieve evidence about strength failure.",false,"failed|failure|破坏|cylinder|试件|compression|抗压","failure|破坏|compressive strength|抗压强度|test|试验","failure|破坏|compression|抗压","failed concrete cylinder"
user_site_001,site_01.jpg,construction_site,"Describe the construction or inspection context in this concrete-crack result figure and retrieve similar evidence.",false,"crack|裂缝|prediction|识别|concrete|混凝土","construction|施工|crack|裂缝|concrete|混凝土","crack|裂缝|inspection|检测","model prediction figure"
user_site_002,site_02.jpg,construction_site,"Summarize the labeled-crack-in-the-wild evaluation table/figure and connect it to concrete inspection evidence.",false,"crack|裂缝|table|表格|evaluation|评测","crack|裂缝|evaluation|评测|concrete|混凝土","table|表格|crack|裂缝","LCW results table"
user_site_003,site_03.jpg,construction_site,"Describe the concrete crack field examples and retrieve knowledge-base figures about cracks or inspection.",false,"crack|裂缝|concrete|混凝土|field|现场","crack|裂缝|concrete|混凝土|inspection|检测","crack|裂缝|inspection|检测","LCW figure"
user_chart_001,chart_01.jpg,chart,"Analyze this concrete-crack evaluation chart/table and retrieve relevant result-table context.",false,"table|表格|chart|图表|crack|裂缝","table|表格|evaluation|评测|crack|裂缝","table|表格|chart|图表","LCW metric table"
user_chart_002,chart_02.jpg,chart,"Describe the concrete slump types shown in this chart and retrieve related workability evidence.",false,"slump|坍落|concrete|混凝土|chart|图","slump|坍落|workability|流动性|concrete|混凝土","slump|坍落|flow|流动","slump type chart"
user_chart_003,chart_03.jpg,chart,"Describe the compression-test image as a test-result visual and retrieve strength-test evidence.",false,"compression|抗压|test|试验|cylinder|试件","compressive strength|抗压强度|test|试验|strength|强度","compression|抗压|strength|强度","compression image used as chart-like case"
user_negative_001,negative_01.jpg,negative,"What engineering concrete defect can you diagnose from this landscape image?",true,"landscape|风景|non-concrete|非混凝土","concrete|混凝土|crack|裂缝","none","out-of-domain landscape"
user_negative_002,negative_02.jpg,negative,"Use this animal photo to retrieve RFC concrete crack evidence.",true,"animal|cat|猫|non-concrete|非混凝土","concrete|混凝土|crack|裂缝","none","out-of-domain animal"
user_negative_003,negative_03.jpg,negative,"Analyze these smartphones as if they were concrete testing devices.",true,"phone|smartphone|手机|non-concrete|非混凝土","concrete|混凝土|test|试验","none","out-of-domain smartphones"
