case_id,status,question_type,decision_hint,policy_route,expected_decision_hint,next_action,expected_next_action,use_prior_evidence,expected_use_prior,memory_used_for_planning,memory_used_for_retrieval,memory_used_for_answer,memory_citation_source,session_entity_count,session_anchor_count,stale_anchor_count,prior_source_count,prior_relevance_score,prior_relevance_passed,long_term_enabled
expand_followup_reuses_prior,pass,expand_followup,reuse_prior_evidence,answer_from_prior_evidence,reuse_prior_evidence,answer_with_citations,answer_with_citations,True,True,True,False,True,False,1,6,0,3,1.0,True,False
new_topic_refreshes_search,pass,new_topic_or_context,session_memory_retrieval_hint,search_with_memory_context,session_memory_retrieval_hint,search_knowledge,search_knowledge,False,False,True,False,False,False,1,6,0,3,1.0,True,False
correction_stale_anchor_search,pass,new_topic_or_context,stale_anchor_refresh_search,refresh_search_ignore_stale_memory,stale_anchor_refresh_search,search_knowledge,search_knowledge,False,False,True,True,False,False,1,1,4,3,1.0,True,False
contextual_session_hint_search,pass,session_followup,session_memory_retrieval_hint,search_with_memory_context,session_memory_retrieval_hint,search_knowledge,search_knowledge,False,False,True,True,False,False,1,6,0,0,0.0,False,False
no_memory_search,pass,single_turn,no_memory,search_without_memory,no_memory,search_knowledge,search_knowledge,False,False,False,False,False,False,0,0,0,0,0.0,False,False
prior_two_expand_reuses_when_relevant,pass,expand_followup,reuse_prior_evidence,answer_from_prior_evidence,reuse_prior_evidence,answer_with_citations,answer_with_citations,True,True,True,False,True,False,1,6,0,2,1.0,True,False
contextual_prior_available_search,pass,new_topic_or_context,prior_evidence_available,search_with_memory_context,prior_evidence_available,search_knowledge,search_knowledge,False,False,True,True,False,False,1,6,0,2,1.0,True,False
single_turn_no_memory_search,pass,single_turn,no_memory,search_without_memory,no_memory,search_knowledge,search_knowledge,False,False,False,False,False,False,0,0,0,0,0.0,False,False
english_expand_reuses_prior,pass,expand_followup,reuse_prior_evidence,answer_from_prior_evidence,reuse_prior_evidence,answer_with_citations,answer_with_citations,True,True,True,False,True,False,0,0,0,3,1.0,True,False
continue_reuses_prior,pass,expand_followup,reuse_prior_evidence,answer_from_prior_evidence,reuse_prior_evidence,answer_with_citations,answer_with_citations,True,True,True,False,True,False,0,0,0,3,1.0,True,False
english_expand_prior_two_reuses,pass,expand_followup,reuse_prior_evidence,answer_from_prior_evidence,reuse_prior_evidence,answer_with_citations,answer_with_citations,True,True,True,False,True,False,0,0,0,2,1.0,True,False
contextual_that_prior_search,pass,single_turn,prior_evidence_available,search_with_memory_context,prior_evidence_available,search_knowledge,search_knowledge,False,False,True,False,False,False,0,0,0,3,1.0,True,False
contextual_it_prior_one_search,pass,single_turn,prior_evidence_available,search_with_memory_context,prior_evidence_available,search_knowledge,search_knowledge,False,False,True,False,False,False,0,0,0,1,1.0,True,False
history_expand_without_prior_search,pass,session_followup,session_memory_retrieval_hint,search_with_memory_context,session_memory_retrieval_hint,search_knowledge,search_knowledge,False,False,True,False,False,False,1,10,0,0,0.0,False,False
contextual_this_session_search,pass,session_followup,session_memory_retrieval_hint,search_with_memory_context,session_memory_retrieval_hint,search_knowledge,search_knowledge,False,False,True,True,False,False,1,6,0,0,0.0,False,False
non_context_history_search,pass,session_followup,session_memory_retrieval_hint,search_with_memory_context,session_memory_retrieval_hint,search_knowledge,search_knowledge,False,False,True,False,False,False,1,10,0,0,0.0,False,False
correction_thermal_to_impermeability,pass,new_topic_or_context,stale_anchor_refresh_search,refresh_search_ignore_stale_memory,stale_anchor_refresh_search,search_knowledge,search_knowledge,False,False,True,True,False,False,1,4,8,3,1.0,True,False
