query_id,question,language_type,decompose_applied,sub_query_count,sub_queries,evidence_rank,evidence_title,evidence_sub_query_count,topic_terms,both_match,source_type,raw_score,final_score,deduplicated_count,provenance_present,source_hit_matched,answer_coverage_proxy,review_note
user_cn_colloquial_compactness,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,zh_colloquial,yes,2,rock-filled concrete filling performance || rock-filled concrete compactness compaction detection,1,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,1,"rock-filled concrete,filling,堆石混凝土,填充能力,填充",True,local_file,0.9432,1.5825,15,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_cn_colloquial_compactness,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,zh_colloquial,yes,2,rock-filled concrete filling performance || rock-filled concrete compactness compaction detection,2,On-site experiment methods on the compaction detection of rock-filled concrete,1,"rock-filled concrete,rfc,compactness,compaction,compaction detection,on-site,on-site experiment,detection",True,metadata_record,0.9799,1.5200,15,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_cn_colloquial_compactness,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,zh_colloquial,yes,2,rock-filled concrete filling performance || rock-filled concrete compactness compaction detection,3,堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,2,"rock-fill concrete,堆石混凝土,充填,填充",True,local_file,0.7635,1.4491,15,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_cn_colloquial_compactness,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,zh_colloquial,yes,2,rock-filled concrete filling performance || rock-filled concrete compactness compaction detection,4,自密实混凝土充填堆石体试验研究,1,"堆石混凝土,填充能力,充填,填充",True,local_file,0.7268,1.3617,15,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_cn_colloquial_compactness,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,zh_colloquial,yes,2,rock-filled concrete filling performance || rock-filled concrete compactness compaction detection,5,,1,"rock-filled concrete,rfc,filling,performance",True,metadata_record,0.8227,1.3596,15,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_mixed_itz_strength,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,mixed,no,1,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,1,"Experimental Study on Effects of Casting Procedures on Compressive Strength, Water Permeability, and Interfacial Transition Zone Porosity of Rock-Filled Concrete",1,"rfc,itz,strength,compressive,interfacial,interfacial transition zone",True,metadata_record,1.0685,1.5200,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_mixed_itz_strength,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,mixed,no,1,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,2,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,1,"rfc,scc,itz,strength,compressive,interface",True,open_access_pdf,0.8650,1.3896,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_mixed_itz_strength,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,mixed,no,1,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,3,Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete (RFC),1,"rfc,scc,mechanical,strength,compressive",True,metadata_record,0.7710,1.2415,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_mixed_itz_strength,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,mixed,no,1,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,4,Experimental study of the interfacial transition zone (ITZ) of model rock-filled concrete (RFC),1,"rfc,scc,strength,compressive",True,open_access_pdf,0.6931,1.2286,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_mixed_itz_strength,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,mixed,no,1,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,5,,1,"rfc,scc,strength,compressive",True,metadata_record,0.6528,1.1310,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
