query_id,query,intent,config_mode,top_k,retrieval_mode_actual,refused,refusal_reason,source_types_top8,deep_fulltext_in_top8,metadata_in_top8,rank_first_deep_fulltext,rank_first_metadata,top_source_titles,citations_count,expected_keywords,coverage_keywords_hit,coverage_keywords_total,answer_excerpt,duration_s,model_provider,model_name,error,notes
cn_explore_filling_capacity,堆石混凝土的填充能力受哪些因素影响？,on_topic,deterministic,8,hybrid,false,,local_file;metadata_record;open_access_pdf;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,1,6,3,2,Experimental study of filling capacity of self-compacting concrete and its influ | Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete | Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete | Experimental study of filling capacity of self-compacting concrete and its influ | Filling capacity analysis of self-compacting concrete in rock-filled concrete ba | Evaluating the Filling Performance of Steel Fiber-Reinforced Self-Compacted Mort | Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios | Analyzing the filling performance parameters of self-compacted mortar in rock fi,1,填充;自密实;流动;空隙;粒径,1,5,Deterministic answer based on source [1]: 堆石混凝土的填充能力受哪些因素影响？,7.388,deterministic,rule-based-chat-v1,,跨段证据：自密实流动性 + 堆石级配 + 空隙率
cn_explore_rfc_vs_rcc,堆石混凝土与碾压混凝土在材料组成和施工工艺上有什么区别？,on_topic,deterministic,8,hybrid,false,,local_file;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;open_access_pdf;open_access_pdf,2,5,7,2,"Rock-filled concrete, the new norm of SCC in hydraulic engineering in China | Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios | Pilot Study on Vibrated Rock-filled Concrete | Study on the effect of porosity and aperture on the damage characterization of r | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACTING ROCK-FILL CONCRE | Behavior of Self-compacting Rock-fill Concrete Beam under Normal Section Stressi | Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete",1,堆石;碾压;自密实;施工;工艺,4,5,Deterministic answer based on source [1]: 堆石混凝土与碾压混凝土在材料组成和施工工艺上有什么区别？,8.394,deterministic,rule-based-chat-v1,,易混淆术语：RFC vs RCC
cn_explore_scc_role,自密实混凝土在堆石混凝土中起到什么作用？,on_topic,deterministic,8,hybrid,false,,local_file;local_file;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,0,6,0,3,"Rock-filled concrete, the new norm of SCC in hydraulic engineering in China | Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process fo | Behavior of Self-compacting Rock-fill Concrete Beam under Normal Section Stressi | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACTING ROCK-FILL CONCRE | Study on the Material Mechanical Performance of Large Scale Self-Compacting Rock | Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete | Testing the Self-compacting Rock-fill Concrete Strength by the Rebound Method | Monitoring the flow patterns of high performance self-compacting concrete in the",1,自密实;流动;填充;堆石,2,4,Deterministic answer based on source [1]: 自密实混凝土在堆石混凝土中起到什么作用？,8.868,deterministic,rule-based-chat-v1,,基本概念：SCC 的作用
cn_explore_itz_strength,堆石混凝土的界面过渡区对抗压强度有什么影响？,on_topic,deterministic,8,hybrid,false,,metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;open_access_pdf;open_access_pdf;metadata_record,2,6,6,1,"Experimental Study on Effects of Casting Procedures on Compressive Strength, Wat | Experimental study of the interfacial transition zone (ITZ) of model rock-filled | 3D mesoscopic numerical investigation on the uniaxial compressive behavior of ro | Study on the Influence of Specimen Size and Aggregate Size on the Compressive St | Testing the Self-compacting Rock-fill Concrete Strength by the Rebound Method | 3D mesoscopic numerical investigation on the uniaxial compressive behavior of ro | Study on the Influence of Specimen Size and Aggregate Size on the Compressive St | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACTING ROCK-FILL CONCRE",1,界面;过渡区;ITZ;抗压;强度,4,5,Deterministic answer based on source [1]: 堆石混凝土的界面过渡区对抗压强度有什么影响？,9.188,deterministic,rule-based-chat-v1,,参数细节 + 微观结构（承接阶段 16 ITZ 议题）
cn_explore_temperature_control,堆石混凝土在大体积浇筑时如何进行温控防裂？,on_topic,deterministic,8,hybrid,false,,metadata_record;metadata_record;open_access_pdf;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,1,7,3,1,A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of  | Preliminary study on temperature rise property of thermal insulation of rock-fil | The Influence of Construction Parameters on the Temperature Field of Rock-Filled | Mesoscopic thermal field reconstruction and parametrical studies of heterogeneou | Rock-filled concrete in the mass concrete temperature field analysis | Measurement and Evaluation of the Thermal Expansion Coefficient of Rock-Filled C | Field prototype experiment of rockfill temperature before SCC filling for rock-f | The Influence of Construction Parameters on the Temperature Field of Rock-Filled,1,温度;温控;水化;裂缝;大体积,2,5,Deterministic answer based on source [1]: 堆石混凝土在大体积浇筑时如何进行温控防裂？,8.708,deterministic,rule-based-chat-v1,,跨段证据：水化热 + 温控措施 + 裂缝控制
cn_explore_freeze_thaw,堆石混凝土的抗冻性能如何评价？,on_topic,deterministic,8,hybrid,false,,metadata_record;metadata_record;metadata_record;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,5,3,4,1,Experimental Research on Freeze-thaw Resistence Property and Impermeability for  | Advancing rock-filled concrete (RFC) technology: Comprehensive insights into fil | Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios | 堆石混凝土技术在防波堤胸墙中的应用研究 | 双膨胀源材料层面堆石混凝土剪切性能及微观结构研究 (1) | 双膨胀源材料层面堆石混凝土剪切性能及微观结构研究 | 堆石混凝土力学性能研究进展 (1) | 堆石混凝土力学性能研究进展,1,抗冻;冻融;耐久;循环,1,4,Deterministic answer based on source [1]: 堆石混凝土的抗冻性能如何评价？,8.798,deterministic,rule-based-chat-v1,,参数细节：抗冻指标
cn_explore_engineering_cases,堆石混凝土坝有哪些工程应用案例？,on_topic,deterministic,8,hybrid,false,,metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;open_access_pdf;open_access_pdf;metadata_record,2,6,6,1,Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios | Pilot Study on Vibrated Rock-filled Concrete | Study on the effect of porosity and aperture on the damage characterization of r | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACTING ROCK-FILL CONCRE | Behavior of Self-compacting Rock-fill Concrete Beam under Normal Section Stressi | Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Study on rock-fill concrete dam,1,工程;应用;坝;案例;施工,4,5,Deterministic answer based on source [1]: 堆石混凝土坝有哪些工程应用案例？,7.535,deterministic,rule-based-chat-v1,,工程案例类
cn_explore_fiber_tailings,加入钢纤维或铁尾矿对堆石混凝土性能有什么影响？,on_topic,deterministic,8,hybrid,false,,metadata_record;local_file;metadata_record;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,5,2,4,1,"Evaluating the Filling Performance of Steel Fiber-Reinforced Self-Compacted Mort | Rock-filled concrete, the new norm of SCC in hydraulic engineering in China | Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios | 堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究 | 堆石混凝土徐变性能的试验研究 | 堆石混凝土坝建设与技术标准体系发展与展望 (1) | 堆石混凝土坝建设与技术标准体系发展与展望 | 堆石混凝土绝热温升试验与温升机制研究",1,钢纤维;尾矿;性能;强度,3,4,Deterministic answer based on source [1]: 加入钢纤维或铁尾矿对堆石混凝土性能有什么影响？,7.699,deterministic,rule-based-chat-v1,,跨段证据 + 改性材料
cn_explore_refusal_mix_design,请判断本工程的堆石混凝土配合比设计是否符合规范？,refusal_expected,deterministic,8,hybrid,false,,metadata_record;open_access_pdf;metadata_record;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;open_access_pdf,6,2,2,1,On-site experiment methods on the compaction detection of rock-filled concrete | Pilot Study on Vibrated Rock-filled Concrete | Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios | 基于随机骨料投放的堆石混凝土力学性能研究 | 堆石混凝土堤坝渗流的分析及加固研究 (1) | 堆石混凝土堤坝渗流的分析及加固研究 | 浅谈堆石混凝土施工中的质量控制 | 探析水利混凝土工程的施工要点及其裂缝控制,1,,0,0,Deterministic answer based on source [1]: 请判断本工程的堆石混凝土配合比设计是否符合规范？,8.994,deterministic,rule-based-chat-v1,,工程责任判断，应当拒答（系统提示不替代规范审查）
cn_explore_refusal_weather,今天上海的天气怎么样？,refusal_expected,deterministic,8,hybrid,true,Question appears off-topic: retrieved chunks share no domain-specific evidence term or Chinese bigram with the query.,institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;open_access_pdf;open_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,8,0,1,0,堆石混凝土施工技术在新疆公路工程中的应用 (2) | 堆石混凝土绝热温升试验与温升机制研究 | 堆石混凝土渐进破坏细观机理研究 | A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete | A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete | 堆石混凝土立方体抗压性能尺寸效应研究 | 堆石混凝土综合性能的研究现状 | 堆石混凝土综合性能的研究现状 (1),0,,0,0,当前资料库中没有找到足够可靠的依据。,4.281,deterministic,rule-based-chat-v1,,off-topic，应当拒答（主题门 has_topic_anchor）
