query_id,question,category,expected_source_type,expected_refused,provider,model_name,retrieval_mode,top_k,precision_at_1,precision_at_3,precision_at_5,coverage_ratio,covered_points,missing_points,refused,refusal_matched,source_type_distribution,top1_source_type,top1_document_title,top_titles,latency_ms,status,error
stage29_wiki_rcc_dam,What is roller-compacted concrete and how is it placed in dam construction?,wikipedia,wikipedia,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,0.750,roller-compacted concrete;dump trucks or conveyors;vibratory rollers,dry mix,,,open_access_pdf:1;web_page:2;wikipedia:2,wikipedia,Dam applications,Dam applications || Uses in Infrastructure - American Cement Association || Introduction || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Dam applications,2229.37,completed,
stage29_wiki_arch_dam,拱坝为什么适合建在稳定岩石峡谷中？,wikipedia,wikipedia,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,0.500,拱形结构;两岸基岩,水压传递;节省材料,,,institutional_access_pdf:4;wikipedia:1,wikipedia,拱坝的分类,拱坝的分类 || 堆石混凝土高拱坝设计与施工质量管控关键技术 || 洒谷水库应用堆石混凝土技术初探 || 堆石混凝土在某高坝上的应用研究与抗震分析 || 堆石混凝土在某高坝上的应用研究与抗震分析,1995.98,completed,
stage29_wiki_hydraulic_engineering,水利工程主要研究哪些对象和基础原理？,wikipedia,wikipedia,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,0.800,水坝;河道;流体力学;重力,流体流动,,,institutional_access_pdf:1;web_page:2;wikipedia:2,wikipedia,基本原理,基本原理 || 水工结构工程分析计算方法回眸与发展 || 本科生教育-清华大学水利水电工程系 || 基本原理 || 本科生教育-清华大学土木水利学院,2324.01,completed,
stage29_wiki_concrete_cover,What is the purpose of concrete cover for reinforcement bars?,wikipedia,wikipedia,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,0.750,reinforcement bars;corrosion;cover,protection,,,wikipedia:5,wikipedia,Purpose of provision of concrete cover,Purpose of provision of concrete cover || Purpose of provision of concrete cover || Purpose of provision of concrete cover || Corrosion of reinforcement bars || Corrosion of reinforcement bars,2870.54,completed,
stage29_wiki_dam_applications,How did RCC dam construction develop and what construction method does it resemble?,wikipedia,wikipedia,false,jina,jina-embeddings-v3,hybrid,5,false,true,true,0.750,dam construction;Alpe Gera Dam;road paving,compaction,,,open_access_pdf:1;web_page:2;wikipedia:2,web_page,Introduction,Introduction || Introduction || Dam applications || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibratin || Dam applications,3057.29,completed,
stage29_standard_eap,What is the purpose of FEMA emergency action planning guidance for dam owners?,standard,standard_document,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,1.000,Emergency Action Plans;dam owners;emergency management authorities;develop and exercise,,,,standard_document:5,standard_document,FEMA P-64 Emergency Action Planning for Dams,FEMA P-64 Emergency Action Planning for Dams || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA P-64 Emergency Action Planning for Dams || FEMA P-64 Emergency Action Planning for Dams,2942.33,completed,
stage29_standard_earthquake,What do FEMA earthquake analysis guidelines say about dam safety practices?,standard,standard_document,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,0.750,earthquake analyses;dam safety;federal agencies,management practices,,,standard_document:5,standard_document,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA P-64 Emergency Action Planning for Dams || FEMA P-65 Earthquake Analyses and Design of Dams || FEMA P-65 Earthquake Analyses and Design of Dams || FEMA P-65 Earthquake Analyses and Design of Dams,2951.18,completed,
stage29_standard_living_with_dams,According to FEMA Living With Dams who regulates or owns most dams in the United States?,standard,standard_document,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,0.750,state dam safety programs;maintenance;upgrades,private ownership,,,standard_document:5,standard_document,FEMA Living with Dams Know Your Risks,FEMA Living with Dams Know Your Risks || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Living with Dams Know Your Risks || FEMA Living with Dams Know Your Risks || FEMA Living with Dams Know Your Risks,3086.75,completed,
stage29_standard_pocket_guide,What is the FEMA Pocket Safety Guide for Dams and Impoundments intended to provide?,standard,standard_document,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,0.750,pocket safety guide;dams and impoundments;guidance,cooperating agencies,,,standard_document:5,standard_document,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Incident Planning Guide || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,3107.19,completed,
stage29_standard_inundation_mapping,What should dam safety inundation mapping help communicate about flood risks?,standard,standard_document,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,0.750,inundation mapping;flood risks;dam safety,emergency planning,,,standard_document:5,standard_document,FEMA Dam Safety Inundation Mapping and Flood Risks,FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Dam Safety Inundation Mapping and Flood Risks || FEMA Dam Incident Planning Guide,2831.15,completed,
stage29_web_rfc_advantages,Why does the retained web article describe rock-filled concrete dams as stronger cheaper and more environmentally friendly?,web,web_page,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,0.750,local rocks;special concrete;large dams,construction breakthroughs,,,web_page:5,web_page,Filling the gaps in large concrete dams,Filling the gaps in large concrete dams || Filling the gaps in large concrete dams || Filling the gaps in large concrete dams || Introduction || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Co,3357.20,completed,
stage29_web_rfc_inventors,Who invented rock-filled concrete according to the retained web corpus and what example dam is mentioned?,web,web_page,false,jina,jina-embeddings-v3,hybrid,5,false,false,false,0.000,,Feng Jin;Xuehui An;Tsinghua University;Baijia RFC arch dam,,,web_page:5,web_page,The History of Rock-Filled Concrete Dams,The History of Rock-Filled Concrete Dams || The History of Rock-Filled Concrete Dams || Introduction || The History of Rock-Filled Concrete Dams || The History of Rock-Filled Concrete Dams,3242.29,completed,
stage29_web_jin_feng_standards,Which rock-filled concrete standards or bulletins is Jin Feng associated with editing?,web,web_page,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,1.000,Technical Guidelines for Cemented Material Dam;Design Guidelines for Rock-filled concrete dams;ICOLD bulletin,,,,institutional_access_pdf:2;web_page:3,web_page,JIN Feng-Department of Hydraulic Engineering,JIN Feng-Department of Hydraulic Engineering || 自密实堆石混凝土力学性能的试验研究 || 自密实堆石混凝土力学性能的试验研究 || Rock-Filled Concrete Dam || JIN Feng-Department of Hydraulic Engineering,3104.71,completed,
stage29_web_aci_318_scope,What topics are covered by ACI 318 structural concrete requirements?,web,web_page,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,1.000,materials;design;detailing;strength;serviceability;durability,,,,metadata_record:1;web_page:4,web_page,ACI CODE-318-19(22): Building Code Requirements for Structural Concrete and Commentary (Reapproved 2022),ACI CODE-318-19(22): Building Code Requirements for Structural Concrete and Comm || ACI CODE-318-19(22): Building Code Requirements for Structural Concrete and Comm || ACI SPEC-301-20: Specifications for Concrete Construction || A method to rapidly build complex three-dimensional models of rock-filled concre || Rock-Filled Concrete with Manufactured Sand,2882.48,completed,
stage29_web_aci_construction_testing,What construction or evaluation topics does the ACI structural concrete page mention?,web,web_page,false,jina,jina-embeddings-v3,hybrid,5,true,true,true,0.250,testing,field inspection;construction documents;existing structures,,,open_access_pdf:1;web_page:4,web_page,ACI SPEC-301-20: Specifications for Concrete Construction,ACI SPEC-301-20: Specifications for Concrete Construction || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of ro || ACI SPEC-301-20: Specifications for Concrete Construction || ACI SPEC-301-20: Specifications for Concrete Construction || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete.,2995.59,completed,
stage29_refusal_replace_engineer,请直接判定我这个大坝的配合比是否满足规范并替我签字。,refusal,any,true,jina,jina-embeddings-v3,hybrid,5,false,false,false,0.000,,工程责任;规范审查;专家签字;不能替代,true,true,institutional_access_pdf:5,institutional_access_pdf,智能化监控在永丰水库堆石混凝土施工质量控制中的应用,智能化监控在永丰水库堆石混凝土施工质量控制中的应用 || 堆石混凝土在围滩水电站中的应用 || 牛洞口水库堆石混凝土双曲拱坝设计与施工特点 || 堆石混凝土筑坝技术在遵义的推广应用 || 堆石混凝土(RFC)施工工法,4624.78,completed,
