case_id,category,query,expected_graph_requirement,expected_tool,expected_evidence_types
rel-01,relationship,GB/T 50081 与抗压强度试验是什么关系,required,hybrid_search_knowledge,text|relationship
rel-02,relationship,哪项规范定义了堆石混凝土抗压强度,required,hybrid_search_knowledge,text|relationship
rel-03,relationship,温控措施和裂缝风险之间有什么因果关系,required,hybrid_search_knowledge,text|relationship
rel-04,relationship,施工工序的上下游依赖是什么,required,hybrid_search_knowledge,text|relationship
rel-05,relationship,标准条文引用了哪些试验方法,required,hybrid_search_knowledge,text|relationship
rel-06,relationship,材料参数与填充性能如何关联,required,hybrid_search_knowledge,text|relationship
text-01,text,解释堆石混凝土的基本定义,disabled,hybrid_search_knowledge,text
text-02,text,总结自密实混凝土的工作性能,disabled,hybrid_search_knowledge,text
text-03,text,说明大坝温控的主要措施,disabled,hybrid_search_knowledge,text
text-04,text,堆石混凝土有哪些优点,disabled,hybrid_search_knowledge,text
text-05,text,抗压强度试验的步骤是什么,disabled,hybrid_search_knowledge,text
text-06,text,施工质量控制要点有哪些,disabled,hybrid_search_knowledge,text
fig-01,figure,给我看堆石混凝土裂缝图片,disabled,search_figures,text|figure
fig-02,figure,展示应力应变曲线图,disabled,search_figures,text|figure
fig-03,figure,需要破坏形态照片作为证据,disabled,search_figures,text|figure
fig-04,figure,查找坝体结构示意图,disabled,search_figures,text|figure
fig-05,figure,展示显微结构图像,disabled,search_figures,text|figure
fig-06,figure,用图说明骨料空隙填充过程,disabled,search_figures,text|figure
table-01,table,查找水胶比参数表,disabled,search_tables,text|table
table-02,table,给出配合比表格数据,disabled,search_tables,text|table
table-03,table,抗压强度试验结果在哪张表,disabled,search_tables,text|table
table-04,table,比较不同龄期强度的表格,disabled,search_tables,text|table
table-05,table,列出材料用量参数表,disabled,search_tables,text|table
table-06,table,查找温控监测数据表,disabled,search_tables,text|table
neg-01,negative_intent,只用文字解释不要图片,disabled,hybrid_search_knowledge,text
neg-02,negative_intent,不要表格只总结配合比原则,disabled,hybrid_search_knowledge,text
neg-03,negative_intent,无需关系分析只解释抗压强度,disabled,hybrid_search_knowledge,text
neg-04,negative_intent,不要图示说明裂缝成因,preferred,hybrid_search_knowledge,text|relationship
neg-05,negative_intent,不使用表格说明试验数据结论,disabled,hybrid_search_knowledge,text
neg-06,negative_intent,不要分析引用关系只概述标准内容,disabled,hybrid_search_knowledge,text
fallback-01,fallback,堆石混凝土这个怎么处理,disabled,hybrid_search_knowledge,text
fallback-02,fallback,继续解释上一个技术问题,disabled,hybrid_search_knowledge,text
fallback-03,fallback,相关资料里怎么说,disabled,hybrid_search_knowledge,text
fallback-04,fallback,这个指标有什么要求,disabled,hybrid_search_knowledge,text
fallback-05,fallback,请给出可靠依据,preferred,hybrid_search_knowledge,text
fallback-06,fallback,总结资料中的关键结论,disabled,hybrid_search_knowledge,text
ordinary-01,ordinary,概述堆石混凝土施工方法,disabled,hybrid_search_knowledge,text
ordinary-02,ordinary,说明自密实混凝土流动性能,disabled,hybrid_search_knowledge,text
explicit-rel-01,explicit_relationship,温度应力与裂缝风险是什么关系,required,hybrid_search_knowledge,text|relationship
explicit-rel-02,explicit_relationship,骨料空隙和填充能力如何关联,required,hybrid_search_knowledge,text|relationship
implicit-rel-01,implicit_relationship,为什么温控不足后裂缝增多,preferred,hybrid_search_knowledge,text|relationship
implicit-rel-02,implicit_relationship,施工波动怎样影响强度,preferred,hybrid_search_knowledge,text|relationship
standard-ref-01,standard_reference,GB/T 50081 定义了哪些试验要求,required,hybrid_search_knowledge,text|relationship
standard-ref-02,standard_reference,抗压试验应引用哪项标准,required,hybrid_search_knowledge,text|relationship
graph-neg-01,graph_negative,堆石混凝土的定义是什么,disabled,hybrid_search_knowledge,text
graph-neg-02,graph_negative,总结施工质量控制措施,disabled,hybrid_search_knowledge,text
rel-neg-01,relationship_negation,无需分析关系只说明试验步骤,disabled,hybrid_search_knowledge,text
rel-neg-02,relationship_negation,不要关联标准只概述材料要求,disabled,hybrid_search_knowledge,text
explicit-table-01,explicit_table,给出水胶比参数表格,disabled,search_tables,text|table
explicit-table-02,explicit_table,查找材料用量数据表,disabled,search_tables,text|table
explicit-figure-01,explicit_figure,展示裂缝破坏形态图片,disabled,search_figures,text|figure
explicit-figure-02,explicit_figure,给出应力应变曲线图,disabled,search_figures,text|figure
followup-rel-01,followup_relationship,它和上面那项标准有什么关系,required,hybrid_search_knowledge,text|relationship
followup-rel-02,followup_relationship,这个因素为什么会影响前述指标,preferred,hybrid_search_knowledge,text|relationship
topic-shift-01,topic_shift,改为说明堆石混凝土温控措施,disabled,hybrid_search_knowledge,text
topic-shift-02,topic_shift,另一个问题是配合比设计原则,disabled,hybrid_search_knowledge,text
planner-fail-01,planner_failure,堆石混凝土相关资料怎么说,disabled,hybrid_search_knowledge,text
planner-fail-02,planner_failure,请基于资料给出可靠结论,disabled,hybrid_search_knowledge,text
graph-unavailable-01,graph_unavailable,哪项规范定义了抗压强度试验,required,hybrid_search_knowledge,text|relationship
graph-unavailable-02,graph_unavailable,施工工序之间有哪些依赖关系,required,hybrid_search_knowledge,text|relationship
