case_id,category,baseline,graph_enhanced,expected_delta
phase53_graph_001,standard_reference_chain,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_002,standard_reference_chain,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_003,cross_document_material_property,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_004,cross_document_material_property,hybrid_knowledge_search,hybrid_knowledge_search,no_graph_required
phase53_graph_005,parameter_range,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_006,parameter_range,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_007,method_applies_to,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_008,method_applies_to,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_009,organization_standard,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_010,organization_standard,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_011,standard_reference_chain,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_012,cross_document_material_property,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_013,parameter_range,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_014,cross_document_material_property,hybrid_knowledge_search,hybrid_knowledge_search,no_graph_required
phase53_graph_015,standard_reference_chain,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_016,method_applies_to,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_017,parameter_range,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_018,cross_document_material_property,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_019,standard_reference_chain,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_020,organization_standard,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_021,ordinary_hybrid_baseline,hybrid_knowledge_search,hybrid_knowledge_search,no_graph_required
phase53_graph_022,ordinary_hybrid_baseline,hybrid_knowledge_search,hybrid_knowledge_search,no_graph_required
phase53_graph_023,ordinary_hybrid_baseline,hybrid_knowledge_search,hybrid_knowledge_search,no_graph_required
phase53_graph_024,ordinary_hybrid_baseline,hybrid_knowledge_search,hybrid_knowledge_search,no_graph_required
phase53_graph_025,ordinary_hybrid_baseline,hybrid_knowledge_search,hybrid_knowledge_search,no_graph_required
phase53_graph_026,graph_negative_offtopic,hybrid_knowledge_search,hybrid_knowledge_search,no_graph_required
phase53_graph_027,graph_negative_offtopic,hybrid_knowledge_search,hybrid_knowledge_search,no_graph_required
phase53_graph_028,standard_reference_chain,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_029,cross_document_material_property,hybrid_knowledge_search,graph_enhanced_search,graph_needed
phase53_graph_030,method_applies_to,hybrid_knowledge_search,graph_enhanced_search,graph_needed
