combo,candidate_pool_size,top_k,query_id,dataset,category,reranker,candidate_count,relevant_count,mrr_at_5,ndcg_at_5,precision_at_1,precision_at_5,ndcg_at_8,precision_at_8,ndcg_at_10,precision_at_10,coverage_ratio,refusal_accuracy,candidate_recall_hit,non_refusal_query,latency_ms,top_chunk_id,top_title,status,error,fallback_count
pool25_top5,25,5,stage29_wiki_rcc_dam,stage29_new_corpus_queries,wikipedia,remote-bge-lora,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,274.311,26471,Uses in Infrastructure - American Cement Association,completed,,0
pool25_top5,25,5,stage29_wiki_arch_dam,stage29_new_corpus_queries,wikipedia,remote-bge-lora,25,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,260.78,19794,拱坝的分类,completed,,0
pool25_top5,25,5,stage29_wiki_hydraulic_engineering,stage29_new_corpus_queries,wikipedia,remote-bge-lora,25,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,264.347,19802,基本原理,completed,,0
pool25_top5,25,5,stage29_wiki_concrete_cover,stage29_new_corpus_queries,wikipedia,remote-bge-lora,25,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,261.094,27199,Purpose of provision of concrete cover,completed,,0
pool25_top5,25,5,stage29_wiki_dam_applications,stage29_new_corpus_queries,wikipedia,remote-bge-lora,25,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,259.801,27137,Dam applications,completed,,0
pool25_top5,25,5,stage29_standard_eap,stage29_new_corpus_queries,standard,remote-bge-lora,25,4,1.0,0.982892,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,261.796,27722,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,completed,,0
pool25_top5,25,5,stage29_standard_earthquake,stage29_new_corpus_queries,standard,remote-bge-lora,25,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,264.915,28088,FEMA Dam Safety Inundation Mapping and Flood Risks,completed,,0
pool25_top5,25,5,stage29_standard_living_with_dams,stage29_new_corpus_queries,standard,remote-bge-lora,25,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,268.264,27659,FEMA Living with Dams Know Your Risks,completed,,0
pool25_top5,25,5,stage29_standard_pocket_guide,stage29_new_corpus_queries,standard,remote-bge-lora,25,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,261.786,27722,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,completed,,0
pool25_top5,25,5,stage29_standard_inundation_mapping,stage29_new_corpus_queries,standard,remote-bge-lora,25,19,1.0,0.722727,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,259.864,27722,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,completed,,0
pool25_top5,25,5,stage29_web_rfc_advantages,stage29_new_corpus_queries,web,remote-bge-lora,25,2,1.0,0.613147,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,275.474,26334,Filling the gaps in large concrete dams,completed,,0
pool25_top5,25,5,stage29_web_rfc_inventors,stage29_new_corpus_queries,web,remote-bge-lora,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,273.528,22200,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,completed,,0
pool25_top5,25,5,stage29_web_jin_feng_standards,stage29_new_corpus_queries,web,remote-bge-lora,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,279.143,26344,JIN Feng-Department of Hydraulic Engineering,completed,,0
pool25_top5,25,5,stage29_web_aci_318_scope,stage29_new_corpus_queries,web,remote-bge-lora,25,5,1.0,0.699215,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,261.125,26385,ACI SPEC-301-20: Specifications for Concrete Construction,completed,,0
pool25_top5,25,5,stage29_web_aci_construction_testing,stage29_new_corpus_queries,web,remote-bge-lora,25,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,273.108,26385,ACI SPEC-301-20: Specifications for Concrete Construction,completed,,0
pool25_top5,25,5,stage29_refusal_replace_engineer,stage29_new_corpus_queries,refusal,remote-bge-lora,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,293.78,11758,堆石混凝土堆坝技术在某尾矿库拦水坝设计中的应用,completed,,0
pool25_top5,25,5,stage29_refusal_private_key,stage29_new_corpus_queries,refusal,remote-bge-lora,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,267.642,47873,基于微信平台的堆石混凝土坝施工过程管理,completed,,0
pool25_top5,25,5,stage29_refusal_paywalled_fulltext,stage29_new_corpus_queries,refusal,remote-bge-lora,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,269.992,47742,固结灌浆工艺在东升水电站的实践与应用,completed,,0
pool25_top5,25,5,stage41_cn_rfc_flow_filling,stage41_post_import_retrieval_queries,new_cn_rfc,remote-bge-lora,25,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,270.057,23542,堆石混凝土流动填充与温升过程原型监测,completed,,0
pool25_top5,25,5,stage41_cn_rfc_mps_dem,stage41_post_import_retrieval_queries,new_cn_rfc,remote-bge-lora,25,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,273.372,40873,"堆石混凝土(rock filled concrete,RFC)是在自",completed,,0
pool25_top5,25,5,stage41_cn_rfc_porosity_damage,stage41_post_import_retrieval_queries,new_en_rfc,remote-bge-lora,25,3,0.2,0.181542,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,279.185,26193,堆石混凝土缺陷对尺寸效应的影响研究,completed,,0
pool25_top5,25,5,stage41_cn_rfc_scc_rock_composite,stage41_post_import_retrieval_queries,new_en_rfc,remote-bge-lora,25,1,0.333333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,270.994,22238,Research on damage characterization of SCC and rock composite specimens based on CPU and GPU heterogeneous code acceleration,completed,,0
pool25_top5,25,5,stage41_cn_dam_temperature,stage41_post_import_retrieval_queries,new_cn_dam,remote-bge-lora,25,14,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,265.29,29800,堆石混凝土坝施工期温度场、应力场分析及裂缝控制,completed,,0
pool25_top5,25,5,stage41_cn_dam_seepage,stage41_post_import_retrieval_queries,new_cn_dam,remote-bge-lora,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,272.264,22180,Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete,completed,,0
pool25_top5,25,5,stage41_cn_dam_monitoring,stage41_post_import_retrieval_queries,new_cn_dam,remote-bge-lora,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,274.124,38729,"3. 清华大学 水利水电工程系,北京 100084)摘 要:为探明不同堆石形态堆石混凝土(Rock-filled concrete, RFC )的单轴抗压力学行为演变规律差异,本文",completed,,0
pool25_top5,25,5,stage41_cn_quality_control,stage41_post_import_retrieval_queries,new_cn_dam,remote-bge-lora,25,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,263.497,23584,堆石混凝土砌体施工质量控制研究及实践,completed,,0
pool25_top5,25,5,stage41_cn_construction_management,stage41_post_import_retrieval_queries,new_cn_rfc,remote-bge-lora,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,274.823,38729,"3. 清华大学 水利水电工程系,北京 100084)摘 要:为探明不同堆石形态堆石混凝土(Rock-filled concrete, RFC )的单轴抗压力学行为演变规律差异,本文",completed,,0
pool25_top5,25,5,stage41_cn_carbon_emission,stage41_post_import_retrieval_queries,new_cn_dam,remote-bge-lora,25,22,0.5,0.66084,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,264.66,22154,Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental Impact of Rock-Filled and Conventional Concrete,completed,,0
pool25_top5,25,5,stage41_en_rockfill_monitoring,stage41_post_import_retrieval_queries,new_en_rfc,remote-bge-lora,25,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,262.83,34430,Li 等 - 2019 - Earth and Rock-Filled Dam Monitoring by High-Resolution X-Band Interferometry Gongming Dam Case Stu,completed,,0
pool25_top5,25,5,stage41_en_stone_concrete,stage41_post_import_retrieval_queries,new_en_rfc,remote-bge-lora,25,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,263.537,58881,Bestuzheva 等 - 2018 - Stone-concrete - material for rockfill dam face zone,completed,,0
pool25_top5,25,5,stage37_single_hop_definition,phase51_performance_cases,single_hop_definition,remote-bge-lora,25,20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,268.73,21816,Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete,completed,,0
