query_id,query,passed,keyword_passed,vector_passed,comparison,hit_rank,hit_document_id,hit_title,hit_source_type,metadata_ratio,result_count,best_score,top_scores,top_keyword_scores,top_vector_scores,top_titles,top_source_types,provider,model_name,notes
construction_quality,施工质量 堆石混凝土,yes,yes,yes,all_pass,1,125,Quality Control and Instrumentation,metadata_record,0.50,8,1.0735,1.0735 || 0.8403 || 0.7713 || 0.7668 || 0.7391 || 0.7000 || 0.5097 || 0.4539,0.9651 || 0.5711 || 0.5387 || 0.4738 || 0.4913 || 1.0000 || 0.7282 || 0.6484,0.8264 || 0.9684 || 0.8140 || 0.9505 || 0.8175 || 0.0000 || 0.0000 || 0.0000,"Quality Control and Instrumentation || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || On-site experiment methods on the compaction detection of rock-filled concrete || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Pilot Study on Vibrated Rock-filled Concrete",metadata_record || institutional_access_pdf || local_file || local_file || local_file || metadata_record || metadata_record || metadata_record,openai-compatible,jina-embeddings-v3,检查中文施工质量问题能否命中质量控制或密实度检测相关资料
filling_capacity_cn,填充能力 自密实混凝土 堆石体,yes,yes,yes,all_pass,1,7,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,local_file,0.25,8,1.1220,1.1220 || 0.9538 || 0.9214 || 0.7191 || 0.7000 || 0.6921 || 0.6913 || 0.5989,0.9927 || 0.7313 || 0.7861 || 0.4022 || 1.0000 || 0.4205 || 0.3656 || 0.8556,0.9239 || 0.9729 || 0.7371 || 0.9586 || 0.0000 || 0.8259 || 0.9513 || 0.0000,"Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || 自密实混凝土充填堆石体试验研究 || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Experimental study of Self-Compacting Concrete filled prepacked rock",local_file || local_file || open_access_pdf || institutional_access_pdf || metadata_record || local_file || local_file || metadata_record,openai-compatible,jina-embeddings-v3,检查中文填充能力和英文 filling capacity 的同义召回
filling_capacity_en,filling capacity rock-filled concrete,yes,yes,yes,all_pass,1,7,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,local_file,0.62,8,1.1309,1.1309 || 0.9272 || 0.8114 || 0.7977 || 0.7828 || 0.6848 || 0.6531 || 0.4455,1.0000 || 0.7153 || 0.5338 || 0.5241 || 0.5262 || 0.3838 || 0.3301 || 0.6364,0.9363 || 0.9216 || 0.9590 || 0.9363 || 0.8817 || 0.8872 || 0.9069 || 0.0000,"Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || Filling capacity analysis of self-compacting concrete in rock-filled concrete based on DEM || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation || Experiment on Self-Compacting Concrete Filling Rock-Fill || 自密实混凝土充填堆石体试验研究",local_file || metadata_record || metadata_record || metadata_record || open_access_pdf || metadata_record || metadata_record || local_file,openai-compatible,jina-embeddings-v3,检查英文填充能力主题
thermal_control,水化热 温升 堆石混凝土,yes,yes,yes,all_pass,1,5,堆石混凝土绝热温升性能初步研究,local_file,0.62,8,0.7116,0.7116 || 0.7000 || 0.6758 || 0.5954 || 0.5762 || 0.4410 || 0.3361 || 0.3192,0.3737 || 1.0000 || 0.4151 || 0.2851 || 0.2432 || 0.6300 || 0.4801 || 0.4560,1.0000 || 0.0000 || 0.7841 || 0.8195 || 0.8531 || 0.0000 || 0.0000 || 0.0000,"堆石混凝土绝热温升性能初步研究 || A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete || Study on the Thermal Variation of Early-Age Rock-Filled Concrete - Part Ii Mesoscopic Thermal Field Reconstruction and Parametrical Studies || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Preliminary study on temperature rise property of thermal insulation of rock-fill concrete || Mesoscopic thermal field reconstruction and parametrical studies of heterogeneous rock-filled concrete at early age || Rock-filled concrete in the mass concrete temperature field analysis",local_file || metadata_record || metadata_record || local_file || open_access_pdf || metadata_record || metadata_record || metadata_record,openai-compatible,jina-embeddings-v3,检查中文温控词能否命中中英文温度场资料
elastic_modulus,弹性模量 rock-filled concrete,yes,yes,yes,all_pass,1,17,A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete,open_access_pdf,0.50,8,1.0347,1.0347 || 1.0262 || 0.9419 || 0.7000 || 0.6822 || 0.5294 || 0.4568 || 0.4405,0.8771 || 0.8623 || 0.7140 || 1.0000 || 0.9746 || 0.7564 || 0.6525 || 0.6292,0.9025 || 0.9087 || 0.9738 || 0.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000,"A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || On the elastic modulus of rock-filled concrete || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation",open_access_pdf || open_access_pdf || metadata_record || metadata_record || metadata_record || local_file || institutional_access_pdf || metadata_record,openai-compatible,jina-embeddings-v3,检查中文弹性模量与英文 elastic modulus 混合查询
seismic_behavior,抗震 seismic behavior rock-filled concrete dam,yes,yes,yes,all_pass,1,98,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,metadata_record,0.50,8,1.1375,1.1375 || 1.1019 || 1.0636 || 0.4138 || 0.3678 || 0.3229 || 0.3185 || 0.3185,1.0000 || 0.9484 || 0.9414 || 0.5911 || 0.5254 || 0.4613 || 0.4550 || 0.4550,0.9584 || 0.9601 || 0.8489 || 0.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用,metadata_record || metadata_record || open_access_pdf || local_file || institutional_access_pdf || metadata_record || local_file || metadata_record,openai-compatible,jina-embeddings-v3,检查抗震/地震/seismic 同义词
review_overview,堆石混凝土 综述 next generation,yes,yes,yes,all_pass,1,87,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,metadata_record,0.50,8,1.0778,1.0778 || 0.9453 || 0.9197 || 0.7063 || 0.5933 || 0.3968 || 0.3199 || 0.2879,1.0000 || 0.7940 || 0.6710 || 0.4320 || 0.2697 || 0.5668 || 0.4569 || 0.0000,0.7593 || 0.7984 || 1.0000 || 0.8465 || 0.8486 || 0.0000 || 0.0000 || 0.9595,"A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || State-of-the-Art and Future Prospects || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || Research on Rock-Filled Concrete Dams: a Review || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam",metadata_record || open_access_pdf || local_file || metadata_record || local_file || metadata_record || metadata_record || local_file,openai-compatible,jina-embeddings-v3,检查综述类资料召回
mesoscopic_modeling,细观 数值 模拟 堆石混凝土,yes,yes,yes,all_pass,1,19,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,open_access_pdf,0.62,8,0.9662,0.9662 || 0.9569 || 0.7886 || 0.7647 || 0.7000 || 0.6156 || 0.5243 || 0.5154,0.8079 || 0.8135 || 0.5358 || 0.5021 || 1.0000 || 0.8794 || 0.7489 || 0.7363,0.8358 || 0.7916 || 0.8785 || 0.8773 || 0.0000 || 0.0000 || 0.0000 || 0.0000,"3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Advancing rock-filled concrete (RFC) technology: Comprehensive insights into filling quality, mechanical properties, durability, and numerical simulation || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Meso-scale simulation and experimental study on self-compacted rock-fill concrete || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Void effect study on the compressive behavior of RFC based on the 3D four-phase mesoscopic finite element model || Shear tests and meso-scale simulation of cold joint structures in rock-filled concrete: Considering the mutual contact effects between component materials",open_access_pdf || metadata_record || local_file || open_access_pdf || metadata_record || metadata_record || metadata_record || metadata_record,openai-compatible,jina-embeddings-v3,检查中文细观/数值/模拟到英文 mesoscopic/simulation 的召回
cold_joint_shear,层间 冷缝 shear rock-filled concrete,yes,yes,yes,all_pass,1,40,Experimental studies on shear properties of cold joints of rock-filled concrete,metadata_record,0.75,8,1.1200,1.1200 || 1.0189 || 0.7856 || 0.7484 || 0.6900 || 0.6109 || 0.3000 || 0.2885,1.0000 || 0.8596 || 0.5080 || 0.4475 || 0.3870 || 0.2386 || 0.0000 || 0.0000,0.9000 || 0.8906 || 0.9333 || 0.9507 || 0.8971 || 0.9795 || 1.0000 || 0.9618,"Experimental studies on shear properties of cold joints of rock-filled concrete || Effect of rock shear keys on the shear performance of cold joints in rock-filled concrete structures: Experimental and numerical investigation || Shear tests and meso-scale simulation of cold joint structures in rock-filled concrete: Considering the mutual contact effects between component materials || Experimental study of the influence of rocks on the interlayer shear behavior of rock-filled concrete || Study on shear performance between layers of rock-filled concrete based on morphology analysis || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || Rock-fill concrete, a new type of concrete",metadata_record || metadata_record || metadata_record || metadata_record || metadata_record || open_access_pdf || open_access_pdf || metadata_record,openai-compatible,jina-embeddings-v3,检查冷缝/层间/剪切主题
peridynamics,peridynamics rock-filled concrete,yes,yes,yes,all_pass,1,20,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics,open_access_pdf,0.38,8,1.1500,1.1500 || 0.5880 || 0.5073 || 0.4744 || 0.4678 || 0.4447 || 0.3854 || 0.3755,1.0000 || 0.8400 || 0.7247 || 0.6776 || 0.6682 || 0.6353 || 0.5506 || 0.5365,1.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000 || 0.0000,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用 || 堆石混凝土大坝施工方法 / Construction method for Rock-Filled Concrete dams || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || 自密实堆石混凝土力学性能的试验研究,open_access_pdf || local_file || institutional_access_pdf || metadata_record || metadata_record || local_file || metadata_record || local_file,openai-compatible,jina-embeddings-v3,检查英文专有方法 Peridynamics
construction_management,CIM4R construction information management,yes,yes,yes,all_pass,1,74,Construction information management system for rock-filled concrete dam (CIM4R),metadata_record,0.38,8,1.1500,1.1500 || 0.7354 || 0.5015 || 0.4548 || 0.2628 || 0.2505 || 0.2464 || 0.2364,1.0000 || 0.4211 || 0.2026 || 0.1474 || 0.0000 || 0.0000 || 0.0000 || 0.0000,1.0000 || 0.9689 || 0.6988 || 0.6721 || 0.8762 || 0.8349 || 0.8213 || 0.7880,Construction information management system for rock-filled concrete dam (CIM4R) || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Construction || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Construction information management system for rock-filled concrete dam (CIM4R) || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,metadata_record || open_access_pdf || metadata_record || open_access_pdf || metadata_record || open_access_pdf || open_access_pdf || open_access_pdf,openai-compatible,jina-embeddings-v3,检查施工信息管理题录
