config_name,query_id,question,language_type,passed,returned_answer,expected_refused,refused,refusal_matched,expected_source_hit,actual_source_hit,source_hit_matched,source_count,citations,citations_valid,forbidden_terms_absent,expected_answer_points,configured_retrieval_mode,actual_retrieval_mode,top_k,workflow_steps,workflow_succeeded,model_provider,model_name,answer,top_source_titles,failed_reason,error,notes
default_hybrid,user_cn_colloquial_compactness,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,zh_colloquial,yes,yes,no,no,yes,yes,yes,yes,4,1,yes,yes,说明密实度或灌满判断需要质量控制和检测依据,hybrid,hybrid,5,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: 现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || On-site experiment methods on the compaction detection of rock-filled concrete || 自密实混凝土充填堆石体试验研究 || Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete,,,中文口语问法 覆盖施工质量和密实度检测
keyword_baseline,user_cn_colloquial_compactness,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,zh_colloquial,yes,yes,no,no,yes,yes,yes,yes,4,1,yes,yes,说明密实度或灌满判断需要质量控制和检测依据,keyword,keyword,5,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: 现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,On-site experiment methods on the compaction detection of rock-filled concrete || Filling Process of HSCC and Compactness of RFC || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,,,中文口语问法 覆盖施工质量和密实度检测
vector_only,user_cn_colloquial_compactness,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,zh_colloquial,yes,yes,no,no,yes,yes,yes,yes,5,1,yes,yes,说明密实度或灌满判断需要质量控制和检测依据,vector,vector,5,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: 现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || On-site experiment methods on the compaction detection of rock-filled concrete || 自密实混凝土充填堆石体试验研究 || On-site experiment methods on the compaction detection of rock-filled concrete,,,中文口语问法 覆盖施工质量和密实度检测
default_hybrid,user_mixed_itz_strength,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,mixed,yes,yes,no,no,yes,yes,yes,yes,4,1,yes,yes,说明 rock/SCC 界面或 ITZ 对强度和破坏的影响,hybrid,hybrid,5,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,"Experimental study of the interfacial transition zone (ITZ) of model rock-filled concrete (RFC) || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Experimental Study on Effects of Casting Procedures on Compressive Strength, Water Permeability, and Interfacial Transition Zone Porosity of Rock-Filled Concrete",,,中英混合术语 覆盖界面过渡区
keyword_baseline,user_mixed_itz_strength,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,mixed,yes,yes,no,no,yes,yes,yes,yes,4,1,yes,yes,说明 rock/SCC 界面或 ITZ 对强度和破坏的影响,keyword,keyword,5,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,"Experimental Study on Effects of Casting Procedures on Compressive Strength, Water Permeability, and Interfacial Transition Zone Porosity of Rock-Filled Concrete || Experimental study of the interfacial transition zone (ITZ) of model rock-filled concrete (RFC) || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties",,,中英混合术语 覆盖界面过渡区
vector_only,user_mixed_itz_strength,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,mixed,yes,yes,no,no,yes,yes,yes,yes,4,1,yes,yes,说明 rock/SCC 界面或 ITZ 对强度和破坏的影响,vector,vector,5,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,,,中英混合术语 覆盖界面过渡区
default_hybrid,user_en_freeze_thaw,Are there studies about freeze-thaw resistance of rock-filled concrete?,en,yes,yes,no,no,yes,yes,yes,yes,4,1,yes,yes,说明抗冻或 freeze-thaw 与耐久性相关研究,hybrid,hybrid,5,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: Are there studies about freeze-thaw resistance of rock-filled concrete?,Experimental studies on shear properties of cold joints of rock-filled concrete || Experimental Research on Freeze-thaw Resistence Property and Impermeability for Rock-filled Concrete || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete (RFC),,,英文耐久性问题
keyword_baseline,user_en_freeze_thaw,Are there studies about freeze-thaw resistance of rock-filled concrete?,en,yes,yes,no,no,yes,yes,yes,yes,4,1,yes,yes,说明抗冻或 freeze-thaw 与耐久性相关研究,keyword,keyword,5,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: Are there studies about freeze-thaw resistance of rock-filled concrete?,Experimental studies on shear properties of cold joints of rock-filled concrete || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Experimental Research on Freeze-thaw Resistence Property and Impermeability for Rock-filled Concrete || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,,,英文耐久性问题
vector_only,user_en_freeze_thaw,Are there studies about freeze-thaw resistance of rock-filled concrete?,en,yes,yes,no,no,yes,yes,yes,yes,4,1,yes,yes,说明抗冻或 freeze-thaw 与耐久性相关研究,vector,vector,5,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: Are there studies about freeze-thaw resistance of rock-filled concrete?,Experimental Research on Freeze-thaw Resistence Property and Impermeability for Rock-filled Concrete || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || Experimental studies on shear properties of cold joints of rock-filled concrete,,,英文耐久性问题
default_hybrid,user_cn_creep,堆石混凝土长期变形和徐变有什么研究？,zh_colloquial,yes,yes,no,no,yes,yes,yes,yes,4,1,yes,yes,说明长期变形或 creep 行为的研究对象,hybrid,hybrid,5,filter_history>rewrite_query>retrieve>optional_rerank>generate_answer,yes,deterministic,rule-based-chat-v1,Deterministic answer based on source [1]: 堆石混凝土长期变形和徐变有什么研究？,Experimental study on the creep behaviour of rock-filled concrete and self-compacting concrete || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios || Pilot Study on Vibrated Rock-filled Concrete,,,中文口语问法 覆盖徐变
