case_id,scenario,turn_index,history_mode,status,planned_question,history_items_used,memory_entities_used,retrieval_anchors_used,retrieval_hit,citation_support,answer_coverage,refusal_correctness,entity_or_constraint_used,top_source_title,error_summary
stage43_clarification_01,clarification,1,no_history,completed,RFC 的 flow 是水流还是混凝土流动性,0,,,true,1.000,0.000,true,true,堆石混凝土抗压强度影响因素细观分析,
stage43_clarification_01,clarification,2,no_history,completed,我指的是填充过程中的 flow,0,,,true,1.000,0.000,true,false,严寒、高震、深覆盖层混凝土面板坝关键技术研究综述,
stage43_clarification_02,clarification,1,no_history,completed,温控措施里 cooling 是指什么,0,,,true,1.000,0.333,true,true,绿塘堆石混凝土拱坝施工期温度分析,
stage43_clarification_02,clarification,2,no_history,completed,我想问冷却管而不是施工季节,0,,,false,0.000,0.000,true,false,,
stage43_constrained_01,constrained_follow_up,1,no_history,completed,解释堆石混凝土温控措施,0,,,false,0.000,0.000,true,true,,
stage43_constrained_01,constrained_follow_up,2,no_history,completed,只用中文文献证据回答并保持三点以内,0,,,false,0.000,0.000,true,false,,
stage43_constrained_02,constrained_follow_up,1,no_history,completed,What controls RFC filling quality,0,,,false,0.000,0.000,true,true,考虑骨架作用的堆石混凝土三维细观建模方法 (1),
stage43_constrained_02,constrained_follow_up,2,no_history,completed,Answer in English and compare only flowability versus aggregate grading,0,,,true,1.000,0.333,true,false,Other Rock-Filled Concrete Related Technologies,
stage43_correction_01,user_correction,1,no_history,completed,SL 314 是专门的 RFC 标准吗,0,,,true,1.000,0.667,true,true,Wang 等 - 2025 - Research on damage characterization of SCC and rock composite specimens based on CPU and GPU heterog,
stage43_correction_01,user_correction,2,no_history,completed,我说错了，是想问它和堆石混凝土标准有什么区别,0,,,false,0.000,0.000,true,false,,
stage43_correction_02,user_correction,1,no_history,completed,Peridynamics 是施工质量控制方法吗,0,,,true,1.000,0.333,true,true,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics,
stage43_correction_02,user_correction,2,no_history,completed,更正一下，我想问它用于裂纹分析的证据,0,,,false,0.000,0.000,true,false,,
stage43_followup_01,follow_up,1,no_history,completed,堆石混凝土的填充密实性通常受哪些因素影响,0,,,false,0.000,0.000,true,true,,
stage43_followup_01,follow_up,2,no_history,completed,那施工时如何控制它,0,,,false,0.000,0.000,true,false,,
stage43_followup_02,follow_up,1,no_history,completed,What evidence is available about thermal control in RFC,0,,,true,1.000,0.667,true,true,通仓浇筑堆石混凝土拱坝的温度过程分析,
stage43_followup_02,follow_up,2,no_history,completed,How does that affect cracking risk,0,,,false,0.000,0.000,true,false,堆石混凝土坝中预制块模板的稳定性研究,
stage43_pronoun_01,pronoun_ellipsis,1,no_history,completed,自密实混凝土在堆石混凝土中起什么作用,0,,,false,0.000,0.000,true,true,,
stage43_pronoun_01,pronoun_ellipsis,2,no_history,completed,它的流动性为什么重要,0,,,false,0.000,0.000,true,false,,
stage43_pronoun_02,pronoun_ellipsis,1,no_history,completed,请解释堆石混凝土抗渗耐久性证据,0,,,false,0.000,0.000,true,true,,
stage43_pronoun_02,pronoun_ellipsis,2,no_history,completed,这方面有哪些试验或观测,0,,,false,0.000,0.000,true,false,,
stage43_reference_previous_01,reference_previous_turn,1,no_history,completed,请列出填充密实性相关的两个证据点,0,,,false,0.000,0.000,true,true,,
stage43_reference_previous_01,reference_previous_turn,2,no_history,completed,把上面第二点展开说明,0,,,false,0.000,0.000,true,false,,
stage43_reference_previous_02,reference_previous_turn,1,no_history,completed,Give two cited points about thermal control measures,0,,,false,0.000,0.333,true,true,堆石混凝土的质量综合评价研究,
