query_id,question,category,expected_has_image,expected_image_keywords,notes
must_001,"Show the figure or photo of interface microstructure in rock-filled concrete.",must_have_image,true,"interface|microstructure|ITZ|aggregate|SCC","Microstructure image should be retrieved."
must_002,"Find a construction process diagram for rock-filled concrete placement and SCC pouring.",must_have_image,true,"construction|process|placement|pouring|SCC","Construction workflow or process figure."
must_003,"Show a stress-strain curve for rock-filled concrete or rock-filled concrete specimens.",must_have_image,true,"stress|strain|curve|specimen|RFC","Mechanical test curve expected."
must_004,"Retrieve a figure showing cubic compressive strength test results for SCC and RFC.",must_have_image,true,"compressive|strength|cube|SCC|RFC","Strength chart or specimen figure expected."
must_005,"Show the figure of temperature field or hydration heat distribution in mass concrete.",must_have_image,true,"temperature|hydration|heat|distribution|field","Thermal figure or contour expected."
must_006,"Find a diagram of rock skeleton voids filled by self-compacting concrete.",must_have_image,true,"void|skeleton|filling|self-compacting|aggregate","Diagram or schematic expected."
must_007,"Show a plotted relationship between aggregate size and filling capacity.",must_have_image,true,"aggregate|size|filling|capacity|curve","Curve or chart expected."
must_008,"Retrieve a SEM or microscopic image related to concrete interface transition zone.",must_have_image,true,"SEM|microscopic|interface|transition|zone","Microscopy figure expected."
help_001,"How does SCC flowability influence filling capacity? Include a useful figure if one is available.",image_helpful,true,"flowability|slump|filling|capacity|SCC","Text answer possible, chart helps."
help_002,"Compare RFC and conventional concrete strength development, with any relevant chart.",image_helpful,true,"strength|development|RFC|conventional|chart","Figure helpful but not mandatory."
help_003,"Explain thermal control measures for rock-filled concrete and include a temperature figure if relevant.",image_helpful,true,"thermal|temperature|control|heat|curve","Visual evidence helpful."
help_004,"What testing setup is used for rock-filled concrete mechanical experiments? Show setup photos if available.",image_helpful,true,"test|setup|specimen|loading|photo","Experiment photo helpful."
help_005,"Summarize how aggregate gradation affects void filling and include a schematic if useful.",image_helpful,true,"gradation|void|filling|schematic|aggregate","Schematic helpful."
help_006,"Explain the interfacial bond mechanism between rock and SCC with supporting image evidence if available.",image_helpful,true,"interface|bond|SCC|rock|microstructure","Microstructure image helpful."
help_007,"Describe crack patterns observed after loading RFC specimens, and show related images if present.",image_helpful,true,"crack|failure|loading|specimen|pattern","Failure-photo evidence helpful."
help_008,"What are typical curing-age effects on RFC strength? Include a curve if it improves the answer.",image_helpful,true,"curing|age|strength|curve|RFC","Trend chart helpful."
text_001,"Define rock-filled concrete in one paragraph.",text_only,false,"","Definition should not need image evidence."
text_002,"List the main differences between RFC and SCC without adding figures.",text_only,false,"","User explicitly requests no figures."
text_003,"What are the advantages and limitations of rock-filled concrete?",text_only,false,"","Conceptual summary should stay text-only unless asked."
text_004,"Give three common application scenarios for rock-filled concrete.",text_only,false,"","No image needed."
text_005,"Explain why full-text permission status matters in this RAG system.",text_only,false,"","System/data-source question, no figure."
text_006,"Summarize the citation policy for generated answers.",text_only,false,"","Agent behavior question, suppress images."
text_007,"What does Stage 30 quality score measure?",text_only,false,"","Project evaluation question, no figure."
text_008,"Translate the phrase self-compacting concrete into Chinese.",text_only,false,"","Language task, no figure."
none_001,"What is the capital of France?",no_image,false,"","Off-domain general knowledge should not retrieve images."
none_002,"Write a short poem about summer rain.",no_image,false,"","Creative task, no corpus image."
none_003,"How do I reset my computer password?",no_image,false,"","Off-domain tech-support query."
none_004,"Give me a dinner recipe using tomatoes and eggs.",no_image,false,"","Off-domain cooking query."
none_005,"What was the closing price of AAPL yesterday?",no_image,false,"","Financial current-data query, no project image."
none_006,"Create a workout plan for beginners.",no_image,false,"","Off-domain lifestyle query."
none_007,"Who won the last World Cup?",no_image,false,"","Sports query, no project image."
none_008,"Explain OAuth login flow for a web app.",no_image,false,"","General software query, suppress corpus images."
