case_id,category,runtime_mode,executed,ok,error_category,elapsed_ms,judge_elapsed_ms,expected_tool,observed_tool_names,expected_graph_requirement,observed_graph_requirement,plan_schema,plan_digest,selected_chunk_ids,selected_count,citation_count,answer_accuracy_score,citation_validity_score,planner_fallback,graph_fallback,required_channels_satisfied,reranking_degraded,refused
rel-01,relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-01,relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-02,relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-02,relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-03,relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-03,relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-04,relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-04,relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-05,relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-05,relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-06,relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
rel-06,relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
text-01,text,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-01,text,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-02,text,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-02,text,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-03,text,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-03,text,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-04,text,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-04,text,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-05,text,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-05,text,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-06,text,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
text-06,text,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fig-01,figure,legacy,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-01,figure,phase63,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-02,figure,legacy,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-02,figure,phase63,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-03,figure,legacy,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-03,figure,phase63,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-04,figure,legacy,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-04,figure,phase63,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-05,figure,legacy,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-05,figure,phase63,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-06,figure,legacy,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
fig-06,figure,phase63,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
table-01,table,legacy,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
table-01,table,phase63,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
table-02,table,legacy,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
table-02,table,phase63,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
table-03,table,legacy,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
table-03,table,phase63,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
table-04,table,legacy,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
