query_id,category,expected_refused,candidate,provider,model_name,dimension,top_k,precision_at_1,precision_at_3,precision_at_5,hit_at_5,coverage_ratio,source_type_distribution,top1_source_type,top1_document_title,latency_ms,status,error
stage29_wiki_rcc_dam,wikipedia,false,jina_baseline,jina,jina-embeddings-v3,1024,5,false,true,true,true,0.750,open_access_pdf:2;web_page:2;wikipedia:1,open_access_pdf,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,2549.14,completed,
stage29_wiki_arch_dam,wikipedia,false,jina_baseline,jina,jina-embeddings-v3,1024,5,true,true,true,true,0.500,institutional_access_pdf:4;wikipedia:1,wikipedia,拱坝的分类,1330.66,completed,
stage29_wiki_hydraulic_engineering,wikipedia,false,jina_baseline,jina,jina-embeddings-v3,1024,5,true,true,true,true,0.800,institutional_access_pdf:1;web_page:2;wikipedia:2,wikipedia,基本原理,1424.83,completed,
stage29_wiki_concrete_cover,wikipedia,false,jina_baseline,jina,jina-embeddings-v3,1024,5,true,true,true,true,0.750,wikipedia:5,wikipedia,Purpose of provision of concrete cover,1697.46,completed,
stage29_wiki_dam_applications,wikipedia,false,jina_baseline,jina,jina-embeddings-v3,1024,5,false,false,true,true,0.750,open_access_pdf:2;web_page:2;wikipedia:1,open_access_pdf,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,1689.28,completed,
stage29_standard_eap,standard,false,jina_baseline,jina,jina-embeddings-v3,1024,5,true,true,true,true,1.000,standard_document:5,standard_document,FEMA P-64 Emergency Action Planning for Dams,1766.81,completed,
stage29_standard_earthquake,standard,false,jina_baseline,jina,jina-embeddings-v3,1024,5,true,true,true,true,0.750,standard_document:5,standard_document,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,1734.57,completed,
stage29_standard_living_with_dams,standard,false,jina_baseline,jina,jina-embeddings-v3,1024,5,true,true,true,true,0.750,standard_document:5,standard_document,FEMA Dam Safety Inundation Mapping and Flood Risks,1865.15,completed,
stage29_standard_pocket_guide,standard,false,jina_baseline,jina,jina-embeddings-v3,1024,5,true,true,true,true,0.750,standard_document:5,standard_document,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,1799.55,completed,
stage29_standard_inundation_mapping,standard,false,jina_baseline,jina,jina-embeddings-v3,1024,5,true,true,true,true,0.750,standard_document:5,standard_document,FEMA Dam Safety Inundation Mapping and Flood Risks,1674.87,completed,
stage29_web_rfc_advantages,web,false,jina_baseline,jina,jina-embeddings-v3,1024,5,true,true,true,true,0.750,web_page:5,web_page,Filling the gaps in large concrete dams,2047.29,completed,
stage29_web_rfc_inventors,web,false,jina_baseline,jina,jina-embeddings-v3,1024,5,false,false,true,true,0.250,web_page:5,web_page,The History of Rock-Filled Concrete Dams,1915.40,completed,
stage29_web_jin_feng_standards,web,false,jina_baseline,jina,jina-embeddings-v3,1024,5,false,false,false,false,0.000,metadata_record:4;open_access_pdf:1,metadata_record,Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios,1827.59,completed,
stage29_web_aci_318_scope,web,false,jina_baseline,jina,jina-embeddings-v3,1024,5,true,true,true,true,1.000,metadata_record:1;open_access_pdf:1;web_page:3,web_page,ACI CODE-318-19(22): Building Code Requirements for Structural Concrete and Commentary (Reapproved 2022),1728.54,completed,
stage29_web_aci_construction_testing,web,false,jina_baseline,jina,jina-embeddings-v3,1024,5,false,true,true,true,0.500,open_access_pdf:1;web_page:4,open_access_pdf,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,1756.14,completed,
stage29_refusal_replace_engineer,refusal,true,jina_baseline,jina,jina-embeddings-v3,1024,5,false,false,false,false,0.000,,,,0.01,completed,
stage29_refusal_private_key,refusal,true,jina_baseline,jina,jina-embeddings-v3,1024,5,false,false,false,false,0.000,,,,0.01,completed,
stage29_refusal_paywalled_fulltext,refusal,true,jina_baseline,jina,jina-embeddings-v3,1024,5,false,false,false,false,0.000,,,,0.00,completed,
stage29_wiki_rcc_dam,wikipedia,false,glm_candidate,paratera,GLM-Embedding-3,2048,5,false,true,true,true,0.750,institutional_access_pdf:1;open_access_pdf:1;web_page:2;wikipedia:1,institutional_access_pdf,利用堆石混凝土替代浆砌石实施坝体施工的技术难点与应用前景分析,2329.42,completed,
stage29_wiki_arch_dam,wikipedia,false,glm_candidate,paratera,GLM-Embedding-3,2048,5,true,true,true,true,0.500,institutional_access_pdf:4;wikipedia:1,wikipedia,拱坝的分类,1356.72,completed,
stage29_wiki_hydraulic_engineering,wikipedia,false,glm_candidate,paratera,GLM-Embedding-3,2048,5,true,true,true,true,0.800,institutional_access_pdf:4;wikipedia:1,wikipedia,基本原理,1348.48,completed,
stage29_wiki_concrete_cover,wikipedia,false,glm_candidate,paratera,GLM-Embedding-3,2048,5,true,true,true,true,0.750,wikipedia:5,wikipedia,Purpose of provision of concrete cover,1652.89,completed,
stage29_wiki_dam_applications,wikipedia,false,glm_candidate,paratera,GLM-Embedding-3,2048,5,false,true,true,true,0.750,open_access_pdf:1;web_page:2;wikipedia:2,open_access_pdf,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,1695.03,completed,
stage29_standard_eap,standard,false,glm_candidate,paratera,GLM-Embedding-3,2048,5,true,true,true,true,1.000,standard_document:5,standard_document,FEMA P-64 Emergency Action Planning for Dams,1723.62,completed,
stage29_standard_earthquake,standard,false,glm_candidate,paratera,GLM-Embedding-3,2048,5,true,true,true,true,0.500,standard_document:5,standard_document,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,1829.17,completed,
stage29_standard_living_with_dams,standard,false,glm_candidate,paratera,GLM-Embedding-3,2048,5,true,true,true,true,0.750,standard_document:5,standard_document,FEMA Dam Safety Inundation Mapping and Flood Risks,1951.63,completed,
stage29_standard_pocket_guide,standard,false,glm_candidate,paratera,GLM-Embedding-3,2048,5,true,true,true,true,0.750,standard_document:5,standard_document,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,1894.70,completed,
stage29_standard_inundation_mapping,standard,false,glm_candidate,paratera,GLM-Embedding-3,2048,5,true,true,true,true,0.750,standard_document:5,standard_document,FEMA Dam Safety Pocket Safety Guide for Dams and Impoundments,1852.00,completed,
